frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,0,63.973808288574219,88,0,-0.5619434118270874,-0.82717561721801758,1,0,-0,0,-0,0.82717561721801758,0.5619434118270874,0,0,-0.5619434118270874,0.82717561721801758,0,-0,-3.4665565490722656,-108.74111938476562,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14113399198375294684,15167307858025055141,17726900569671341821
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,0,62.963279724121094,85.852630615234375,0,-0.56488800048828125,-0.82516765594482422,1,0,-0,0,-0,0.82516765594482422,0.56488800048828125,0,0,-0.56488800048828125,0.82516765594482422,0,-0,-3.4581413269042969,-106.41001129150391,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,16057661636407699775,18147842450759712342,17275321727856140770
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,0,61.952751159667969,83.70526123046875,0,-0.56796050071716309,-0.82305580377578735,1,0,-0,0,-0,0.82305580377578735,0.56796050071716309,0,0,-0.56796050071716309,0.82305580377578735,0,-0,-3.4492874145507812,-104.08081817626953,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,11358796829743660094,7275127546680252447,6632529431228078043
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,0,60.942230224609375,81.557891845703125,0,-0.57116937637329102,-0.82083213329315186,1,0,-0,0,-0,0.82083213329315186,0.57116937637329102,0,0,-0.57116937637329102,0.82083213329315186,0,-0,-3.439971923828125,-101.75366973876953,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,13234032405640877021,1510569484732793316,3033664609490939836
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,0,59.93170166015625,79.410530090332031,0,-0.5745236873626709,-0.81848794221878052,0.99999994039535522,0,-0,0,-0,0.81848788261413574,0.5745236873626709,0,0,-0.57452362775802612,0.81848794221878052,0,-0,-3.430145263671875,-99.428741455078125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9551554712318860179,1470056756434156146,7365697654437389446
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,0,58.921173095703125,77.263160705566406,0,-0.57803326845169067,-0.81601321697235107,0.99999994039535522,0,-0,0,-0,0.8160131573677063,0.57803326845169067,0,0,-0.5780332088470459,0.81601321697235107,0,-0,-3.4197807312011719,-97.106155395507812,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,16761981900109435745,7010651686040511280,362483374234686032
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,0,57.910652160644531,75.115791320800781,0,-0.58170902729034424,-0.81339693069458008,1,0,-0,0,-0,0.81339693069458008,0.58170902729034424,0,0,-0.58170902729034424,0.81339693069458008,0,-0,-3.4088134765625,-94.786102294921875,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,2417838652874672113,16030097527230803200,11071687289733982304
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,0,56.900123596191406,72.968429565429688,0,-0.58556258678436279,-0.81062716245651245,1,0,-0,0,-0,0.81062716245651245,0.58556258678436279,0,0,-0.58556258678436279,0.81062716245651245,0,-0,-3.3972053527832031,-92.468780517578125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,3294144549486844658,4312358907459097963,10385210171238994879
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,0,55.889595031738281,70.821052551269531,0,-0.58960700035095215,-0.8076903223991394,1,0,-0,0,-0,0.8076903223991394,0.58960700035095215,0,0,-0.58960700035095215,0.8076903223991394,0,-0,-3.3848953247070312,-90.154373168945312,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8819136867719611458,4718078349879003771,6472567819196454351
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,0,54.879066467285156,68.673690795898438,0,-0.59385615587234497,-0.80457121133804321,1,0,-0,0,-0,0.80457121133804321,0.59385615587234497,0,0,-0.59385615587234497,0.80457121133804321,0,-0,-3.3718223571777344,-87.843147277832031,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,966654296838450415,5660165994965254982,11261726769440158802
