frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,0,51.973808288574219,72,0,-0.55296021699905396,-0.83320760726928711,1,0,-0,0,-0,0.83320760726928711,0.55296021699905396,0,0,-0.55296021699905396,0.83320760726928711,0,-0,-3.4918365478515625,-88.730392456054688,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9481569511103603896,13389680904389907625,582772635839519193
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,4.7585225105285645,51.973808288574219,71.842575073242188,-0.055067185312509537,-0.55296027660369873,-0.83138585090637207,0.99781358242034912,-0.036545474082231522,0.055067185312509537,0,0,0.83320748805999756,0.55296027660369873,0,-0.066090598702430725,-0.55175125598907471,0.83138585090637207,0,4.76837158203125e-07,-3.4918327331542969,-88.730392456054688,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,12154500253374660997,16694433276937205116,11173167910750993140
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,9.4962368011474609,51.973808288574219,71.371009826660156,-0.1098935678601265,-0.55296027660369873,-0.82592874765396118,0.99126410484313965,-0.072931140661239624,0.1098935678601265,0,0,0.83320766687393188,0.55296027660369873,0,-0.13189218938350677,-0.54812967777252197,0.82592874765396118,0,-0,-3.4918403625488281,-88.730392456054688,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,469780097853292527,4961877966390527558,10563438740865431378
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,14.192425727844238,51.973808288574219,70.587356567382812,-0.16423940658569336,-0.55296027660369873,-0.81686007976531982,0.98037993907928467,-0.1089978814125061,0.16423940658569336,0,0,0.83320760726928711,0.55296027660369873,0,-0.19711701571941376,-0.54211115837097168,0.81686007976531982,0,-0,-3.4918365478515625,-88.730400085449219,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14521313094396886417,14385992855601469664,10828961320602764672
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,18.826555252075195,51.973808288574219,69.495040893554688,-0.21786707639694214,-0.55296027660369873,-0.80421942472457886,0.96520894765853882,-0.14458802342414856,0.21786707639694214,0,0,0.83320766687393188,0.55296027660369873,0,-0.2614799439907074,-0.53372222185134888,0.80421942472457886,0,-0,-3.4918327331542969,-88.730400085449219,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,12227760395363079281,17622745221448322688,18043049489461990624
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,23.378362655639648,51.973808288574219,68.098838806152344,-0.27054208517074585,-0.55296027660369873,-0.78806215524673462,0.94581723213195801,-0.17954590916633606,0.27054208517074585,0,0,0.83320760726928711,0.55296027660369873,0,-0.32469946146011353,-0.5229993462562561,0.78806215524673462,0,-1.9073486328125e-06,-3.4918365478515625,-88.730400085449219,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,6816827723870540927,13609796562059820182,12176292321673846306
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,27.827939987182617,51.973808288574219,66.404861450195312,-0.32203406095504761,-0.55296027660369873,-0.76845884323120117,0.92228978872299194,-0.21371869742870331,0.32203406095504761,0,0,0.83320760726928711,0.55296027660369873,0,-0.38649919629096985,-0.50998961925506592,0.76845884323120117,0,1.9073486328125e-06,-3.4918327331542969,-88.730400085449219,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,1560915533014803414,14547872642164755751,7357686133507826755
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,32.155834197998047,51.973808288574219,64.420509338378906,-0.37211787700653076,-0.55296027660369873,-0.7454952597618103,0.89472931623458862,-0.24695694446563721,0.37211787700653076,0,0,0.83320760726928711,0.55296027660369873,0,-0.44660884141921997,-0.49474978446960449,0.7454952597618103,0,1.9073486328125e-06,-3.4918365478515625,-88.730392456054688,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14522248102336339130,4761476116205698883,9429466478401940983
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,36.343120574951172,51.973808288574219,62.154464721679688,-0.42057448625564575,-0.55296021699905396,-0.71927183866500854,0.86325651407241821,-0.27911528944969177,0.42057448625564575,0,0,0.83320766687393188,0.55296021699905396,0,-0.50476557016372681,-0.4773465096950531,0.71927183866500854,0,-1.9073486328125e-06,-3.4918403625488281,-88.730392456054688,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14125803558985506585,16048392032955951672,9179013177725939768
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,40.371486663818359,51.973808288574219,59.616634368896484,-0.46719205379486084,-0.55296021699905396,-0.68990319967269897,0.82800877094268799,-0.31005313992500305,0.46719205379486084,0,0,0.83320754766464233,0.55296021699905396,0,-0.56071507930755615,-0.45785591006278992,0.68990319967269897,0,-0,-3.4918346405029297,-88.730392456054688,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8356114766665792419,652768875672357570,17293320363367157270
