frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,0,57.080280303955078,88,0,-0.53208804130554199,-0.84668898582458496,1,0,-0,0,-0,0.84668898582458496,0.53208804130554199,0,0,-0.53208804130554199,0.84668898582458496,0,-0,-1.5055007934570312,-104.88036346435547,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,556610624205275807,9958786234301021046,1932039068423647170
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,0,56.069751739501953,85.852630615234375,0,-0.53447806835174561,-0.84518235921859741,1,0,-0,0,-0,0.84518235921859741,0.53447806835174561,0,0,-0.53447806835174561,0.84518235921859741,0,-0,-1.5028152465820312,-102.5291748046875,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,16903806161556854013,9655941055726056132,12117248884842810716
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,0,55.059223175048828,83.70526123046875,0,-0.53697693347930908,-0.84359699487686157,1,0,-0,0,-0,0.84359699487686157,0.53697693347930908,0,0,-0.53697693347930908,0.84359699487686157,0,-0,-1.5,-100.17904663085938,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,3926310488735974877,3986094716759675876,5509189841517822396
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,0,54.048702239990234,81.557891845703125,0,-0.5395922064781189,-0.8419264554977417,1,0,-0,0,-0,0.8419264554977417,0.5395922064781189,0,0,-0.5395922064781189,0.8419264554977417,0,-0,-1.4970283508300781,-97.830009460449219,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,2123892592977131745,11605639774248774576,15671185380188954064
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,0,53.038173675537109,79.410530090332031,0,-0.54233211278915405,-0.8401641845703125,1,0,-0,0,-0,0.8401641845703125,0.54233211278915405,0,0,-0.54233211278915405,0.8401641845703125,0,-0,-1.493896484375,-95.482185363769531,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,6402627048224330324,17955651576811771437,10542288449612615365
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,0,52.027645111083984,77.263160705566406,0,-0.54520559310913086,-0.83830231428146362,1,0,-0,0,-0,0.83830231428146362,0.54520559310913086,0,0,-0.54520559310913086,0.83830231428146362,0,-0,-1.4905891418457031,-93.135650634765625,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14498398246975060816,7227455654247357329,16159164381452588097
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,0,51.017124176025391,75.115791320800781,0,-0.54822272062301636,-0.83633226156234741,1,0,-0,0,-0,0.83633226156234741,0.54822272062301636,0,0,-0.54822272062301636,0.83633226156234741,0,-0,-1.4870834350585938,-90.790504455566406,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,689322724061469761,2111438151489972048,17718578163653622704
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,0,50.006595611572266,72.968429565429688,0,-0.55139428377151489,-0.83424484729766846,1,0,-0,0,-0,0.83424484729766846,0.55139428377151489,0,0,-0.55139428377151489,0.83424484729766846,0,-0,-1.483367919921875,-88.446884155273438,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8501937662922942377,1071545152351207688,11105284405132131656
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,0,48.996067047119141,70.821052551269531,0,-0.55473220348358154,-0.83202898502349854,1,0,-0,0,-0,0.83202898502349854,0.55473220348358154,0,0,-0.55473220348358154,0.83202898502349854,0,-0,-1.4794273376464844,-86.104866027832031,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,10762058658077346892,11303853712300064725,5953625224510324205
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,0,47.985538482666016,68.673690795898438,0,-0.55824965238571167,-0.82967299222946167,1,0,-0,0,-0,0.82967299222946167,0.55824965238571167,0,0,-0.55824965238571167,0.82967299222946167,0,-0,-1.4752426147460938,-83.764617919921875,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15207584990731204468,517885275762467085,4761596264631880805
10,10,0.33333333333333331,move,1280,720,60,0.10000000149011612,800,0,46.975017547607422,66.526321411132812,0,-0.5619615912437439,-0.82716339826583862,1,0,-0,0,-0,0.82716339826583862,0.5619615912437439,0,0,-0.5619615912437439,0.82716339826583862,0,-0,-1.4707756042480469,-81.426292419433594,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14537862442342602409,2918574917073641480,12952314169854565448
11,11,0.36666666666666664,move,1280,720,60,0.10000000149011612,800,0,45.964488983154297,64.378952026367188,0,-0.56588393449783325,-0.82448494434356689,1,0,-0,0,-0,0.82448494434356689,0.56588393449783325,0,0,-0.56588393449783325,0.82448494434356689,0,-0,-1.4660148620605469,-79.090042114257812,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,2915047592724887056,1209383684531045969,9051341940530552577
12,12,0.40000000000000002,move,1280,720,60,0.10000000149011612,800,0,44.953960418701172,62.231578826904297,0,-0.57003492116928101,-0.82162052392959595,1,0,-0,0,-0,0.82162052392959595,0.57003492116928101,0,0,-0.57003492116928101,0.82162052392959595,0,-0,-1.4609222412109375,-76.756072998046875,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,18294968165634190432,11987301712719571425,13069000393064597457
13,13,0.43333333333333335,move,1280,720,60,0.10000000149011612,800,0,43.943435668945312,60.084209442138672,0,-0.57443469762802124,-0.8185504674911499,1,0,-0,0,-0,0.8185504674911499,0.57443469762802124,0,0,-0.57443469762802124,0.8185504674911499,0,-0,-1.4554672241210938,-74.424591064453125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,2622419158393856874,2507426654086749683,17800624271390390439
