frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,0,45.080280303955078,72,0,-0.51538974046707153,-0.85695594549179077,1,0,-0,0,-0,0.85695594549179077,0.51538974046707153,0,0,-0.51538974046707153,0.85695594549179077,0,-0,-1.5237503051757812,-84.934738159179688,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,17415915477932954208,1411702720098791393,2493401400443817425
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,4.7585225105285645,45.080280303955078,71.842575073242188,-0.056636728346347809,-0.51538980007171631,-0.85508227348327637,0.99781358242034912,-0.034062419086694717,0.056636728346347809,0,0,0.856955885887146,0.51538980007171631,0,-0.066090598702430725,-0.51426291465759277,0.85508227348327637,0,4.76837158203125e-07,-1.5237541198730469,-84.934738159179688,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14886445388328052528,13590453519997287601,657069872459962273
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,9.4962368011474609,45.080280303955078,71.371009826660156,-0.11302579194307327,-0.51538980007171631,-0.84946966171264648,0.99126410484313965,-0.067975886166095734,0.11302579194307327,0,0,0.85695600509643555,0.51538980007171631,0,-0.13189218938350677,-0.51088738441467285,0.84946966171264648,0,-0,-1.5237541198730469,-84.934745788574219,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,7789505341695496976,16695153473921479505,6090367656211434497
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,14.192425727844238,45.080280303955078,70.587356567382812,-0.1689206063747406,-0.51538974046707153,-0.84014242887496948,0.98037993907928467,-0.10159209370613098,0.1689206063747406,0,0,0.856955885887146,0.51538974046707153,0,-0.19711703062057495,-0.50527775287628174,0.84014242887496948,0,9.5367431640625e-07,-1.5237541198730469,-84.934738159179688,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,13603470225915176058,2278767124402887171,12468607138544278967
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,18.826555252075195,45.080280303955078,69.495040893554688,-0.2240767776966095,-0.51538974046707153,-0.82714146375656128,0.96520894765853882,-0.13476407527923584,0.2240767776966095,0,0,0.85695594549179077,0.51538974046707153,0,-0.2614799439907074,-0.49745878577232361,0.82714146375656128,0,-0,-1.5237503051757812,-84.934738159179688,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,1504766110472852570,9585381138082916131,6207964072062661143
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,23.378362655639648,45.080280303955078,68.098838806152344,-0.27825316786766052,-0.51538980007171631,-0.81052374839782715,0.94581717252731323,-0.16734679043292999,0.27825316786766052,0,0,0.85695594549179077,0.51538980007171631,0,-0.32469946146011353,-0.48746451735496521,0.81052374839782715,0,-0,-1.5237541198730469,-84.934745788574219,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,2808838016750725411,17904284250237828930,4308078998895147414
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,27.827939987182617,45.080280303955078,66.404861450195312,-0.33121275901794434,-0.51538974046707153,-0.79036164283752441,0.92228978872299194,-0.19919772446155548,0.33121275901794434,0,0,0.856955885887146,0.51538974046707153,0,-0.38649919629096985,-0.47533869743347168,0.79036164283752441,0,1.9073486328125e-06,-1.5237503051757812,-84.934738159179688,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14819458927263778395,16517366022293748746,7727241858073904510
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,32.155834197998047,45.080280303955078,64.420509338378906,-0.38272407650947571,-0.51538974046707153,-0.76674354076385498,0.89472931623458862,-0.2301776260137558,0.38272407650947571,0,0,0.856955885887146,0.51538974046707153,0,-0.44660887122154236,-0.46113431453704834,0.76674354076385498,0,3.814697265625e-06,-1.5237522125244141,-84.934738159179688,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15746647214052492886,11332066959521403559,11472603372603314883
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,36.343120574951172,45.080280303955078,62.154464721679688,-0.43256184458732605,-0.51538974046707153,-0.7397727370262146,0.86325645446777344,-0.26015099883079529,0.43256184458732605,0,0,0.856955885887146,0.51538974046707153,0,-0.50476557016372681,-0.44491350650787354,0.7397727370262146,0,-0,-1.5237522125244141,-84.934738159179688,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,2296187385253971180,8468865970847457973,11701435566974523405
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,40.371486663818359,45.080280303955078,59.616634368896484,-0.48050811886787415,-0.51538974046707153,-0.70956707000732422,0.82800883054733276,-0.28898680210113525,0.48050811886787415,0,0,0.85695594549179077,0.51538974046707153,0,-0.56071507930755615,-0.42674726247787476,0.70956707000732422,0,-3.814697265625e-06,-1.5237503051757812,-84.934738159179688,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,12498220689619540927,14798543310592799190,15694260633791281762
