frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,-32,20.601966857910156,12.799999237060547,0.37965413928031921,-0.77435040473937988,-0.50620555877685547,0.80000001192092896,0.46461021900177002,-0.37965413928031921,0,-0,0.63275694847106934,0.77435040473937988,0,0.59999996423721313,-0.61948031187057495,0.50620555877685547,0,17.920001983642578,9.7608375549316406,-34.581504821777344,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,1793195891586991184,7831834170898576529,16763542898103807297
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,-31.496063232421875,20.858718872070312,13.274754524230957,0.37958630919456482,-0.77444279193878174,-0.5061151385307312,0.80000007152557373,0.46466565132141113,-0.37958630919456482,0,-0,0.6326439380645752,0.77444279193878174,0,0.59999996423721313,-0.61955428123474121,0.5061151385307312,0,17.232002258300781,9.6634273529052734,-34.827915191650391,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,3972264692546021249,12872834606356244880,13885375599072740592
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,-30.99212646484375,20.853794097900391,13.748349189758301,0.38199195265769958,-0.77115005254745483,-0.5093226432800293,0.80000007152557373,0.46269005537033081,-0.38199195265769958,0,-0,0.63665330410003662,0.77115005254745483,0,0.60000002384185791,-0.6169201135635376,0.5093226432800293,0,16.544692993164062,9.5447444915771484,-34.922492980957031,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,4064461931195737552,15945734132395808017,14910460790991012033
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,-30.488189697265625,20.953945159912109,14.219621658325195,0.38160192966461182,-0.7716863751411438,-0.50880259275436401,0.80000001192092896,0.46301180124282837,-0.38160192966461182,0,-0,0.63600325584411621,0.7716863751411438,0,0.59999996423721313,-0.61734908819198608,0.50880259275436401,0,15.858779907226562,9.5680837631225586,-35.039207458496094,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,10081568989598650993,11876501720816053376,12296805988829721312
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,-29.9842529296875,20.76658821105957,14.687420845031738,0.3804190456867218,-0.77330702543258667,-0.50722545385360718,0.80000007152557373,0.46398419141769409,-0.3804190456867218,0,-0,0.63403183221817017,0.77330702543258667,0,0.59999996423721313,-0.61864566802978516,0.50722545385360718,0,15.174951553344727,9.8318500518798828,-34.915363311767578,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,7841757391595932582,16952118998699615543,6975841527459809875
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,-29.480314254760742,20.528060913085938,15.150601387023926,0.3793739378452301,-0.77473187446594238,-0.50583189725875854,0.80000001192092896,0.46483913064002991,-0.3793739378452301,0,-0,0.63228988647460938,0.77473187446594238,0,0.60000002384185791,-0.61978548765182495,0.50583189725875854,0,14.493889808654785,10.114041328430176,-34.75146484375,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9535771078875613834,10968655941969251155,4028357010636198727
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,-28.97637939453125,20.166297912597656,15.608028411865234,0.38216382265090942,-0.77091354131698608,-0.50955182313919067,0.80000007152557373,0.46254813671112061,-0.38216382265090942,0,-0,0.63693982362747192,0.77091354131698608,0,0.60000002384185791,-0.61673086881637573,0.50955182313919067,0,13.816287040710449,10.184205055236816,-34.573295593261719,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,5872615833415721575,2860141926163487566,13039590094666648730
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,-28.472442626953125,20.012828826904297,16.058586120605469,0.38313329219818115,-0.76957577466964722,-0.51084446907043457,0.80000007152557373,0.46174544095993042,-0.38313329219818115,0,-0,0.63855558633804321,0.76957577466964722,0,0.59999996423721313,-0.61566066741943359,0.51084446907043457,0,13.142805099487305,10.254356384277344,-34.513568878173828,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,17156949763739577461,16287159204840644716,9652898283541481508
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,-27.968503952026367,20.145072937011719,16.501167297363281,0.38098767399787903,-0.77252912521362305,-0.5079835057258606,0.79999995231628418,0.46351748704910278,-0.38098767399787903,0,-0,0.63497942686080933,0.77252912521362305,0,0.60000002384185791,-0.61802327632904053,0.5079835057258606,0,12.474101066589355,10.37028980255127,-34.600631713867188,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,4698851224138980926,12338968177310243359,11696370061858068955
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,-27.464565277099609,20.35969352722168,16.9346923828125,0.37810465693473816,-0.77645355463027954,-0.50413960218429565,0.80000007152557373,0.46587210893630981,-0.37810465693473816,0,-0,0.63017451763153076,0.77645355463027954,0,0.59999996423721313,-0.62116289138793945,0.50413960218429565,0,11.810839653015137,10.484017372131348,-34.73028564453125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,3976712869449843430,913384341351947895,13221024151309822355
10,10,0.33333333333333331,move,1280,720,60,0.10000000149011612,800,-26.960630416870117,20.234064102172852,17.358097076416016,0.37925925850868225,-0.77488791942596436,-0.50567889213562012,0.79999995231628418,0.46493282914161682,-0.37925925850868225,0,-0,0.63209867477416992,0.77488791942596436,0,0.60000008344650269,-0.61991029977798462,0.50567889213562012,0,11.153642654418945,10.505419731140137,-34.68182373046875,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,11497866906922370430,14262984531918606431,11315810124935941659
