frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,0,52.103435516357422,88,0,-0.50921660661697388,-0.86063838005065918,1,0,-0,0,-0,0.86063838005065918,0.50921660661697388,0,0,-0.50921660661697388,0.86063838005065918,0,-0,-0.031154632568359375,-102.26811218261719,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14661289578345595536,13534928692184430033,9609820491298099585
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,0,51.092906951904297,85.852630615234375,0,-0.51114344596862793,-0.85949552059173584,1,0,-0,0,-0,0.85949552059173584,0.51114344596862793,0,0,-0.51114344596862793,0.85949552059173584,0,-0,-0.0311126708984375,-99.90576171875,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,11437445400310809381,12425693079782968284,3283264938890970260
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,0,50.082378387451172,83.70526123046875,0,-0.51316076517105103,-0.85829252004623413,1,0,-0,0,-0,0.85829252004623413,0.51316076517105103,0,0,-0.51316076517105103,0.85829252004623413,0,-0,-0.031078338623046875,-97.543907165527344,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15284520335461011443,11760588255846662418,4548868574444237670
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,0,49.071857452392578,81.557891845703125,0,-0.51527529954910278,-0.8570246696472168,1,0,-0,0,-0,0.8570246696472168,0.51527529954910278,0,0,-0.51527529954910278,0.8570246696472168,0,-0,-0.031024932861328125,-95.182640075683594,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,6848280442170788952,16523772837038243977,3997836324075660793
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,0,48.061328887939453,79.410530090332031,0,-0.51749396324157715,-0.85568684339523315,1,0,-0,0,-0,0.85568684339523315,0.51749396324157715,0,0,-0.51749396324157715,0.85568684339523315,0,-0,-0.030975341796875,-92.821990966796875,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8783543667625527033,1089765527824761816,4433108528630451096
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,0,47.050800323486328,77.263160705566406,0,-0.51982474327087402,-0.85427296161651611,0.99999994039535522,0,-0,0,-0,0.85427290201187134,0.51982474327087402,0,0,-0.51982468366622925,0.85427296161651611,0,-0,-0.030925750732421875,-90.461997985839844,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9917797276604742727,15545783332126264046,3634582608773610234
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,0,46.040279388427734,75.115791320800781,0,-0.52227622270584106,-0.85277634859085083,1,0,-0,0,-0,0.85277634859085083,0.52227622270584106,0,0,-0.52227622270584106,0.85277634859085083,0,-0,-0.0308685302734375,-88.102714538574219,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,10183333527153366701,505867286713395764,15219302973869765388
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,0,45.029750823974609,72.968429565429688,0,-0.52485787868499756,-0.85118991136550903,0.99999994039535522,0,-0,0,-0,0.85118985176086426,0.52485787868499756,0,0,-0.52485781908035278,0.85118991136550903,0,-0,-0.03081512451171875,-85.744216918945312,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,563242006941678019,15282508938028067618,17920617335335760054
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,0,44.019222259521484,70.821052551269531,0,-0.52758044004440308,-0.84950512647628784,1,0,-0,0,-0,0.84950512647628784,0.52758044004440308,0,0,-0.52758044004440308,0.84950512647628784,0,-0,-0.030750274658203125,-83.386528015136719,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15943160215259930196,11476055736841364013,4062692609642207941
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,0,43.008693695068359,68.673690795898438,0,-0.53045547008514404,-0.84771281480789185,1,0,-0,0,-0,0.84771281480789185,0.53045547008514404,0,0,-0.53045547008514404,0.84771281480789185,0,-0,-0.030689239501953125,-81.029769897460938,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,13768007665458401152,6291195039288430657,3305553596410298993
