frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,0,40.103435516357422,72,0,-0.48626634478569031,-0.87381064891815186,0.99999994039535522,0,-0,0,-0,0.87381058931350708,0.48626634478569031,0,0,-0.48626631498336792,0.87381064891815186,0,-0,-0.0316314697265625,-82.415321350097656,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,12458253866034600297,14550498154388768712,687860143461096456
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,4.7585225105285645,40.103435516357422,71.842575073242188,-0.057750668376684189,-0.4862663745880127,-0.87190020084381104,0.99781358242034912,-0.032137632369995117,0.057750668376684189,0,0,0.87381064891815186,0.4862663745880127,0,-0.066090591251850128,-0.48520320653915405,0.87190020084381104,0,-0,-0.0316314697265625,-82.415313720703125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,5214872621812820421,7048049637494918332,8294143535056948020
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,9.4962368011474609,40.103435516357422,71.371009826660156,-0.11524879187345505,-0.48626634478569031,-0.86617708206176758,0.9912639856338501,-0.06413472443819046,0.11524879187345505,0,0,0.87381058931350708,0.48626634478569031,0,-0.13189217448234558,-0.48201832175254822,0.86617708206176758,0,-0,-0.0316314697265625,-82.415313720703125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15569351697204790133,5434302846064994156,17246785998475382564
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,14.192425727844238,40.103435516357422,70.587356567382812,-0.17224295437335968,-0.48626634478569031,-0.8566664457321167,0.98037987947463989,-0.095851369202136993,0.17224295437335968,0,0,0.8738105297088623,0.48626634478569031,0,-0.19711701571941376,-0.47672572731971741,0.8566664457321167,0,-0,-0.0316314697265625,-82.415313720703125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,16368853147116275172,9961997862236381053,15546885335314664085
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,18.826555252075195,40.103435516357422,69.495040893554688,-0.22848396003246307,-0.48626634478569031,-0.84340983629226685,0.96520888805389404,-0.12714889645576477,0.22848396003246307,0,0,0.87381064891815186,0.48626634478569031,0,-0.2614799439907074,-0.46934860944747925,0.84340983629226685,0,1.9073486328125e-06,-0.0316314697265625,-82.415313720703125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,2918361835110323135,12882994648258734550,13778711971457217122
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,23.378362655639648,40.103435516357422,68.098838806152344,-0.28372585773468018,-0.48626634478569031,-0.82646512985229492,0.94581723213195801,-0.1578904390335083,0.28372585773468018,0,0,0.87381058931350708,0.48626634478569031,0,-0.32469949126243591,-0.45991909503936768,0.82646512985229492,0,-0,-0.031629562377929688,-82.415313720703125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,10829413254459077875,14964071957503112722,7752352276100687974
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,27.827939987182617,40.103435516357422,66.404861450195312,-0.33772709965705872,-0.48626634478569031,-0.80590659379959106,0.92228966951370239,-0.1879415363073349,0.33772709965705872,0,0,0.87381058931350708,0.48626634478569031,0,-0.38649916648864746,-0.44847843050956726,0.80590659379959106,0,1.9073486328125e-06,-0.031629562377929688,-82.415313720703125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,17457190464465490052,6720766736590973021,6023121087923087413
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,32.155834197998047,40.103435516357422,64.420509338378906,-0.39025154709815979,-0.48626634478569031,-0.78182399272918701,0.89472925662994385,-0.2171708345413208,0.39025154709815979,0,0,0.87381058931350708,0.48626634478569031,0,-0.44660881161689758,-0.43507671356201172,0.78182399272918701,0,1.9073486328125e-06,-0.031633377075195312,-82.415313720703125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,11626171437993891035,9153319113522605450,1827584939499732990
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,36.343120574951172,40.103435516357422,62.154464721679688,-0.44106951355934143,-0.48626634478569031,-0.75432270765304565,0.86325645446777344,-0.24545048177242279,0.44106951355934143,0,0,0.87381064891815186,0.48626634478569031,0,-0.50476551055908203,-0.41977256536483765,0.75432270765304565,0,-3.814697265625e-06,-0.031633377075195312,-82.415313720703125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,12927629411046816599,1944458608034155646,17382855906526884106
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,40.371486663818359,40.103435516357422,59.616634368896484,-0.48995882272720337,-0.48626634478569031,-0.72352290153503418,0.82800877094268799,-0.27265685796737671,0.48995882272720337,0,0,0.87381064891815186,0.48626634478569031,0,-0.56071507930755615,-0.40263280272483826,0.72352290153503418,0,-0,-0.031633377075195312,-82.415313720703125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,12766572249058515785,17230446061524059112,6963869569478110440
10,10,0.33333333333333331,move,1280,720,60,0.10000000149011612,800,44.223316192626953,40.103435516357422,56.818111419677734,-0.5367056131362915,-0.48626634478569031,-0.68955934047698975,0.78914040327072144,-0.29867094755172729,0.5367056131362915,0,0,0.8738105297088623,0.48626634478569031,0,-0.61421269178390503,-0.38373240828514099,0.68955934047698975,0,-0,-0.031635284423828125,-82.415313720703125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,6882209058085154215,3718568680040979854,16623388974861084122
11,11,0.36666666666666664,move,1280,720,60,0.10000000149011612,800,47.881767272949219,40.103435516357422,53.771144866943359,-0.58110553026199341,-0.48626634478569031,-0.65258055925369263,0.74682146310806274,-0.3233790397644043,0.58110553026199341,0,0,0.87381058931350708,0.48626634478569031,0,-0.6650245189666748,-0.36315414309501648,0.65258055925369263,0,-3.814697265625e-06,-0.0316314697265625,-82.415313720703125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8104358655558931324,4605140786764912261,7788682023483237917
