frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,-32,14.535259246826172,12.799999237060547,0.44504296779632568,-0.67068940401077271,-0.59339064359664917,0.80000007152557373,0.40241366624832153,-0.44504296779632568,0,-0,0.74173831939697266,0.67068940401077271,0,0.60000002384185791,-0.53655159473419189,0.59339064359664917,0,17.920001983642578,8.9637384414672852,-31.585420608520508,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15076602633222854626,18411768394421993435,9898362251723092335
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,-31.496063232421875,14.543798446655273,13.274754524230957,0.44491404294967651,-0.67092692852020264,-0.59321874380111694,0.80000001192092896,0.40255618095397949,-0.44491404294967651,0,-0,0.74152344465255737,0.67092692852020264,0,0.60000002384185791,-0.53674155473709106,0.59321874380111694,0,17.231998443603516,9.0194797515869141,-31.645698547363281,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14095832758866991378,434249513958500811,17691647170331618783
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,-30.99212646484375,14.547060012817383,13.748349189758301,0.44472363591194153,-0.67127764225006104,-0.59296488761901855,0.80000001192092896,0.40276655554771423,-0.44472363591194153,0,-0,0.74120604991912842,0.67127764225006104,0,0.59999996423721313,-0.53702211380004883,0.59296488761901855,0,16.544692993164062,9.0833911895751953,-31.700334548950195,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,5153821495046815447,17230076409813694718,17325112008184857738
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,-30.488189697265625,14.552121162414551,14.219621658325195,0.44468885660171509,-0.6713414192199707,-0.59291857481002808,0.80000001192092896,0.40280479192733765,-0.44468885660171509,0,-0,0.74114811420440674,0.6713414192199707,0,0.59999990463256836,-0.53707313537597656,0.59291857481002808,0,15.858780860900879,9.1324882507324219,-31.758277893066406,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,5143332654498960800,55244624744508193,6129004732289606929
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,-29.9842529296875,14.557209968566895,14.687420845031738,0.44423070549964905,-0.67218351364135742,-0.5923076868057251,0.80000007152557373,0.40331009030342102,-0.44423070549964905,0,-0,0.74038457870483398,0.67218351364135742,0,0.59999996423721313,-0.5377468466758728,0.5923076868057251,0,15.174951553344727,9.2131319046020508,-31.804513931274414,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,6160472631799716910,18295890201349929999,16745056780836268299
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,-29.480314254760742,14.560486793518066,15.150601387023926,0.44457891583442688,-0.67154383659362793,-0.59277182817459106,0.79999995231628418,0.40292632579803467,-0.44457891583442688,0,-0,0.74096477031707764,0.67154383659362793,0,0.60000002384185791,-0.53723502159118652,0.59277182817459106,0,14.493887901306152,9.2290210723876953,-31.865180969238281,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8056838198158950483,17232890825641741618,3158600918221937734
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,-28.97637939453125,14.561634063720703,15.608028411865234,0.44394606351852417,-0.67270576953887939,-0.59192818403244019,0.80000007152557373,0.40362343192100525,-0.44394606351852417,0,-0,0.73991024494171143,0.67270576953887939,0,0.59999996423721313,-0.53816467523574829,0.59192818403244019,0,13.816287994384766,9.3209333419799805,-31.898475646972656,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9633383468501730203,5976020774156001098,1361117912540286398
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,-28.472442626953125,14.562224388122559,16.058586120605469,0.44375026226043701,-0.67306429147720337,-0.59166711568832397,0.80000001192092896,0.40383851528167725,-0.44375026226043701,0,-0,0.73958379030227661,0.67306429147720337,0,0.59999990463256836,-0.5384514331817627,0.59166711568832397,0,13.142804145812988,9.3750524520874023,-31.93730354309082,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,16412809956979420890,17086315839530607267,11228808008999278231
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,-27.968503952026367,14.568662643432617,16.501167297363281,0.44366157054901123,-0.67322713136672974,-0.59154868125915527,0.79999995231628418,0.40393632650375366,-0.44366157054901123,0,-0,0.73943591117858887,0.67322713136672974,0,0.60000008344650269,-0.53858166933059692,0.59154868125915527,0,12.474100112915039,9.4121284484863281,-31.977811813354492,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,18165742275036087370,11308826576129779731,15757729904890028551
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,-27.464565277099609,14.574920654296875,16.9346923828125,0.44357502460479736,-0.6733851432800293,-0.59143346548080444,0.80000001192092896,0.40403100848197937,-0.44357502460479736,0,-0,0.7392917275428772,0.6733851432800293,0,0.59999990463256836,-0.5387081503868103,0.59143346548080444,0,11.81083869934082,9.44427490234375,-32.012874603271484,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8055514854402176711,301841348870389870,14492792231261455738
