frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,0,62.389419555664062,88,0,-0.55526578426361084,-0.8316730260848999,0.99999994039535522,0,-0,0,-0,0.83167296648025513,0.55526578426361084,0,0,-0.55526572465896606,0.8316730260848999,0,-0,-3.0242080688476562,-107.82994079589844,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9734609389761600580,18397505318980079133,8499053276072791797
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,0,61.378890991210938,85.852630615234375,0,-0.55809146165847778,-0.82977944612503052,1,0,-0,0,-0,0.82977944612503052,0.55809146165847778,0,0,-0.55809146165847778,0.82977944612503052,0,-0,-3.0173225402832031,-105.49378204345703,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,1697084449080218696,10119523019503219001,927187742498144233
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,0,60.368362426757812,83.70526123046875,0,-0.56104135513305664,-0.82778781652450562,1,0,-0,0,-0,0.82778781652450562,0.56104135513305664,0,0,-0.56104135513305664,0.82778781652450562,0,-0,-3.0100822448730469,-103.15933990478516,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9186269324854737946,8891910828463520227,11242438690230532567
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,0,59.357841491699219,81.557891845703125,0,-0.56412369012832642,-0.82569026947021484,0.99999994039535522,0,-0,0,-0,0.82569020986557007,0.56412369012832642,0,0,-0.56412363052368164,0.82569026947021484,0,-0,-3.0024528503417969,-100.82672119140625,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8660820355036824085,1316468727163945676,14377225673372399428
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,0,58.347312927246094,79.410530090332031,0,-0.56734734773635864,-0.82347863912582397,1,0,-0,0,-0,0.82347863912582397,0.56734734773635864,0,0,-0.56734734773635864,0.82347863912582397,0,-0,-2.994415283203125,-98.496063232421875,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,785000962300769843,17348640842646393682,11195213098676822438
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,0,57.336784362792969,77.263160705566406,0,-0.57072210311889648,-0.82114320993423462,0.99999994039535522,0,-0,0,-0,0.82114315032958984,0.57072210311889648,0,0,-0.57072204351425171,0.82114320993423462,0,-0,-2.9859161376953125,-96.167488098144531,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,2218650363579743421,10031969759519592324,225987815688999708
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,0,56.326263427734375,75.115791320800781,0,-0.57425874471664429,-0.81867384910583496,1,0,-0,0,-0,0.81867384910583496,0.57425874471664429,0,0,-0.57425874471664429,0.81867384910583496,0,-0,-2.9769401550292969,-93.8411865234375,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,7326545743146556304,15679835989198249681,11754727788311919233
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,0,55.31573486328125,72.968429565429688,0,-0.57796871662139893,-0.81605899333953857,1,0,-0,0,-0,0.81605899333953857,0.57796871662139893,0,0,-0.57796871662139893,0.81605899333953857,0,-0,-2.9674339294433594,-91.517303466796875,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,1669709793253282054,15233272355893964759,6611855620894836531
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,0,54.305206298828125,70.821052551269531,0,-0.58186489343643188,-0.81328541040420532,1,0,-0,0,-0,0.81328541040420532,0.58186489343643188,0,0,-0.58186489343643188,0.81328541040420532,0,-0,-2.9573478698730469,-89.196022033691406,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15361592067788732345,2420236917124920472,6641977262226192984
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,0,53.294677734375,68.673690795898438,0,-0.58596134185791016,-0.81033909320831299,0.99999994039535522,0,-0,0,-0,0.81033903360366821,0.58596134185791016,0,0,-0.58596128225326538,0.81033909320831299,0,-0,-2.9466323852539062,-86.877593994140625,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,3510438078420421412,3087714089402573245,18198670899533188821
