frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,0,50.389419555664062,72,0,-0.54460442066192627,-0.83869302272796631,0.99999994039535522,0,-0,0,-0,0.83869296312332153,0.54460442066192627,0,0,-0.54460436105728149,0.83869302272796631,0,-0,-3.0497398376464844,-87.828201293945312,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,16564797055940526581,5600561179242402028,8092065430979422116
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,4.7585225105285645,50.389419555664062,71.842575073242188,-0.055429719388484955,-0.54460442066192627,-0.83685928583145142,0.9978136420249939,-0.035993233323097229,0.055429719388484955,0,0,0.83869296312332153,0.54460442066192627,0,-0.066090598702430725,-0.54341369867324829,0.83685928583145142,0,-0,-3.0497360229492188,-87.828193664550781,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,13738579368207865316,16018945643034292093,3157089042403023509
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,9.4962368011474609,50.389419555664062,71.371009826660156,-0.11061704903841019,-0.54460442066192627,-0.83136624097824097,0.99126410484313965,-0.071829065680503845,0.11061704903841019,0,0,0.83869308233261108,0.54460442066192627,0,-0.13189218938350677,-0.53984683752059937,0.83136624097824097,0,-0,-3.0497360229492188,-87.828193664550781,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,12365443978351775211,14316616964470824282,4166715041271616142
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,14.192425727844238,50.389419555664062,70.587356567382812,-0.16532067954540253,-0.54460442066192627,-0.82223784923553467,0.98037993907928467,-0.10735079646110535,0.16532067954540253,0,0,0.83869302272796631,0.54460442066192627,0,-0.19711701571941376,-0.53391927480697632,0.82223784923553467,0,-0,-3.0497360229492188,-87.828201293945312,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,6732097459070443244,7810910152329862325,11043479748456927757
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,18.826555252075195,50.389419555664062,69.495040893554688,-0.21930140256881714,-0.54460442066192627,-0.80951398611068726,0.96520888805389404,-0.14240314066410065,0.21930140256881714,0,0,0.83869302272796631,0.54460442066192627,0,-0.2614799439907074,-0.52565699815750122,0.80951398611068726,0,1.9073486328125e-06,-3.0497360229492188,-87.828201293945312,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15060238705906561469,15431945705297826948,5625963761467234332
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,23.378362655639648,50.389419555664062,68.098838806152344,-0.27232319116592407,-0.54460442066192627,-0.79325032234191895,0.94581717252731323,-0.17683276534080505,0.27232319116592407,0,0,0.83869296312332153,0.54460442066192627,0,-0.32469946146011353,-0.51509618759155273,0.79325032234191895,0,-0,-3.0497398376464844,-87.828193664550781,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,6179682562624181765,9775870915631700732,5994048250754190708
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,27.827939987182617,50.389419555664062,66.404861450195312,-0.32415416836738586,-0.54460442066192627,-0.77351796627044678,0.92228966951370239,-0.21048915386199951,0.32415416836738586,0,0,0.83869296312332153,0.54460442066192627,0,-0.38649916648864746,-0.50228303670883179,0.77351796627044678,0,1.9073486328125e-06,-3.0497398376464844,-87.828201293945312,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,18256492603995865992,8242829325408593785,1764393070499415849
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,32.155834197998047,50.389419555664062,64.420509338378906,-0.37456768751144409,-0.54460442066192627,-0.75040322542190552,0.89472925662994385,-0.24322511255741119,0.37456768751144409,0,0,0.83869290351867676,0.54460442066192627,0,-0.4466087818145752,-0.48727351427078247,0.75040322542190552,0,-0,-3.0497360229492188,-87.828201293945312,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,6321591722582163251,16492461153752591442,10339033409783020198
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,36.343120574951172,50.389419555664062,62.154464721679688,-0.42334336042404175,-0.54460442066192627,-0.72400718927383423,0.86325645446777344,-0.27489757537841797,0.42334336042404175,0,0,0.83869302272796631,0.54460442066192627,0,-0.50476557016372681,-0.47013327479362488,0.72400718927383423,0,-0,-3.0497360229492188,-87.828201293945312,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,3575620113664610896,16201169502212416145,6686134155708095297
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,40.371486663818359,50.389419555664062,59.616634368896484,-0.47026783227920532,-0.54460442066192627,-0.69444519281387329,0.82800877094268799,-0.30536791682243347,0.47026783227920532,0,0,0.83869302272796631,0.54460442066192627,0,-0.56071507930755615,-0.45093724131584167,0.69444519281387329,0,-0,-3.0497379302978516,-87.828201293945312,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,6224818379340483219,10939791491205765490,16835432389208998790
