frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,reveal,1280,720,60,0.10000000149011612,800,0,50.389419555664062,72,0,-0.35521775484085083,-0.93478357791900635,0.99999994039535522,0,-0,0,-0,0.93478351831436157,0.35521775484085083,0,0,-0.35521772503852844,0.93478357791900635,0,-0,-21.527523040771484,-85.203636169433594,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,10556526114892932750,11757157781803020719,15310660121906759531
1,1,0.033333333333333333,reveal,1280,720,60,0.10000000149011612,800,0,50.389419555664062,72,0.036889772862195969,-0.35521775484085083,-0.93405544757843018,0.99922102689743042,0.014018112793564796,-0.036889772862195969,0,-0,0.93478363752365112,0.35521775484085083,0,0.039463434368371964,-0.35494104027748108,0.93405544757843018,0,-2.841367244720459,-21.547451019287109,-85.151206970214844,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,4693242674872321505,5813215438154598576,9878761044094778064
2,2,0.066666666666666666,reveal,1280,720,60,0.10000000149011612,800,0,50.389419555664062,72,0.073722079396247864,-0.35521775484085083,-0.93187201023101807,0.99688524007797241,0.028014387935400009,-0.073722079396247864,0,-0,0.93478357791900635,0.35521775484085083,0,0.078865393996238708,-0.35411134362220764,0.93187201023101807,0,-5.6783084869384766,-21.607185363769531,-84.994003295898438,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9615969980420470247,11292600435939687374,8189118447325186074
3,3,0.10000000000000001,reveal,1280,720,60,0.10000000149011612,800,0,50.389419555664062,72,0.11043950915336609,-0.35521775484085083,-0.92823672294616699,0.99299633502960205,0.041967008262872696,-0.11043950915336609,0,-0,0.9347834587097168,0.35521775484085083,0,0.11814446002244949,-0.3527299165725708,0.92823672294616699,0,-8.5064010620117188,-21.706642150878906,-84.732261657714844,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15031009771875877079,9147555568449264382,9242591166820427402
4,4,0.13333333333333333,reveal,1280,720,60,0.10000000149011612,800,0,50.389419555664062,72,0.14698491990566254,-0.35521778464317322,-0.92315536737442017,0.98756051063537598,0.055854272097349167,-0.14698491990566254,0,-0,0.93478357791900635,0.35521778464317322,0,0.15723951160907745,-0.35079905390739441,0.92315536737442017,0,-11.321245193481445,-21.845670700073242,-84.366401672363281,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,2399015591604880748,13045959037879598645,3880316273639834765
5,5,0.16666666666666666,reveal,1280,720,60,0.10000000149011612,800,0,50.389419555664062,72,0.18330127000808716,-0.35521775484085083,-0.91663569211959839,0.98058593273162842,0.069654479622840881,-0.18330127000808716,0,-0,0.93478351831436157,0.35521775484085083,0,0.19608952105045319,-0.34832152724266052,0.91663569211959839,0,-14.11844539642334,-22.024049758911133,-83.896987915039062,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,3454847886990299441,7565834442814924352,4517375548305521824
6,6,0.20000000000000001,reveal,1280,720,60,0.10000000149011612,800,0,50.389419555664062,72,0.21933206915855408,-0.35521775484085083,-0.90868794918060303,0.97208374738693237,0.083346180617809296,-0.21933206915855408,0,-0,0.93478357791900635,0.35521775484085083,0,0.23463405668735504,-0.34530141949653625,0.90868794918060303,0,-16.893651962280273,-22.241500854492188,-83.324745178222656,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15954416177393024455,1406321379510974318,15597272261902040186
7,7,0.23333333333333334,reveal,1280,720,60,0.10000000149011612,800,0,50.389419555664062,72,0.25502118468284607,-0.35521775484085083,-0.89932447671890259,0.96206700801849365,0.096908040344715118,-0.25502118468284607,0,-0,0.93478351831436157,0.35521775484085083,0,0.27281305193901062,-0.34174329042434692,0.89932447671890259,0,-19.642539978027344,-22.497682571411133,-82.650581359863281,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,12638238036805833733,575470174466062588,15240391583298104180
8,8,0.26666666666666666,reveal,1280,720,60,0.10000000149011612,800,0,50.389419555664062,72,0.2903130054473877,-0.35521778464317322,-0.88855993747711182,0.95055145025253296,0.11031893640756607,-0.2903130054473877,0,-0,0.93478357791900635,0.35521778464317322,0,0.31056705117225647,-0.3376527726650238,0.88855993747711182,0,-22.360828399658203,-22.792203903198242,-81.875534057617188,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,10367293912183709840,3189353660017423313,17710989532840644481
9,9,0.29999999999999999,reveal,1280,720,60,0.10000000149011612,800,0,50.389419555664062,72,0.32515245676040649,-0.35521778464317322,-0.87641102075576782,0.93755495548248291,0.1235579326748848,-0.32515245676040649,0,-0,0.93478357791900635,0.35521778464317322,0,0.34783712029457092,-0.33303618431091309,0.87641102075576782,0,-25.044273376464844,-23.124597549438477,-81.000808715820312,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15518893680998522637,16357877077362367572,378733574190537068
