frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,-32,30.912479400634766,12.799999237060547,0.32463893294334412,-0.84098076820373535,-0.43285197019577026,0.80000007152557373,0.50458842515945435,-0.32463893294334412,0,-0,0.54106497764587402,0.84098076820373535,0,0.59999996423721313,-0.67278468608856201,0.43285197019577026,0,17.920003890991211,8.0328130722045898,-41.925750732421875,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,5756506270332480338,10325799345978086667,11427630533466199583
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,-31.496063232421875,30.982440948486328,13.274754524230957,0.32568156719207764,-0.83986026048660278,-0.4342421293258667,0.80000007152557373,0.50391614437103271,-0.32568156719207764,0,-0,0.54280263185501099,0.83986026048660278,0,0.59999996423721313,-0.67188829183578491,0.4342421293258667,0,17.232002258300781,7.9731769561767578,-42.043067932128906,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,13089782669400221526,17735394133057635239,17875930546139546563
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,-30.99212646484375,31.073638916015625,13.748349189758301,0.32668158411979675,-0.83878076076507568,-0.43557551503181458,0.80000001192092896,0.50326836109161377,-0.32668158411979675,0,-0,0.54446935653686523,0.83878076076507568,0,0.59999990463256836,-0.6710246205329895,0.43557551503181458,0,16.544692993164062,7.9041938781738281,-42.176971435546875,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15368013125366022789,10499046045489825404,4977780679303613428
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,-30.488189697265625,31.128692626953125,14.219621658325195,0.32817497849464417,-0.83715987205505371,-0.43756669759750366,0.80000007152557373,0.50229591131210327,-0.32817497849464417,0,-0,0.54695838689804077,0.83715987205505371,0,0.59999996423721313,-0.66972798109054565,0.43756669759750366,0,15.858781814575195,7.8112707138061523,-42.287189483642578,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,5444628400096427470,11233719989107596527,14551351151649618859
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,-29.9842529296875,31.235965728759766,14.687420845031738,0.32892826199531555,-0.83633816242218018,-0.43857103586196899,0.80000001192092896,0.50180286169052124,-0.32892826199531555,0,-0,0.54821377992630005,0.83633816242218018,0,0.59999996423721313,-0.6690705418586731,0.43857103586196899,0,15.174949645996094,7.7491168975830078,-42.427978515625,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,1049942531429675178,9638576655854501171,1136261878921806311
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,-29.480314254760742,31.352466583251953,15.150601387023926,0.330269455909729,-0.83486872911453247,-0.44035923480987549,0.79999995231628418,0.50092124938964844,-0.330269455909729,0,-0,0.55044901371002197,0.83486872911453247,0,0.60000002384185791,-0.66789495944976807,0.44035923480987549,0,14.493887901306152,7.6283912658691406,-42.583347320556641,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,11985694083810181492,14559293375699847949,356260290859710053
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,-28.97637939453125,31.460773468017578,15.608028411865234,0.33089306950569153,-0.83418256044387817,-0.44119077920913696,0.80000007152557373,0.50050956010818481,-0.33089306950569153,0,-0,0.55148851871490479,0.83418256044387817,0,0.60000002384185791,-0.66734611988067627,0.44119077920913696,0,13.816287040710449,7.5686559677124023,-42.718231201171875,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,13692010223141737772,12178421799744230901,3414778734588213325
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,-28.472442626953125,31.533267974853516,16.058586120605469,0.33118778467178345,-0.83385753631591797,-0.4415837824344635,0.80000001192092896,0.50031441450119019,-0.33118778467178345,0,-0,0.551979660987854,0.83385753631591797,0,0.59999990463256836,-0.66708606481552124,0.4415837824344635,0,13.142804145812988,7.551910400390625,-42.815185546875,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,4089191933494989156,12443273764807646205,6629828878279854101
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,-27.968503952026367,31.634796142578125,16.501167297363281,0.33062559366226196,-0.83447718620300293,-0.44083407521247864,0.80000001192092896,0.5006864070892334,-0.33062559366226196,0,-0,0.55104267597198486,0.83447718620300293,0,0.60000008344650269,-0.66758173704147339,0.44083407521247864,0,12.474102020263672,7.5872039794921875,-42.919895172119141,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,16428723251337446443,13346140658231656346,2583675234592196046
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,-27.464565277099609,31.667888641357422,16.9346923828125,0.33203268051147461,-0.83292365074157715,-0.442710280418396,0.79999995231628418,0.49975410103797913,-0.33203268051147461,0,-0,0.55338776111602783,0.83292365074157715,0,0.59999990463256836,-0.66633886098861694,0.442710280418396,0,11.810836791992188,7.4851503372192383,-42.993228912353516,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,4205147350647087020,11868017565797472117,3564239230834620621
10,10,0.33333333333333331,move,1280,720,60,0.10000000149011612,800,-26.960630416870117,31.651905059814453,17.358097076416016,0.3333895206451416,-0.83141684532165527,-0.4445192813873291,0.80000001192092896,0.49885016679763794,-0.3333895206451416,0,-0,0.55564916133880615,0.83141684532165527,0,0.60000008344650269,-0.66513347625732422,0.4445192813873291,0,11.153644561767578,7.4074115753173828,-43.020328521728516,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,13110025385636426289,455134188753360704,15853419367953509792
11,11,0.36666666666666664,move,1280,720,60,0.10000000149011612,800,-26.456691741943359,31.636913299560547,17.770349502563477,0.3349042534828186,-0.8297240138053894,-0.44653904438018799,0.80000001192092896,0.49783438444137573,-0.3349042534828186,0,-0,0.5581737756729126,0.8297240138053894,0,0.59999996423721313,-0.66377919912338257,0.44653904438018799,0,10.503144264221191,7.307744026184082,-43.045520782470703,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,6651951189682185310,15308399118473341567,16118620345858959355
12,12,0.40000000000000002,move,1280,720,60,0.10000000149011612,800,-25.952756881713867,31.60546875,18.170438766479492,0.33659565448760986,-0.82782077789306641,-0.4487941563129425,0.80000001192092896,0.49669253826141357,-0.33659565448760986,0,-0,0.5609927773475647,0.82782077789306641,0,0.60000008344650269,-0.66225665807723999,0.4487941563129425,0,9.8599405288696289,7.1935949325561523,-43.054039001464844,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8186556644794176142,3257168433105903023,6810670773209641835
13,13,0.43333333333333335,move,1280,720,60,0.10000000149011612,800,-25.448818206787109,31.506168365478516,18.557384490966797,0.33834126591682434,-0.82584166526794434,-0.45112168788909912,0.79999995231628418,0.49550497531890869,-0.33834126591682434,0,-0,0.56390208005905151,0.82584166526794434,0,0.59999996423721313,-0.66067332029342651,0.45112168788909912,0,9.2246227264404297,7.1039915084838867,-43.001129150390625,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,13647856031097578834,17359926643785576203,15013757564137503
14,14,0.46666666666666667,move,1280,720,60,0.10000000149011612,800,-24.944881439208984,31.469051361083984,18.930240631103516,0.33923372626304626,-0.82482397556304932,-0.45231163501739502,0.79999995231628418,0.4948943555355072,-0.33923372626304626,0,-0,0.56538951396942139,0.82482397556304932,0,0.59999996423721313,-0.65985912084579468,0.45231163501739502,0,8.5977602005004883,7.0441007614135742,-42.980941772460938,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,17977755435234196329,1319405272657938888,5903511335439818248
15,15,0.5,move,1280,720,60,0.10000000149011612,800,-24.440944671630859,31.506214141845703,19.288097381591797,0.33959105610847473,-0.82441556453704834,-0.45278811454772949,0.80000007152557373,0.49464935064315796,-0.33959105610847473,0,-0,0.56598514318466187,0.82441556453704834,0,0.60000002384185791,-0.65953248739242554,0.45278811454772949,0,7.9798984527587891,6.9787759780883789,-43.007560729980469,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14394456616248653507,13642071520482113570,16280179917789806006
16,16,0.53333333333333333,move,1280,720,60,0.10000000149011612,800,-23.937007904052734,31.494827270507812,19.630073547363281,0.34037825465202332,-0.82351326942443848,-0.45383766293525696,0.79999995231628418,0.4941079318523407,-0.34037825465202332,0,-0,0.56729704141616821,0.82351326942443848,0,0.59999996423721313,-0.65881055593490601,0.45383766293525696,0,7.3715610504150391,6.8930425643920898,-42.992912292480469,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,365261577494255774,9173754077325334975,14240969303983847227
17,17,0.56666666666666665,move,1280,720,60,0.10000000149011612,800,-23.433071136474609,31.512863159179688,19.955337524414062,0.34046706557273865,-0.82341122627258301,-0.45395609736442566,0.79999995231628418,0.49404671788215637,-0.34046706557273865,0,-0,0.56744503974914551,0.82341122627258301,0,0.59999996423721313,-0.6587289571762085,0.45395609736442566,0,6.77325439453125,6.8403720855712891,-42.985084533691406,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,7310628099443761098,14699346041130816659,6694974236382574983
18,18,0.59999999999999998,move,1280,720,60,0.10000000149011612,800,-22.929134368896484,31.552165985107422,20.263090133666992,0.34060397744178772,-0.82325398921966553,-0.45413863658905029,0.79999995231628418,0.49395236372947693,-0.34060397744178772,0,-0,0.56767326593399048,0.82325398921966553,0,0.59999996423721313,-0.65860313177108765,0.45413863658905029,0,6.1854524612426758,6.759913444519043,-42.987453460693359,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,4694280755015283188,8280185424759622285,15262177466743353573
19,19,0.6333333333333333,move,1280,720,60,0.10000000149011612,800,-22.425195693969727,31.589023590087891,20.552579879760742,0.34144550561904907,-0.82228505611419678,-0.45526066422462463,0.80000001192092896,0.49337103962898254,-0.34144550561904907,0,-0,0.56907588243484497,0.82228505611419678,0,0.60000002384185791,-0.65782803297042847,0.45526066422462463,0,5.6086082458496094,6.6074542999267578,-42.988945007324219,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14496338037162065778,13712241473615232747,2191068410190626367
20,20,0.66666666666666663,move,1280,720,60,0.10000000149011612,800,-21.921260833740234,31.739192962646484,20.823097229003906,0.34085914492607117,-0.82296055555343628,-0.45447883009910583,0.79999995231628418,0.4937763512134552,-0.34085914492607117,0,-0,0.56809854507446289,0.82296055555343628,0,0.60000002384185791,-0.65836840867996216,0.45447883009910583,0,5.0431489944458008,6.5024814605712891,-43.055824279785156,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9290656516418691053,16451230716927241076,5731312466646613324
21,21,0.69999999999999996,move,1280,720,60,0.10000000149011612,800,-21.417322158813477,31.857120513916016,21.073982238769531,0.33959168195724487,-0.82441473007202148,-0.45278891921043396,0.80000001192092896,0.49464881420135498,-0.33959168195724487,0,-0,0.56598615646362305,0.82441473007202148,0,0.59999996423721313,-0.65953177213668823,0.45278891921043396,0,4.4894695281982422,6.4623250961303711,-43.078689575195312,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,458919177840035405,11056198089046408596,8735246503334968492
22,22,0.73333333333333328,move,1280,720,60,0.10000000149011612,800,-20.913387298583984,31.984584808349609,21.304618835449219,0.33768784999847412,-0.82658416032791138,-0.45025047659873962,0.79999995231628418,0.49595046043395996,-0.33768784999847412,0,-0,0.56281304359436035,0.82658416032791138,0,0.59999996423721313,-0.66126728057861328,0.45025047659873962,0,3.9479389190673828,6.4587106704711914,-43.092563629150391,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,12009469824442061307,4645834891944294634,13736425410890207646
23,23,0.76666666666666672,move,1280,720,60,0.10000000149011612,800,-20.409450531005859,31.979053497314453,21.514442443847656,0.33638903498649597,-0.82805395126342773,-0.44851875305175781,0.80000001192092896,0.49683234095573425,-0.33638903498649597,0,-0,0.56064844131469727,0.82805395126342773,0,0.59999996423721313,-0.66244316101074219,0.44851875305175781,0,3.4188957214355469,6.4631633758544922,-42.995529174804688,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,11576754626389139376,16191787730245052977,16497833338648400417
24,24,0.80000000000000004,move,1280,720,60,0.10000000149011612,800,-19.905511856079102,32.025146484375,21.702939987182617,0.33471158146858215,-0.82994002103805542,-0.44628211855888367,0.80000001192092896,0.49796402454376221,-0.33471158146858215,0,-0,0.55785268545150757,0.82994002103805542,0,0.60000002384185791,-0.6639520525932312,0.44628211855888367,0,2.9026451110839844,6.4566259384155273,-42.927188873291016,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15540487071003935576,15685544662133286793,3159608149170703609
