frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,-32,29.999908447265625,12.799999237060547,0.31098097562789917,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.5131186842918396,-0.31098097562789917,0,-0,0.51830166578292847,0.85519784688949585,0,0.59999996423721313,-0.68415826559066772,0.41464135050773621,0,17.920001983642578,9.6280202865600586,-40.914653778076172,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,6148044319834114594,9140702123159723547,2402886804754695343
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,-31.496063232421875,29.999908447265625,13.274754524230957,0.31098097562789917,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.5131186842918396,-0.31098097562789917,0,-0,0.51830166578292847,0.85519784688949585,0,0.59999996423721313,-0.68415826559066772,0.41464135050773621,0,17.231998443603516,9.694249153137207,-40.954795837402344,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,10668458550381952212,14891027635160698797,8330384254466591045
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,-30.99212646484375,29.999908447265625,13.748349189758301,0.31098097562789917,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.5131186842918396,-0.31098097562789917,0,-0,0.51830166578292847,0.85519784688949585,0,0.59999996423721313,-0.68415826559066772,0.41464135050773621,0,16.544692993164062,9.7596836090087891,-40.994453430175781,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,374740290573562433,10390389841643461968,7550785780097561008
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,-30.488189697265625,29.999908447265625,14.219621658325195,0.31098097562789917,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.5131186842918396,-0.31098097562789917,0,-0,0.51830166578292847,0.85519784688949585,0,0.59999996423721313,-0.68415826559066772,0.41464135050773621,0,15.858779907226562,9.8235292434692383,-41.033145904541016,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14113796496690331318,13949364269963182151,6048810275944621475
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,-29.9842529296875,29.999908447265625,14.687420845031738,0.31098097562789917,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.5131186842918396,-0.31098097562789917,0,-0,0.51830166578292847,0.85519784688949585,0,0.59999996423721313,-0.68415826559066772,0.41464135050773621,0,15.174949645996094,9.8849983215332031,-41.070400238037109,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,17885760037005625768,16613353685278746713,4693706694685790921
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,-29.480314254760742,29.999908447265625,15.150601387023926,0.31098103523254395,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.51311874389648438,-0.31098103523254395,0,-0,0.51830172538757324,0.85519784688949585,0,0.60000002384185791,-0.68415826559066772,0.41464135050773621,0,14.493889808654785,9.9433059692382812,-41.105743408203125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9785786444718680140,1108945832647793621,14205461418567604717
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,-28.97637939453125,29.999908447265625,15.608028411865234,0.31098097562789917,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.5131186842918396,-0.31098097562789917,0,-0,0.51830166578292847,0.85519784688949585,0,0.59999996423721313,-0.68415826559066772,0.41464135050773621,0,13.816287994384766,9.9976806640625,-41.138694763183594,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,7254515868145490451,1116167977407451122,15035950504724614406
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,-28.472442626953125,29.999908447265625,16.058586120605469,0.31098097562789917,-0.85519784688949585,-0.41464138031005859,0.80000007152557373,0.5131186842918396,-0.31098097562789917,0,-0,0.51830172538757324,0.85519784688949585,0,0.59999996423721313,-0.6841583251953125,0.41464138031005859,0,13.142805099487305,10.04735279083252,-41.168800354003906,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9050099669036593700,11602044854722312381,8266257591143376341
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,-27.968503952026367,29.999908447265625,16.501167297363281,0.31098103523254395,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.51311874389648438,-0.31098103523254395,0,-0,0.51830172538757324,0.85519784688949585,0,0.60000002384185791,-0.68415826559066772,0.41464135050773621,0,12.474102973937988,10.091568946838379,-41.195598602294922,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,87257758418236988,17820262804579148613,9537097671728578013
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,-27.464565277099609,29.999908447265625,16.9346923828125,0.31098097562789917,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.5131186842918396,-0.31098097562789917,0,-0,0.51830166578292847,0.85519784688949585,0,0.59999996423721313,-0.68415826559066772,0.41464135050773621,0,11.810837745666504,10.129589080810547,-41.218639373779297,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,18268146753904976406,5444488068378873191,4913259669043489923
10,10,0.33333333333333331,move,1280,720,60,0.10000000149011612,800,-26.960630416870117,29.999908447265625,17.358097076416016,0.31098103523254395,-0.85519784688949585,-0.41464132070541382,0.79999995231628418,0.51311874389648438,-0.31098103523254395,0,-0,0.51830166578292847,0.85519784688949585,0,0.60000002384185791,-0.68415826559066772,0.41464132070541382,0,11.153643608093262,10.160687446594238,-41.237483978271484,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8581393860864042165,4384836634826997420,12280579550296768612
11,11,0.36666666666666664,move,1280,720,60,0.10000000149011612,800,-26.456691741943359,29.999908447265625,17.770349502563477,0.31098097562789917,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.5131186842918396,-0.31098097562789917,0,-0,0.51830166578292847,0.85519784688949585,0,0.59999996423721313,-0.68415826559066772,0.41464135050773621,0,10.503144264221191,10.184151649475098,-41.251705169677734,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14866310840442087514,10824178594665511715,7446761528645256727
12,12,0.40000000000000002,move,1280,720,60,0.10000000149011612,800,-25.952756881713867,29.999908447265625,18.170438766479492,0.31098103523254395,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.51311874389648438,-0.31098103523254395,0,-0,0.51830172538757324,0.85519784688949585,0,0.60000002384185791,-0.68415826559066772,0.41464135050773621,0,9.8599414825439453,10.199296951293945,-41.260887145996094,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15043251015345253446,4046979299907741719,7943208093718544499
13,13,0.43333333333333335,move,1280,720,60,0.10000000149011612,800,-25.448818206787109,29.999908447265625,18.557384490966797,0.31098100543022156,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.51311874389648438,-0.31098100543022156,0,-0,0.51830172538757324,0.85519784688949585,0,0.60000002384185791,-0.68415826559066772,0.41464135050773621,0,9.2246236801147461,10.205449104309082,-41.264617919921875,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,2137105622391943711,18079801959333583862,3538927728022845762
14,14,0.46666666666666667,move,1280,720,60,0.10000000149011612,800,-24.944881439208984,29.999908447265625,18.930240631103516,0.31098100543022156,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.51311874389648438,-0.31098100543022156,0,-0,0.51830172538757324,0.85519784688949585,0,0.60000002384185791,-0.68415826559066772,0.41464135050773621,0,8.5977611541748047,10.201962471008301,-41.262504577636719,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,3794668792782784057,14923598828124973080,8436299681241472728
15,15,0.5,move,1280,720,60,0.10000000149011612,800,-24.440944671630859,29.999908447265625,19.288097381591797,0.31098100543022156,-0.85519784688949585,-0.41464138031005859,0.80000007152557373,0.51311874389648438,-0.31098100543022156,0,-0,0.51830172538757324,0.85519784688949585,0,0.60000002384185791,-0.6841583251953125,0.41464138031005859,0,7.9798984527587891,10.188215255737305,-41.254169464111328,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,1722742409529852355,9432378063460528930,12070486460768221366
