frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,-32,31.030441284179688,12.799999237060547,0.32236656546592712,-0.84340548515319824,-0.42982214689254761,0.80000007152557373,0.50604325532913208,-0.32236656546592712,0,-0,0.5372776985168457,0.84340548515319824,0,0.59999996423721313,-0.67472445964813232,0.42982214689254761,0,17.920003890991211,8.1578922271728516,-41.988697052001953,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,10502073190749800626,14222098306888062507,516521458366932351
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,-31.496063232421875,31.198085784912109,13.274754524230957,0.32207703590393066,-0.84371268749237061,-0.4294360876083374,0.80000001192092896,0.50622755289077759,-0.32207703590393066,0,-0,0.53679507970809937,0.84371268749237061,0,0.59999996423721313,-0.67497014999389648,0.4294360876083374,0,17.231998443603516,8.1572589874267578,-42.167037963867188,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,7453988762582136124,7209203892877906501,17372782833736887517
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,-30.99212646484375,31.349044799804688,13.748349189758301,0.32112580537796021,-0.84471923112869263,-0.42816779017448425,0.80000001192092896,0.50683152675628662,-0.32112580537796021,0,-0,0.53520971536636353,0.84471923112869263,0,0.59999996423721313,-0.67577540874481201,0.42816779017448425,0,16.544692993164062,8.2202701568603516,-42.320110321044922,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9564522238841198348,5389774497497396117,7368702603161572781
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,-30.488189697265625,31.586505889892578,14.219621658325195,0.32114836573600769,-0.84469544887542725,-0.42819789052009583,0.80000007152557373,0.50681722164154053,-0.32114836573600769,0,-0,0.5352473258972168,0.84469544887542725,0,0.59999996423721313,-0.67575639486312866,0.42819789052009583,0,15.858781814575195,8.1543464660644531,-42.561019897460938,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,3788866216056586810,3973400636944717251,3051715560654509431
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,-29.9842529296875,31.487926483154297,14.687420845031738,0.3226679265499115,-0.84308528900146484,-0.4302239716053009,0.80000007152557373,0.505851149559021,-0.3226679265499115,0,-0,0.53777992725372314,0.84308528900146484,0,0.59999996423721313,-0.6744682788848877,0.4302239716053009,0,15.174951553344727,8.1401939392089844,-42.540847778320312,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,16081412201577814035,16526055153127419378,11999093606735031046
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,-29.480314254760742,31.3638916015625,15.150601387023926,0.3226778507232666,-0.8430747389793396,-0.43023708462715149,0.79999995231628418,0.50584489107131958,-0.3226778507232666,0,-0,0.53779637813568115,0.8430747389793396,0,0.60000008344650269,-0.67445975542068481,0.43023708462715149,0,14.493886947631836,8.2635488510131836,-42.473098754882812,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,10519419683588612805,7034608219963839932,8280702117525869620
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,-28.97637939453125,31.253288269042969,15.608028411865234,0.32338771224021912,-0.84231889247894287,-0.43118363618850708,0.80000001192092896,0.50539129972457886,-0.32338771224021912,0,-0,0.53897953033447266,0.84231889247894287,0,0.59999996423721313,-0.67385512590408325,0.43118363618850708,0,13.816287994384766,8.3170766830444336,-42.425765991210938,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,5466448338425777079,7309415271125445662,6370590425751625194
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,-28.472442626953125,31.198188781738281,16.058586120605469,0.32307913899421692,-0.84264767169952393,-0.43077227473258972,0.80000001192092896,0.50558853149414062,-0.32307913899421692,0,-0,0.53846526145935059,0.84264767169952393,0,0.59999990463256836,-0.67411816120147705,0.43077227473258972,0,13.142804145812988,8.4215841293334961,-42.405529022216797,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,7590046797269689488,1799026074457978833,16320661947281200001
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,-27.968503952026367,31.433036804199219,16.501167297363281,0.32238179445266724,-0.84338927268981934,-0.42984235286712646,0.79999995231628418,0.50603359937667847,-0.32238179445266724,0,-0,0.53730297088623047,0.84338927268981934,0,0.60000002384185791,-0.67471140623092651,0.42984235286712646,0,12.474101066589355,8.3974637985229492,-42.619724273681641,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,3421036533957760779,7744170710475047354,13785407673827755438
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,-27.464565277099609,31.530296325683594,16.9346923828125,0.32317522168159485,-0.8425452709197998,-0.43090036511421204,0.80000001192092896,0.5055270791053772,-0.32317522168159485,0,-0,0.53862541913986206,0.8425452709197998,0,0.59999990463256836,-0.67403620481491089,0.43090036511421204,0,11.81083869934082,8.3156585693359375,-42.738735198974609,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,3423717173682894732,11561441388869497109,1187663193396654637
