frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,-32,29.423961639404297,12.799999237060547,0.31818604469299316,-0.84780371189117432,-0.4242480993270874,0.80000001192092896,0.50868219137191772,-0.31818604469299316,0,-0,0.53031009435653687,0.84780371189117432,0,0.59999996423721313,-0.67824298143386841,0.4242480993270874,0,17.920001983642578,9.3555164337158203,-40.558071136474609,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,16226634921793299948,15931255370125530037,717080892543043853
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,-31.496063232421875,29.483394622802734,13.274754524230957,0.31818601489067078,-0.84780371189117432,-0.42424803972244263,0.80000001192092896,0.50868219137191772,-0.31818601489067078,0,-0,0.53031003475189209,0.84780371189117432,0,0.59999996423721313,-0.67824298143386841,0.42424803972244263,0,17.231998443603516,9.3896560668945312,-40.649528503417969,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9928991305923968362,6455261231238518771,3301714774832607911
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,-30.99212646484375,29.542961120605469,13.748349189758301,0.31818455457687378,-0.84780538082122803,-0.42424610257148743,0.80000007152557373,0.50868326425552368,-0.31818455457687378,0,-0,0.53030765056610107,0.84780538082122803,0,0.60000002384185791,-0.67824435234069824,0.42424610257148743,0,16.544692993164062,9.4230575561523438,-40.740581512451172,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,3258366776354259353,6007076782573605304,9851411845089598136
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,-30.488189697265625,29.602272033691406,14.219621658325195,0.31818458437919617,-0.84780538082122803,-0.42424613237380981,0.80000001192092896,0.50868320465087891,-0.31818458437919617,0,-0,0.53030765056610107,0.84780538082122803,0,0.59999996423721313,-0.67824429273605347,0.42424613237380981,0,15.858779907226562,9.4548959732055664,-40.830455780029297,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,7063994511276807695,16634638032769832358,3750685039746310642
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,-29.9842529296875,29.661462783813477,14.687420845031738,0.31818458437919617,-0.84780538082122803,-0.42424613237380981,0.80000001192092896,0.50868320465087891,-0.31818458437919617,0,-0,0.53030765056610107,0.84780538082122803,0,0.59999996423721313,-0.67824429273605347,0.42424613237380981,0,15.174949645996094,9.4844446182250977,-40.918758392333984,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,4152587016448627939,2476696753910150402,570053849977710934
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,-29.480314254760742,29.72050666809082,15.150601387023926,0.31818604469299316,-0.84780377149581909,-0.42424800992012024,0.79999995231628418,0.50868231058120728,-0.31818604469299316,0,-0,0.53031003475189209,0.84780377149581909,0,0.60000002384185791,-0.67824298143386841,0.42424800992012024,0,14.493887901306152,9.5108213424682617,-41.004993438720703,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,10519266693469774120,9530024864437936857,1841962776403406409
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,-28.97637939453125,29.779338836669922,15.608028411865234,0.31818601489067078,-0.84780377149581909,-0.42424803972244263,0.80000001192092896,0.5086822509765625,-0.31818601489067078,0,-0,0.53031003475189209,0.84780377149581909,0,0.59999996423721313,-0.67824304103851318,0.42424803972244263,0,13.816287994384766,9.5335245132446289,-41.088592529296875,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,17007066826136915545,17851425605792642936,17626277331151683704
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,-28.472442626953125,29.838100433349609,16.058586120605469,0.31818464398384094,-0.84780508279800415,-0.42424628138542175,0.80000007152557373,0.5086829662322998,-0.31818464398384094,0,-0,0.53030776977539062,0.84780508279800415,0,0.59999990463256836,-0.67824411392211914,0.42424628138542175,0,13.142806053161621,9.5517110824584961,-41.169181823730469,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8343374178911551267,9994096494696609090,14844635317063479190
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,-27.968503952026367,29.896404266357422,16.501167297363281,0.31818500161170959,-0.84780484437942505,-0.42424660921096802,0.79999995231628418,0.50868290662765503,-0.31818500161170959,0,-0,0.5303083062171936,0.84780484437942505,0,0.60000002384185791,-0.67824381589889526,0.42424660921096802,0,12.474101066589355,9.5646018981933594,-41.246040344238281,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,11008291278650910789,6530851821961404988,10342959253442659764
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,-27.464565277099609,29.954391479492188,16.9346923828125,0.31818529963493347,-0.8478044867515564,-0.42424708604812622,0.80000007152557373,0.5086827278137207,-0.31818529963493347,0,-0,0.53030890226364136,0.8478044867515564,0,0.60000002384185791,-0.67824363708496094,0.42424708604812622,0,11.81083869934082,9.5715169906616211,-41.318782806396484,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,2494140189920900628,17350293208649745389,2411638967586434949
10,10,0.33333333333333331,move,1280,720,60,0.10000000149011612,800,-26.960630416870117,30.012172698974609,17.358097076416016,0.31818479299545288,-0.8478052020072937,-0.42424631118774414,0.80000001192092896,0.50868320465087891,-0.31818479299545288,0,-0,0.53030794858932495,0.8478052020072937,0,0.60000008344650269,-0.67824417352676392,0.42424631118774414,0,11.153644561767578,9.5717554092407227,-41.387050628662109,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,18176142295848002220,5207110144916474485,15350075883663174605
11,11,0.36666666666666664,move,1280,720,60,0.10000000149011612,800,-26.456691741943359,30.069442749023438,17.770349502563477,0.31818476319313049,-0.84780514240264893,-0.42424637079238892,0.80000001192092896,0.50868302583694458,-0.31818476319313049,0,-0,0.53030794858932495,0.84780514240264893,0,0.59999996423721313,-0.67824411392211914,0.42424637079238892,0,10.503144264221191,9.5646400451660156,-41.450149536132812,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8441947820381571257,8419408673969526168,12641149019070798680
12,12,0.40000000000000002,move,1280,720,60,0.10000000149011612,800,-25.952756881713867,30.126369476318359,18.170438766479492,0.31818485260009766,-0.8478049635887146,-0.42424643039703369,0.79999995231628418,0.50868302583694458,-0.31818485260009766,0,-0,0.5303080677986145,0.8478049635887146,0,0.60000002384185791,-0.67824393510818481,0.42424643039703369,0,9.8599414825439453,9.5494604110717773,-41.507804870605469,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,12144758516359794827,13967047597874489402,17113953640206551342
13,13,0.43333333333333335,move,1280,720,60,0.10000000149011612,800,-25.448818206787109,30.182785034179688,18.557384490966797,0.31818470358848572,-0.8478052020072937,-0.42424628138542175,0.79999995231628418,0.50868308544158936,-0.31818470358848572,0,-0,0.5303078293800354,0.8478052020072937,0,0.59999996423721313,-0.67824411392211914,0.42424628138542175,0,9.2246227264404297,9.5256538391113281,-41.5594482421875,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,16469414764628079144,16827734667945264089,9139672579910733641
14,14,0.46666666666666667,move,1280,720,60,0.10000000149011612,800,-24.944881439208984,30.238727569580078,18.930240631103516,0.31818494200706482,-0.84780502319335938,-0.42424657940864563,0.79999995231628418,0.5086829662322998,-0.31818494200706482,0,-0,0.53030818700790405,0.84780502319335938,0,0.59999996423721313,-0.67824399471282959,0.42424657940864563,0,8.5977602005004883,9.4925136566162109,-41.604721069335938,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,7012676794353376760,14705984905061333481,6096055511583523865
15,15,0.5,move,1280,720,60,0.10000000149011612,800,-24.440944671630859,30.294147491455078,19.288097381591797,0.31818521022796631,-0.84780460596084595,-0.42424699664115906,0.80000001192092896,0.5086827278137207,-0.31818521022796631,0,-0,0.53030872344970703,0.84780460596084595,0,0.59999996423721313,-0.67824369668960571,0.42424699664115906,0,7.9798974990844727,9.4494667053222656,-41.643184661865234,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14805954294171934617,9157801874489872312,13002136937005865144
