frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,0,52,72,0,-0.55309700965881348,-0.83311682939529419,1,0,-0,0,-0,0.83311682939529419,0.55309700965881348,0,0,-0.55309700965881348,0.83311682939529419,0,-0,-3.4990921020507812,-88.745452880859375,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,5675507174324619792,5796216478417803857,13638174734417310465
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,4.7585225105285645,52,71.842575073242188,-0.055061183869838715,-0.55309700965881348,-0.83129525184631348,0.99781358242034912,-0.036554507911205292,0.055061183869838715,0,0,0.83311671018600464,0.55309700965881348,0,-0.066090591251850128,-0.55188769102096558,0.83129525184631348,0,-0,-3.4990882873535156,-88.745445251464844,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,4853675677968745733,17732298239392741884,13950475574515231860
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,9.4962368011474609,52,71.371009826660156,-0.10988159477710724,-0.55309700965881348,-0.82583874464035034,0.99126404523849487,-0.072949178516864777,0.10988159477710724,0,0,0.83311676979064941,0.55309700965881348,0,-0.13189218938350677,-0.54826515913009644,0.82583874464035034,0,-0,-3.4990921020507812,-88.745452880859375,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,4928933533577085759,11059165814555179094,10186645091651607522
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,14.192425727844238,52,70.587356567382812,-0.16422151029109955,-0.55309700965881348,-0.81677103042602539,0.98037999868392944,-0.10902483761310577,0.16422151029109955,0,0,0.83311682939529419,0.55309700965881348,0,-0.19711703062057495,-0.54224526882171631,0.81677103042602539,0,-0,-3.4990882873535156,-88.745452880859375,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8607055456818334367,4067036382268375926,14487033290100553666
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,18.826555252075195,52,69.495040893554688,-0.21784333884716034,-0.55309700965881348,-0.80413180589675903,0.96520894765853882,-0.1446237713098526,0.21784333884716034,0,0,0.83311688899993896,0.55309700965881348,0,-0.2614799439907074,-0.53385418653488159,0.80413180589675903,0,-0,-3.4990921020507812,-88.745452880859375,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15722976121194625199,2154153345367608070,5426492556258055442
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,23.378362655639648,52,68.098838806152344,-0.27051261067390442,-0.55309700965881348,-0.78797626495361328,0.94581729173660278,-0.17959031462669373,0.27051261067390442,0,0,0.83311688899993896,0.55309700965881348,0,-0.32469949126243591,-0.5231286883354187,0.78797626495361328,0,-1.9073486328125e-06,-3.4990959167480469,-88.745452880859375,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,3907277626291245981,7941282815858841764,13341800624374436988
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,27.827939987182617,52,66.404861450195312,-0.32199898362159729,-0.55309700965881348,-0.76837509870529175,0.92228978872299194,-0.21377156674861908,0.32199898362159729,0,0,0.83311688899993896,0.55309700965881348,0,-0.38649922609329224,-0.51011574268341064,0.76837509870529175,0,3.814697265625e-06,-3.4990921020507812,-88.745452880859375,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,17140598540948382404,8592515846091678109,5563317212786376565
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,32.155834197998047,52,64.420509338378906,-0.37207731604576111,-0.55309700965881348,-0.74541407823562622,0.8947293758392334,-0.24701800942420959,0.37207731604576111,0,0,0.83311688899993896,0.55309700965881348,0,-0.44660884141921997,-0.49487215280532837,0.74541407823562622,0,-0,-3.4990940093994141,-88.745452880859375,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9760848122524765470,13149695901762869567,15848327681684508091
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,36.343120574951172,52,62.154464721679688,-0.42052870988845825,-0.55309700965881348,-0.71919351816177368,0.86325645446777344,-0.27918434143066406,0.42052870988845825,0,0,0.83311682939529419,0.55309700965881348,0,-0.50476557016372681,-0.47746455669403076,0.71919351816177368,0,-0,-3.4990901947021484,-88.745452880859375,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,12242672783161899922,9466049712892017995,5435637050524629087
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,40.371486663818359,52,59.616634368896484,-0.46714118123054504,-0.55309700965881348,-0.68982809782028198,0.82800889015197754,-0.31012988090515137,0.46714118123054504,0,0,0.83311688899993896,0.55309700965881348,0,-0.56071513891220093,-0.45796924829483032,0.68982809782028198,0,-0,-3.4990882873535156,-88.745452880859375,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,4445737081906919406,9732188980438621903,3954549014322460363
