frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,-32,29.749599456787109,12.799999237060547,0.29843336343765259,-0.86752772331237793,-0.3979111909866333,0.80000007152557373,0.52051657438278198,-0.29843336343765259,0,-0,0.49738898873329163,0.86752772331237793,0,0.59999996423721313,-0.69402223825454712,0.3979111909866333,0,17.920003890991211,10.742891311645508,-40.451728820800781,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8435567618047517248,2303512207302591233,5737171479809922865
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,-31.496063232421875,29.865015029907227,13.274754524230957,0.29852530360221863,-0.86743980646133423,-0.39803376793861389,0.80000001192092896,0.52046382427215576,-0.29852530360221863,0,-0,0.49754220247268677,0.86743980646133423,0,0.59999996423721313,-0.69395184516906738,0.39803376793861389,0,17.231998443603516,10.745495796203613,-40.592277526855469,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,16628387743544644014,12045045484907047567,8494362714936274059
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,-30.99212646484375,29.995525360107422,13.748349189758301,0.29880279302597046,-0.86717426776885986,-0.39840376377105713,0.80000001192092896,0.52030450105667114,-0.29880279302597046,0,-0,0.49800467491149902,0.86717426776885986,0,0.59999996423721313,-0.69373941421508789,0.39840376377105713,0,16.544692993164062,10.725203514099121,-40.749275207519531,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14119730621492917824,824228884909397761,4257888157416729393
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,-30.488189697265625,30.141706466674805,14.219621658325195,0.29933130741119385,-0.86666792631149292,-0.39910843968391418,0.80000007152557373,0.52000075578689575,-0.29933130741119385,0,-0,0.49888557195663452,0.86666792631149292,0,0.60000002384185791,-0.69333440065383911,0.39910843968391418,0,15.858780860900879,10.675571441650391,-40.924091339111328,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,10356264382391319749,6952148811960668092,8198242709522697780
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,-29.9842529296875,30.304553985595703,14.687420845031738,0.30018272995948792,-0.86584943532943726,-0.40024369955062866,0.80000007152557373,0.51950961351394653,-0.30018272995948792,0,-0,0.50030457973480225,0.86584943532943726,0,0.59999996423721313,-0.69267958402633667,0.40024369955062866,0,15.174951553344727,10.589276313781738,-41.118484497070312,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,142676187743774495,11081989576654315766,14987859419053129282
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,-29.480314254760742,30.484878540039062,15.150601387023926,0.30142796039581299,-0.86464697122573853,-0.40190389752388,0.79999995231628418,0.51878821849822998,-0.30142796039581299,0,-0,0.5023798942565918,0.86464697122573853,0,0.60000002384185791,-0.69171756505966187,0.40190389752388,0,14.493887901306152,10.458987236022949,-41.333934783935547,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,13355668453880337,13734345452737622112,9127164084051517440
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,-28.97637939453125,30.682693481445312,15.608028411865234,0.30314281582832336,-0.86298006772994995,-0.40419048070907593,0.80000007152557373,0.51778799295425415,-0.30314281582832336,0,-0,0.5052381157875061,0.86298006772994995,0,0.59999996423721313,-0.69038408994674683,0.40419048070907593,0,13.816287994384766,10.27708911895752,-41.571151733398438,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,5675575880541456009,5928629698449867560,10345523166624718888
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,-28.472442626953125,30.898780822753906,16.058586120605469,0.30538386106491089,-0.86078238487243652,-0.40717855095863342,0.80000001192092896,0.51646935939788818,-0.30538386106491089,0,-0,0.50897312164306641,0.86078238487243652,0,0.59999990463256836,-0.68862593173980713,0.40717855095863342,0,13.142804145812988,10.036853790283203,-41.830863952636719,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8294607616486255141,5272037016703541980,14576352949521095572
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,-27.968503952026367,31.132694244384766,16.501167297363281,0.30817794799804688,-0.85801196098327637,-0.41090390086174011,0.79999995231628418,0.51480716466903687,-0.30817794799804688,0,-0,0.51362985372543335,0.85801196098327637,0,0.59999996423721313,-0.68640953302383423,0.41090390086174011,0,12.474102020263672,9.7342624664306641,-42.111896514892578,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,16801606651526518566,1495911136043371447,14518521411413083091
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,-27.464565277099609,31.384670257568359,16.9346923828125,0.31150302290916443,-0.85466992855072021,-0.41533738374710083,0.80000001192092896,0.51280194520950317,-0.31150302290916443,0,-0,0.51917171478271484,0.85466992855072021,0,0.59999996423721313,-0.68373596668243408,0.41533738374710083,0,11.810837745666504,9.3687076568603516,-42.412441253662109,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8892672403278787506,15343162225947291947,1637585377426161791
10,10,0.33333333333333331,move,1280,720,60,0.10000000149011612,800,-26.960630416870117,31.653427124023438,17.358097076416016,0.31529071927070618,-0.85080313682556152,-0.42038753628730774,0.80000001192092896,0.51048201322555542,-0.31529071927070618,0,-0,0.52548450231552124,0.85080313682556152,0,0.60000014305114746,-0.68064254522323608,0.42038753628730774,0,11.153643608093262,8.9441909790039062,-42.728401184082031,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,17565290657340029662,18109766486760628735,13931044033948991099
11,11,0.36666666666666664,move,1280,720,60,0.10000000149011612,800,-26.456691741943359,31.938472747802734,17.770349502563477,0.31939020752906799,-0.84654510021209717,-0.4258536696434021,0.80000007152557373,0.50792700052261353,-0.31939020752906799,0,-0,0.53231704235076904,0.84654510021209717,0,0.59999996423721313,-0.67723613977432251,0.4258536696434021,0,10.503146171569824,8.4713973999023438,-43.054935455322266,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,10358668839823355838,5432764799586079391,11272414213775268187
12,12,0.40000000000000002,move,1280,720,60,0.10000000149011612,800,-25.952756881713867,32.237934112548828,18.170438766479492,0.32357197999954224,-0.84212231636047363,-0.43142926692962646,0.79999995231628418,0.50527340173721313,-0.32357197999954224,0,-0,0.53928661346435547,0.84212231636047363,0,0.60000002384185791,-0.673697829246521,0.43142926692962646,0,9.8599414825439453,7.9691362380981445,-43.385128021240234,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,5325201600399821251,16035364691206748962,226729014804889782
13,13,0.43333333333333335,move,1280,720,60,0.10000000149011612,800,-25.448818206787109,32.549964904785156,18.557384490966797,0.32752376794815063,-0.83786797523498535,-0.43669837713241577,0.80000001192092896,0.50272077322006226,-0.32752376794815063,0,-0,0.54587292671203613,0.83786797523498535,0,0.59999996423721313,-0.67029440402984619,0.43669837713241577,0,9.2246246337890625,7.46441650390625,-43.711647033691406,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,3048729579112649736,4580857746921343225,3895376154032226217
14,14,0.46666666666666667,move,1280,720,60,0.10000000149011612,800,-24.944881439208984,32.872238159179688,18.930240631103516,0.33087271451950073,-0.83420497179031372,-0.44116359949111938,0.80000001192092896,0.50052303075790405,-0.33087271451950073,0,-0,0.55145454406738281,0.83420497179031372,0,0.60000008344650269,-0.66736400127410889,0.44116359949111938,0,8.5977602005004883,6.9913043975830078,-44.027099609375,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,4928621167588054738,2190827668785405835,10336396144615763359
15,15,0.5,move,1280,720,60,0.10000000149011612,800,-24.440944671630859,33.201389312744141,19.288097381591797,0.33323898911476135,-0.83158451318740845,-0.44431868195533752,0.80000001192092896,0.49895069003105164,-0.33323898911476135,0,-0,0.55539834499359131,0.83158451318740845,0,0.59999996423721313,-0.66526764631271362,0.44431868195533752,0,7.9798974990844727,6.5865764617919922,-44.324497222900391,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,10232139063366070455,2115659749038170398,1176834903664349930
16,16,0.53333333333333333,move,1280,720,60,0.10000000149011612,800,-23.937007904052734,33.534187316894531,19.630073547363281,0.33427253365516663,-0.83043134212493896,-0.44569671154022217,0.80000001192092896,0.49825882911682129,-0.33427253365516663,0,-0,0.5571209192276001,0.83043134212493896,0,0.60000002384185791,-0.66434508562088013,0.44569671154022217,0,7.3715620040893555,6.285369873046875,-44.598381042480469,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9205032755298800542,6626388180349633727,11693603407008145979
