frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,-32,27.360036849975586,12.799999237060547,0.31098097562789917,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.5131186842918396,-0.31098097562789917,0,-0,0.51830166578292847,0.85519784688949585,0,0.59999996423721313,-0.68415826559066772,0.41464135050773621,0,17.920001983642578,10.996270179748535,-38.65704345703125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,7555418070087736375,2500495357585461150,15883247652085497962
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,-31.496063232421875,27.360036849975586,13.274754524230957,0.31098097562789917,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.5131186842918396,-0.31098097562789917,0,-0,0.51830166578292847,0.85519784688949585,0,0.59999996423721313,-0.68415826559066772,0.41464135050773621,0,17.231998443603516,11.062499046325684,-38.697181701660156,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,11208850679866188520,3923203169226893721,12364911437833049609
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,-30.99212646484375,27.360036849975586,13.748349189758301,0.31098097562789917,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.5131186842918396,-0.31098097562789917,0,-0,0.51830166578292847,0.85519784688949585,0,0.59999996423721313,-0.68415826559066772,0.41464135050773621,0,16.544692993164062,11.127933502197266,-38.736839294433594,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,4265061623737273689,14049669537325491832,13824521262684532600
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,-30.488189697265625,27.360036849975586,14.219621658325195,0.31098097562789917,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.5131186842918396,-0.31098097562789917,0,-0,0.51830166578292847,0.85519784688949585,0,0.59999996423721313,-0.68415826559066772,0.41464135050773621,0,15.858779907226562,11.191779136657715,-38.775535583496094,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,12755756461275156051,16505420627844479794,2431130720424675910
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,-29.9842529296875,27.360036849975586,14.687420845031738,0.31098097562789917,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.5131186842918396,-0.31098097562789917,0,-0,0.51830166578292847,0.85519784688949585,0,0.59999996423721313,-0.68415826559066772,0.41464135050773621,0,15.174949645996094,11.25324821472168,-38.812789916992188,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,8415139513020685219,12578339296729672386,10772146710714920470
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,-29.480314254760742,27.360036849975586,15.150601387023926,0.31098103523254395,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.51311874389648438,-0.31098103523254395,0,-0,0.51830172538757324,0.85519784688949585,0,0.60000002384185791,-0.68415826559066772,0.41464135050773621,0,14.493889808654785,11.311555862426758,-38.848129272460938,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,17183271531928895647,10508392554724186486,2481645388846812610
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,-28.97637939453125,27.360036849975586,15.608028411865234,0.31098097562789917,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.5131186842918396,-0.31098097562789917,0,-0,0.51830166578292847,0.85519784688949585,0,0.59999996423721313,-0.68415826559066772,0.41464135050773621,0,13.816287994384766,11.365930557250977,-38.881080627441406,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15191529762912355332,5913251474987231965,995642289145909685
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,-28.472442626953125,27.360036849975586,16.058586120605469,0.31098097562789917,-0.85519784688949585,-0.41464138031005859,0.80000007152557373,0.5131186842918396,-0.31098097562789917,0,-0,0.51830172538757324,0.85519784688949585,0,0.59999996423721313,-0.6841583251953125,0.41464138031005859,0,13.142805099487305,11.415602684020996,-38.911186218261719,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,17784247315267635021,12189356585801240212,9868405000089800108
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,-27.968503952026367,27.360036849975586,16.501167297363281,0.31098103523254395,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.51311874389648438,-0.31098103523254395,0,-0,0.51830172538757324,0.85519784688949585,0,0.60000002384185791,-0.68415826559066772,0.41464135050773621,0,12.474102973937988,11.459818840026855,-38.93798828125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,11735450179155584584,14304321925764490041,5111986648759415273
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,-27.464565277099609,27.360036849975586,16.9346923828125,0.31098097562789917,-0.85519784688949585,-0.41464135050773621,0.80000001192092896,0.5131186842918396,-0.31098097562789917,0,-0,0.51830166578292847,0.85519784688949585,0,0.59999996423721313,-0.68415826559066772,0.41464135050773621,0,11.810837745666504,11.497838973999023,-38.961025238037109,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,14878780960981089532,14466827899577442053,11601837422953045405
