frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,-32,36.654613494873047,12.799999237060547,0.31098097562789917,-0.85519790649414062,-0.41464135050773621,0.80000001192092896,0.5131186842918396,-0.31098097562789917,0,-0,0.51830166578292847,0.85519790649414062,0,0.59999996423721313,-0.6841583251953125,0.41464135050773621,0,17.920001983642578,6.1788759231567383,-46.605747222900391,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,17018903049038373551,4654057664957420806,7926396875847868178
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,-31.496063232421875,36.647380828857422,13.274754524230957,0.31098091602325439,-0.8551979660987854,-0.41464126110076904,0.79999995231628418,0.5131186842918396,-0.31098091602325439,0,-0,0.51830148696899414,0.8551979660987854,0,0.59999990463256836,-0.6841583251953125,0.41464126110076904,0,17.231998443603516,6.2488603591918945,-46.639701843261719,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15479619170021001255,11498690459114811150,3195539418668953690
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,-30.99212646484375,36.639785766601562,13.748349189758301,0.31097930669784546,-0.85519957542419434,-0.41463911533355713,0.80000007152557373,0.51311969757080078,-0.31097930669784546,0,-0,0.51829886436462402,0.85519957542419434,0,0.59999996423721313,-0.68415969610214233,0.41463911533355713,0,16.544692993164062,6.3183765411376953,-46.672843933105469,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,11667415211171761596,10585815697460178373,1493431719281549149
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,-30.488189697265625,36.631855010986328,14.219621658325195,0.31097626686096191,-0.85520267486572266,-0.4146350622177124,0.80000001192092896,0.51312154531478882,-0.31097626686096191,0,-0,0.51829379796981812,0.85520267486572266,0,0.59999996423721313,-0.68416213989257812,0.4146350622177124,0,15.858779907226562,6.3866109848022461,-46.704715728759766,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15150076783081023353,3547099024512165720,13052130784617677848
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,-29.9842529296875,36.623619079589844,14.687420845031738,0.3109721839427948,-0.85520684719085693,-0.41462963819503784,0.80000007152557373,0.51312404870986938,-0.3109721839427948,0,-0,0.5182870626449585,0.85520684719085693,0,0.59999996423721313,-0.68416553735733032,0.41462963819503784,0,15.174951553344727,6.4527196884155273,-46.734878540039062,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,17809183933774595892,14362213007656347341,15497881780435633189
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,-29.480314254760742,36.615116119384766,15.150601387023926,0.31096118688583374,-0.85521781444549561,-0.41461488604545593,0.79999995231628418,0.51313072443008423,-0.31096118688583374,0,-0,0.51826858520507812,0.85521781444549561,0,0.60000002384185791,-0.68417423963546753,0.41461488604545593,0,14.493887901306152,6.5164413452148438,-46.762798309326172,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,4375854502978304516,17454278762999283933,12536669577157961653
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,-28.97637939453125,36.606357574462891,15.608028411865234,0.31094172596931458,-0.85523754358291626,-0.41458898782730103,0.80000001192092896,0.51314246654510498,-0.31094172596931458,0,-0,0.51823621988296509,0.85523754358291626,0,0.59999996423721313,-0.68419003486633301,0.41458898782730103,0,13.816287994384766,6.5771274566650391,-46.788013458251953,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,863161903629772125,14355826853432564836,3705373981555182908
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,-28.472442626953125,36.597385406494141,16.058586120605469,0.31090283393859863,-0.85527676343917847,-0.41453719139099121,0.80000007152557373,0.51316601037979126,-0.31090283393859863,0,-0,0.51817148923873901,0.85527676343917847,0,0.59999996423721313,-0.68422144651412964,0.41453719139099121,0,13.142805099487305,6.6349964141845703,-46.8099365234375,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,15476949401476075971,5325693095086621474,7963801492394313910
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,-27.968503952026367,36.588386535644531,16.501167297363281,0.31083136796951294,-0.85534900426864624,-0.4144417941570282,0.79999995231628418,0.51320940256118774,-0.31083136796951294,0,-0,0.51805222034454346,0.85534900426864624,0,0.60000002384185791,-0.68427914381027222,0.4144417941570282,0,12.474101066589355,6.6904087066650391,-46.828098297119141,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,13203111093422828398,3255225790114975567,7264160076762824267
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,-27.464565277099609,36.579296112060547,16.9346923828125,0.31070476770401001,-0.85547667741775513,-0.41427305340766907,0.79999995231628418,0.51328599452972412,-0.31070476770401001,0,-0,0.51784127950668335,0.85547667741775513,0,0.59999996423721313,-0.68438130617141724,0.41427305340766907,0,11.810835838317871,6.7446928024291992,-46.841690063476562,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,10827832799010604307,2349254241133144818,16269036768450308102
