frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,14,0,warmup,1280,720,60,0.10000000149011612,500,10.071590423583984,21.026060104370117,57.118850708007812,-0.26127639412879944,-0.32379478216171265,-0.90933579206466675,0.9611135721206665,-0.089417070150375366,0.26127639412879944,0,0,0.94612735509872437,0.32379478216171265,0,-0.27615353465080261,-0.31120356917381287,0.90933579206466675,0,6.0936307907104492,-1.2171688079833984,-61.379814147949219,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0004000663757324,-1,0,0,-0.20004001259803772,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0002000331878662,-1,0,0,-0.10002000629901886,0,3166611947957068695,16221302573783478303,12300297263685901889
1,14,0.033333333333333333,warmup,1280,720,60,0.10000000149011612,500,10.071590423583984,21.026060104370117,57.118850708007812,-0.26127639412879944,-0.32379478216171265,-0.90933579206466675,0.9611135721206665,-0.089417070150375366,0.26127639412879944,0,0,0.94612735509872437,0.32379478216171265,0,-0.27615353465080261,-0.31120356917381287,0.90933579206466675,0,6.0936307907104492,-1.2171688079833984,-61.379814147949219,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0004000663757324,-1,0,0,-0.20004001259803772,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0002000331878662,-1,0,0,-0.10002000629901886,0,3166611947957068695,16221302573783478303,12300297263685901889
2,14,0.066666666666666666,warmup,1280,720,60,0.10000000149011612,500,10.071590423583984,21.026060104370117,57.118850708007812,-0.26127639412879944,-0.32379478216171265,-0.90933579206466675,0.9611135721206665,-0.089417070150375366,0.26127639412879944,0,0,0.94612735509872437,0.32379478216171265,0,-0.27615353465080261,-0.31120356917381287,0.90933579206466675,0,6.0936307907104492,-1.2171688079833984,-61.379814147949219,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0004000663757324,-1,0,0,-0.20004001259803772,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0002000331878662,-1,0,0,-0.10002000629901886,0,3166611947957068695,16221302573783478303,12300297263685901889
3,15,0.10000000000000001,move,1280,720,60,0.10000000149011612,500,4.3343400955200195,20.447126388549805,57.837821960449219,-0.17003431916236877,-0.31388676166534424,-0.93411099910736084,0.98383355140686035,-0.056212477385997772,0.17003431916236877,0,0,0.94946038722991943,0.31388676166534424,0,-0.17908520996570587,-0.30881232023239136,0.93411099910736084,0,6.0936293601989746,-1.3090591430664062,-61.182014465332031,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0004000663757324,-1,0,0,-0.20004001259803772,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0002000331878662,-1,0,0,-0.10002000629901886,0,13838191533393936576,10927832938588460740,3997314780807900106
4,16,0.13333333333333333,move,1280,720,60,0.10000000149011612,500,-1.4459863901138306,19.850461959838867,57.981971740722656,-0.076450727880001068,-0.30356690287590027,-0.94973814487457275,0.99677574634552002,-0.024357328191399574,0.076450727880001068,0,0,0.95281016826629639,0.30356690287590027,0,-0.080237098038196564,-0.30258813500404358,0.94973814487457275,0,6.0936293601989746,-1.4042854309082031,-60.983089447021484,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0004000663757324,-1,0,0,-0.20004001259803772,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0002000331878662,-1,0,0,-0.10002000629901886,0,5471853172476381567,10849000412631760071,9658263257598618041
5,18,0.16666666666666666,move,1280,720,60,0.10000000149011612,500,-12.906221389770508,18.698348999023438,56.545818328857422,0.11399025470018387,-0.28333654999732971,-0.95222198963165283,0.99291098117828369,0.033677700906991959,-0.11399025470018387,0,-0,0.95902067422866821,0.28333654999732971,0,0.118861123919487,-0.28132796287536621,0.95222198963165283,0,6.0936293601989746,-1.5895318984985352,-60.61328125,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0004000663757324,-1,0,0,-0.20004001259803772,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0002000331878662,-1,0,0,-0.10002000629901886,0,11786419364791996900,10097592655434666096,10953985234098376342
6,22,0.20000000000000001,move,1280,720,60,0.10000000149011612,500,-33.857135772705078,17.156217575073242,47.092403411865234,0.47875159978866577,-0.25565782189369202,-0.83990228176116943,0.86877399682998657,0.12660397589206696,-0.47875159978866577,0,-0,0.96676719188690186,0.25565782189369202,0,0.49520871043205261,-0.2221088707447052,0.83990228176116943,0,6.0936317443847656,-1.8399810791015625,-60.148296356201172,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0004000663757324,-1,0,0,-0.20004001259803772,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0002000331878662,-1,0,0,-0.10002000629901886,0,16912943550439360024,15915229896369020508,3594312007481663890
7,26,0.23333333333333334,move,1280,720,60,0.10000000149011612,500,-49.490875244140625,17.330385208129883,30.243234634399414,0.76673811674118042,-0.25881704688072205,-0.58747470378875732,0.60819816589355469,0.20544512569904327,-0.76673811674118042,0,-0,0.9659264087677002,0.25881704688072205,0,0.79378515481948853,-0.15741205215454102,0.58747470378875732,0,6.0936298370361328,-1.8115673065185547,-60.199073791503906,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0004000663757324,-1,0,0,-0.20004001259803772,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0002000331878662,-1,0,0,-0.10002000629901886,0,3417148645767320825,14790456245641196193,15342905834565797191
8,30,0.26666666666666666,move,1280,720,60,0.10000000149011612,500,-57.352191925048828,19.11573600769043,8.6444406509399414,0.92590546607971191,-0.29071104526519775,-0.24121807515621185,0.25210630893707275,0.28132092952728271,-0.92590546607971191,0,-0,0.95681089162826538,0.29071104526519775,0,0.96769952774047852,-0.073290087282657623,0.24121807515621185,0,6.0936279296875,-1.5222194194793701,-60.74505615234375,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0004000663757324,-1,0,0,-0.20004001259803772,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0002000331878662,-1,0,0,-0.10002000629901886,0,17418916657010766531,6747060744353545075,17508582155668554181
9,34,0.29999999999999999,move,1280,720,60,0.10000000149011612,500,-56.206478118896484,21.434762954711914,-14.311942100524902,0.93394875526428223,-0.33072608709335327,0.13549862802028656,-0.14357826113700867,0.32729944586753845,-0.93394875526428223,0,0,0.94372683763504028,0.33072608709335327,0,0.9896390438079834,0.047485075891017914,-0.13549862802028656,0,6.0936279296875,-1.1526088714599609,-61.522251129150391,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0004000663757324,-1,0,0,-0.20004001259803772,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0002000331878662,-1,0,0,-0.10002000629901886,0,13532394383843585779,2060281565499929379,18180435036387971797
10,38,0.33333333333333331,move,1280,720,60,0.10000000149011612,500,-46.233673095703125,22.887872695922852,-35.020668029785156,0.80041408538818359,-0.35493597388267517,0.48307129740715027,-0.51671421527862549,0.30388122797012329,-0.80041408538818359,0,0,0.93489068746566772,0.35493597388267517,0,0.85615789890289307,0.1834004670381546,-0.48307129740715027,0,6.0936241149902344,-0.92530727386474609,-62.047294616699219,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0004000663757324,-1,0,0,-0.20004001259803772,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0002000331878662,-1,0,0,-0.10002000629901886,0,16208258721931065280,6005031612507553220,17521257528436544202
11,42,0.36666666666666664,move,1280,720,60,0.10000000149011612,500,-28.999994277954102,22.598075866699219,-50.229476928710938,0.55097877979278564,-0.35016241669654846,0.75750154256820679,-0.8087012767791748,0.20597238838672638,-0.55097877979278564,0,0,0.93668895959854126,0.35016241669654846,0,0.58821958303451538,0.28317677974700928,-0.75750154256820679,0,6.0936298370361328,-0.97034835815429688,-61.940284729003906,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0004000663757324,-1,0,0,-0.20004001259803772,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0002000331878662,-1,0,0,-0.10002000629901886,0,11028519151052505000,12821030452375059436,16236283286663530050
12,46,0.40000000000000002,move,1280,720,60,0.10000000149011612,500,-7.2119245529174805,20.740270614624023,-57.549877166748047,0.21600213646888733,-0.31891679763793945,0.92284089326858521,-0.97368389368057251,0.072681955993175507,-0.21600213646888733,0,0,0.94778275489807129,0.31891679763793945,0,0.22790256142616272,0.31052413582801819,-0.92284089326858521,0,6.0936298370361328,-1.2624664306640625,-61.281589508056641,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0004000663757324,-1,0,0,-0.20004001259803772,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0002000331878662,-1,0,0,-0.10002000629901886,0,11940239614335221990,10595247154915746802,15439483516352650996
13,50,0.43333333333333335,move,1280,720,60,0.10000000149011612,500,15.708759307861328,18.435693740844727,-55.832202911376953,-0.16154280304908752,-0.27866989374160767,0.94670325517654419,-0.98575180768966675,-0.04687393456697464,0.16154280304908752,0,0,0.96038687229156494,0.27866989374160767,0,-0.16820594668388367,0.27469936013221741,-0.94670325517654419,0,6.0936288833618164,-1.6319961547851562,-60.531639099121094,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0004000663757324,-1,0,0,-0.20004001259803772,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0002000331878662,-1,0,0,-0.10002000629901886,0,8272989952420283224,6726935279897907356,2757038174588326354
14,54,0.46666666666666667,move,1280,720,60,0.10000000149011612,500,36.162422180175781,17.075216293334961,-45.346218109130859,-0.52023106813430786,-0.25418576598167419,0.81532150506973267,-0.8430098295211792,-0.13672605156898499,0.52023106813430786,0,0,0.9671553373336792,0.25418576598167419,0,-0.53789812326431274,0.21428109705448151,-0.81532150506973267,0,6.0936317443847656,-1.8532047271728516,-60.124839782714844,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0004000663757324,-1,0,0,-0.20004001259803772,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0002000331878662,-1,0,0,-0.10002000629901886,0,10617017952949460516,3068606812864793264,15663023974893778134
