frame,source,nominalSeconds,event,width,height,fov,near,far,px,py,pz,fx,fy,fz,view00,view01,view02,view03,view10,view11,view12,view13,view20,view21,view22,view23,view30,view31,view32,view33,no00,no01,no02,no03,no10,no11,no12,no13,no20,no21,no22,no23,no30,no31,no32,no33,zo00,zo01,zo02,zo03,zo10,zo11,zo12,zo13,zo20,zo21,zo22,zo23,zo30,zo31,zo32,zo33,poseHash,noHash,zoHash
0,0,0,move,1280,720,60,0.10000000149011612,800,-32,27.346961975097656,12.799999237060547,0.30988213419914246,-0.85630512237548828,-0.41317623853683472,0.80000007152557373,0.5137830376625061,-0.30988213419914246,0,-0,0.51647031307220459,0.85630512237548828,0,0.59999996423721313,-0.68504416942596436,0.41317623853683472,0,17.920003890991211,11.085728645324707,-38.622226715087891,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,10519966558831520285,12917997013230404644,13504055020289003260
1,1,0.033333333333333333,move,1280,720,60,0.10000000149011612,800,-31.496063232421875,27.372066497802734,13.274754524230957,0.30963259935379028,-0.8565557599067688,-0.4128434956073761,0.80000007152557373,0.51393347978591919,-0.30963259935379028,0,-0,0.51605439186096191,0.8565557599067688,0,0.60000002384185791,-0.68524467945098877,0.4128434956073761,0,17.232000350952148,11.157861709594727,-38.678306579589844,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9256732132434526998,7979675743023349351,7448447343687966083
2,2,0.066666666666666666,move,1280,720,60,0.10000000149011612,800,-30.99212646484375,27.395484924316406,13.748349189758301,0.3095182478427887,-0.85667061805725098,-0.41269105672836304,0.80000007152557373,0.51400232315063477,-0.3095182478427887,0,-0,0.51586377620697021,0.85667061805725098,0,0.59999996423721313,-0.68533653020858765,0.41269105672836304,0,16.544692993164062,11.219932556152344,-38.735355377197266,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,16102981233109275481,215013265295559800,18436609064364152184
3,3,0.10000000000000001,move,1280,720,60,0.10000000149011612,800,-30.488189697265625,27.39671516418457,14.219621658325195,0.30955451726913452,-0.85663419961929321,-0.41273939609527588,0.80000001192092896,0.51398050785064697,-0.30955451726913452,0,-0,0.51592421531677246,0.85663419961929321,0,0.59999996423721313,-0.68530738353729248,0.41273939609527588,0,15.858779907226562,11.280517578125,-38.775718688964844,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,1257620221891823741,8080283372352658244,8475740593467910876
4,4,0.13333333333333333,move,1280,720,60,0.10000000149011612,800,-29.9842529296875,27.38768196105957,14.687420845031738,0.30950713157653809,-0.85668182373046875,-0.41267621517181396,0.80000007152557373,0.51400905847549438,-0.30950713157653809,0,-0,0.51584529876708984,0.85668182373046875,0,0.59999996423721313,-0.68534553050994873,0.41267621517181396,0,15.174951553344727,11.350329399108887,-38.804019927978516,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,16940688710044646230,7065394709655394215,7205931122737305539
5,5,0.16666666666666666,move,1280,720,60,0.10000000149011612,800,-29.480314254760742,27.381919860839844,15.150601387023926,0.30932155251502991,-0.85686796903610229,-0.41242867708206177,0.79999995231628418,0.51412081718444824,-0.30932155251502991,0,-0,0.51553583145141602,0.85686796903610229,0,0.60000002384185791,-0.68549436330795288,0.41242867708206177,0,14.493887901306152,11.425734519958496,-38.830131530761719,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,9927542051215511515,16681497788893550730,9355763614870678270
6,6,0.20000000000000001,move,1280,720,60,0.10000000149011612,800,-28.97637939453125,27.380420684814453,15.608028411865234,0.30904114246368408,-0.85714906454086304,-0.41205489635467529,0.79999995231628418,0.51428937911987305,-0.30904114246368408,0,-0,0.51506853103637695,0.85714906454086304,0,0.59999990463256836,-0.68571919202804565,0.41205489635467529,0,13.816287040710449,11.502176284790039,-38.855361938476562,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,17984263970409593648,11759998445894275249,17273358872066501537
7,7,0.23333333333333334,move,1280,720,60,0.10000000149011612,800,-28.472442626953125,27.388385772705078,16.058586120605469,0.30871647596359253,-0.85747390985488892,-0.41162204742431641,0.80000007152557373,0.51448428630828857,-0.30871647596359253,0,-0,0.51452755928039551,0.85747390985488892,0,0.59999996423721313,-0.68597918748855591,0.41162204742431641,0,13.142805099487305,11.57240104675293,-38.884807586669922,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,1928307028589408932,4960813347989077565,8820687400704927317
8,8,0.26666666666666666,move,1280,720,60,0.10000000149011612,800,-27.968503952026367,27.395580291748047,16.501167297363281,0.30857595801353455,-0.85761439800262451,-0.4114345908164978,0.79999995231628418,0.51456868648529053,-0.30857595801353455,0,-0,0.51429325342178345,0.85761439800262451,0,0.60000002384185791,-0.68609148263931274,0.4114345908164978,0,12.474101066589355,11.623663902282715,-38.914402008056641,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,7858858362699168659,15885930666877721202,3334827491171402886
9,9,0.29999999999999999,move,1280,720,60,0.10000000149011612,800,-27.464565277099609,27.398603439331055,16.9346923828125,0.30861881375312805,-0.85757154226303101,-0.41149181127548218,0.80000007152557373,0.51454287767410278,-0.30861881375312805,0,-0,0.51436471939086914,0.85757154226303101,0,0.59999996423721313,-0.68605726957321167,0.41149181127548218,0,11.810839653015137,11.656991004943848,-38.940834045410156,1,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.000249981880188,-1,0,0,-0.20002499222755432,0,0.97427862882614136,0,0,0,0,1.732050895690918,0,0,0,0,-1.0001249313354492,-1,0,0,-0.10001249611377716,0,5254694687918197592,11071343768149077897,16992151328896046329
