case,terrain,algorithm,parameter,frame,event,N,valid,ambiguous,missing,Emax,Hmax,RMS,witnessU,witnessV,sourceHash,sampleHash,sampleCount,poseHash,projectionHash,meshHash,errors,locations,image
peking547-cbt-a16,peking547,cbt,16,2,warmup,48,True,0,0,8.091670543434704,0.7824423357843742,2.0962831063663407,0.7124541997909546,0.4908424913883209,aa8d08125e409ef497e2553319d62bb2c2a32fe7b5cb4b90b0f18f79238a914f,12881002172889809993,1790881,3166611947957068695,12300297263685901889,9892117198404060725,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a16/frame-2/errors.f64,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a16/frame-2/locations.csv,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/runs/peking547-cbt-a16/visual/run/frame-2.png
peking547-cbt-a16,peking547,cbt,16,15,move,45112,True,0,0,1.0698178392862385,0.11525219613350568,0.06420510390713065,0.045787546783685684,0,aa8d08125e409ef497e2553319d62bb2c2a32fe7b5cb4b90b0f18f79238a914f,12881002172889809993,1790881,13198516499610291869,489952494327513795,10476884340962384743,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a16/frame-15/errors.f64,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a16/frame-15/locations.csv,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/runs/peking547-cbt-a16/visual/run/frame-15.png
peking547-cbt-a16,peking547,cbt,16,16,recovery,34582,True,0,0,0.9279701549916926,0.11987946713167019,0.06247912837213328,0.9212453961372375,0.12454212456941605,aa8d08125e409ef497e2553319d62bb2c2a32fe7b5cb4b90b0f18f79238a914f,12881002172889809993,1790881,3166611947957068695,12300297263685901889,10934814604544872928,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a16/frame-16/errors.f64,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a16/frame-16/locations.csv,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/runs/peking547-cbt-a16/visual/run/frame-16.png
peking547-cbt-a16,peking547,cbt,16,23,recovery,45844,True,0,0,0.9279701549916926,0.24475183808726486,0.05293903623176784,0.9212453961372375,0.12454212456941605,aa8d08125e409ef497e2553319d62bb2c2a32fe7b5cb4b90b0f18f79238a914f,12881002172889809993,1790881,3166611947957068695,12300297263685901889,188948996912406655,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a16/frame-23/errors.f64,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a16/frame-23/locations.csv,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/runs/peking547-cbt-a16/visual/run/frame-23.png
peking547-cbt-a8,peking547,cbt,8,2,warmup,48,True,0,0,8.091670543434704,0.7824423357843742,2.0962831063663407,0.7124541997909546,0.4908424913883209,aa8d08125e409ef497e2553319d62bb2c2a32fe7b5cb4b90b0f18f79238a914f,12881002172889809993,1790881,3166611947957068695,12300297263685901889,9892117198404060725,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a8/frame-2/errors.f64,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a8/frame-2/locations.csv,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/runs/peking547-cbt-a8/visual/run/frame-2.png
peking547-cbt-a8,peking547,cbt,8,15,move,80193,True,0,0,1.0698178392862385,0.11525219613350568,0.04662647640885639,0.045787546783685684,0,aa8d08125e409ef497e2553319d62bb2c2a32fe7b5cb4b90b0f18f79238a914f,12881002172889809993,1790881,13198516499610291869,489952494327513795,2044511797694286984,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a8/frame-15/errors.f64,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a8/frame-15/locations.csv,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/runs/peking547-cbt-a8/visual/run/frame-15.png
peking547-cbt-a8,peking547,cbt,8,16,recovery,63132,True,0,0,0.7588898510752164,0.11215178882824972,0.039917940934984034,0.9239926636219025,0.12820513546466827,aa8d08125e409ef497e2553319d62bb2c2a32fe7b5cb4b90b0f18f79238a914f,12881002172889809993,1790881,3166611947957068695,12300297263685901889,6003266892160021092,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a8/frame-16/errors.f64,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a8/frame-16/locations.csv,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/runs/peking547-cbt-a8/visual/run/frame-16.png
peking547-cbt-a8,peking547,cbt,8,23,recovery,85238,True,0,0,0.7588898510752164,0.24475183808726486,0.030922066100568586,0.9239926636219025,0.12820513546466827,aa8d08125e409ef497e2553319d62bb2c2a32fe7b5cb4b90b0f18f79238a914f,12881002172889809993,1790881,3166611947957068695,12300297263685901889,3654798419917470044,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a8/frame-23/errors.f64,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a8/frame-23/locations.csv,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/runs/peking547-cbt-a8/visual/run/frame-23.png
peking547-cbt-a4,peking547,cbt,4,2,warmup,48,True,0,0,8.091670543434704,0.7824423357843742,2.0962831063663407,0.7124541997909546,0.4908424913883209,aa8d08125e409ef497e2553319d62bb2c2a32fe7b5cb4b90b0f18f79238a914f,12881002172889809993,1790881,3166611947957068695,12300297263685901889,9892117198404060725,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a4/frame-2/errors.f64,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a4/frame-2/locations.csv,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/runs/peking547-cbt-a4/visual/run/frame-2.png
peking547-cbt-a4,peking547,cbt,4,15,move,130269,True,0,0,1.0698178392862385,0.11525219613350568,0.038598847308145896,0.045787546783685684,0,aa8d08125e409ef497e2553319d62bb2c2a32fe7b5cb4b90b0f18f79238a914f,12881002172889809993,1790881,13198516499610291869,489952494327513795,9666425116932656255,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a4/frame-15/errors.f64,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/quality/peking547-cbt-a4/frame-15/locations.csv,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/cbt-2024/cbi-04/runs/peking547-cbt-a4/visual/run/frame-15.png
