terrain,frame,left,right,leftN,rightN,NRatio,nearCount,status,Dmax,witnessOrdinal
peking547,2,peking547-transactional-b50000,peking547-cbt-a4,49999,48,1041.6458333333333,False,paired,0.323098234043432,140715
peking547,2,peking547-transactional-b50000,peking547-dod-b50000,49999,49999,1.0,True,paired,2.4045695989904914e-13,1756818
peking547,15,peking547-transactional-b50000,peking547-cbt-a16,49999,45112,1.1083303777265472,False,paired,1.903045576647985,1774405
peking547,15,peking547-transactional-b50000,peking547-dod-b50000,49999,50000,0.99998,True,paired,1.977369318373242,1790800
peking547,16,peking547-transactional-b50000,peking547-cbt-a8,49999,63132,0.7919755433060889,False,paired,0.38981809591382915,72466
peking547,16,peking547-transactional-b50000,peking547-dod-b50000,49999,49999,1.0,True,paired,0.10112523828974931,404342
peking547,23,peking547-transactional-b50000,peking547-cbt-a16,49999,45844,1.090633452578309,True,paired,0.32823386906888685,137437
peking547,23,peking547-transactional-b50000,peking547-dod-b50000,49999,49999,1.0,True,paired,0.10112523828974931,404342
peking547,2,peking547-transactional-b200000,peking547-cbt-a4,200000,48,4166.666666666667,False,paired,0.15998981527264908,85461
peking547,2,peking547-transactional-b200000,peking547-dod-b200000,200000,200000,1.0,True,paired,2.4158508920017925e-13,1786318
peking547,15,peking547-transactional-b200000,peking547-cbt-a4,200000,130269,1.535284680161819,False,paired,1.9719572047441427,1790801
peking547,15,peking547-transactional-b200000,peking547-dod-b200000,200000,199999,1.000005000025,True,paired,1.9918719198761548,1790794
peking547,16,peking547-transactional-b200000,peking547-cbt-a4,200000,110004,1.8181157048834589,False,paired,0.19105338920636475,176841
peking547,16,peking547-transactional-b200000,peking547-dod-b200000,200000,200000,1.0,True,paired,0.07487790280796558,48306
peking547,23,peking547-transactional-b200000,peking547-cbt-a4,200000,140913,1.4193154641516397,False,paired,0.18882232814244465,176841
peking547,23,peking547-transactional-b200000,peking547-dod-b200000,200000,200000,1.0,True,paired,0.07487790280796558,48306
dem-canyon,2,dem-canyon-transactional-b50000,dem-canyon-cbt-a4,50000,48,1041.6666666666667,False,paired,1.698302310091277,90440
dem-canyon,2,dem-canyon-transactional-b50000,dem-canyon-dod-b50000,50000,49996,1.000080006400512,True,paired,4.636922599457437,1501038
dem-canyon,32,dem-canyon-transactional-b50000,dem-canyon-cbt-a4,50000,40956,1.22082234593222,False,invalid-quality,,
dem-canyon,32,dem-canyon-transactional-b50000,dem-canyon-dod-b50000,50000,13017,3.841130828916033,False,paired,9.104800762732847,1574874
dem-canyon,64,dem-canyon-transactional-b50000,dem-canyon-cbt-a16,50000,34870,1.4338973329509608,False,paired,1.8222778489919405,1083780
dem-canyon,64,dem-canyon-transactional-b50000,dem-canyon-dod-b50000,50000,50000,1.0,True,paired,1.7298481579334128,5826
dem-canyon,95,dem-canyon-transactional-b50000,dem-canyon-cbt-a16,50000,34973,1.4296743201898607,False,paired,1.8222778489919405,1083780
dem-canyon,95,dem-canyon-transactional-b50000,dem-canyon-dod-b50000,50000,50000,1.0,True,paired,1.7298481579334128,5826
dem-canyon,2,dem-canyon-transactional-b200000,dem-canyon-cbt-a4,61010,48,1271.0416666666667,False,paired,1.4583199991187488,551324
dem-canyon,2,dem-canyon-transactional-b200000,dem-canyon-dod-b200000,61010,61260,0.9959190336271629,True,paired,4.636922599457437,1501038
dem-canyon,32,dem-canyon-transactional-b200000,dem-canyon-cbt-a4,61218,40956,1.4947260474655728,False,invalid-quality,,
dem-canyon,32,dem-canyon-transactional-b200000,dem-canyon-dod-b200000,61218,13143,4.65784067564483,False,paired,9.104800762732847,1574874
dem-canyon,64,dem-canyon-transactional-b200000,dem-canyon-cbt-a8,61278,66756,0.917939960452993,True,invalid-quality,,
dem-canyon,64,dem-canyon-transactional-b200000,dem-canyon-dod-b200000,61278,75764,0.8088010136740404,False,paired,1.9416639671420364,376940
dem-canyon,95,dem-canyon-transactional-b200000,dem-canyon-cbt-a8,61278,67255,0.911129284068099,True,invalid-quality,,
dem-canyon,95,dem-canyon-transactional-b200000,dem-canyon-dod-b200000,61278,75764,0.8088010136740404,False,paired,1.9416639671420364,376940
