case,sourceFrame,frame,witness,root,rank,priority,threshold,sampleMaxPx,stage,selected,details
peking547-b50000-transactional-t8,15,0,0,599,2,122.12060242830425,0.25,0,shape_infeasible,False,"{""frame"":0,""witness"":0,""root"":599,""stage"":""shape_infeasible"",""attempts"":[[""E"",""no_screen_samples""],[""E"",""no_screen_samples""],[""F"",""shape_infeasible""],[""H"",""shape_infeasible""]],""selected"":false}"
peking547-b50000-transactional-t8,15,0,1,599,2,122.12060242830425,0.25,0,shape_infeasible,False,"{""frame"":0,""witness"":1,""root"":599,""stage"":""shape_infeasible"",""attempts"":[[""E"",""no_screen_samples""],[""E"",""no_screen_samples""],[""F"",""shape_infeasible""],[""H"",""shape_infeasible""]],""selected"":false}"
peking547-b50000-transactional-t8,15,1,0,599,2,122.12060242830425,0.25,0,shape_infeasible,False,"{""frame"":1,""witness"":0,""root"":599,""stage"":""shape_infeasible"",""attempts"":[[""E"",""no_screen_samples""],[""E"",""no_screen_samples""],[""F"",""shape_infeasible""],[""H"",""shape_infeasible""]],""selected"":false}"
peking547-b50000-transactional-t8,15,1,1,599,2,122.12060242830425,0.25,0,shape_infeasible,False,"{""frame"":1,""witness"":1,""root"":599,""stage"":""shape_infeasible"",""attempts"":[[""E"",""no_screen_samples""],[""E"",""no_screen_samples""],[""F"",""shape_infeasible""],[""H"",""shape_infeasible""]],""selected"":false}"
peking547-b50000-transactional-t8,15,2,0,599,2,122.12060242830425,0.25,0,shape_infeasible,False,"{""frame"":2,""witness"":0,""root"":599,""stage"":""shape_infeasible"",""attempts"":[[""E"",""no_screen_samples""],[""E"",""no_screen_samples""],[""F"",""shape_infeasible""],[""H"",""shape_infeasible""]],""selected"":false}"
peking547-b50000-transactional-t8,15,2,1,599,2,122.12060242830425,0.25,0,shape_infeasible,False,"{""frame"":2,""witness"":1,""root"":599,""stage"":""shape_infeasible"",""attempts"":[[""E"",""no_screen_samples""],[""E"",""no_screen_samples""],[""F"",""shape_infeasible""],[""H"",""shape_infeasible""]],""selected"":false}"
peking547-b50000-transactional-t8,15,3,0,599,2,102.86446369913142,0.25,0,shape_infeasible,False,"{""frame"":3,""witness"":0,""root"":599,""stage"":""shape_infeasible"",""attempts"":[[""E"",""no_screen_samples""],[""E"",""no_screen_samples""],[""F"",""shape_infeasible""],[""H"",""shape_infeasible""]],""selected"":false}"
peking547-b50000-transactional-t8,15,3,1,599,2,102.86446369913142,0.25,0,shape_infeasible,False,"{""frame"":3,""witness"":1,""root"":599,""stage"":""shape_infeasible"",""attempts"":[[""E"",""no_screen_samples""],[""E"",""no_screen_samples""],[""F"",""shape_infeasible""],[""H"",""shape_infeasible""]],""selected"":false}"
peking547-b50000-transactional-t8,15,4,0,599,2,84.89021163265632,0.25,0,shape_infeasible,False,"{""frame"":4,""witness"":0,""root"":599,""stage"":""shape_infeasible"",""attempts"":[[""E"",""no_screen_samples""],[""E"",""no_screen_samples""],[""F"",""shape_infeasible""],[""H"",""shape_infeasible""]],""selected"":false}"
peking547-b50000-transactional-t8,15,4,1,599,2,84.89021163265632,0.25,0,shape_infeasible,False,"{""frame"":4,""witness"":1,""root"":599,""stage"":""shape_infeasible"",""attempts"":[[""E"",""no_screen_samples""],[""E"",""no_screen_samples""],[""F"",""shape_infeasible""],[""H"",""shape_infeasible""]],""selected"":false}"
