case,sourceFrame,frame,phase,witness,u,v,reference,height,heightResidual,visible,error,futureError,returnError,face,priority,rank
peking547-b50000-transactional-t8,15,0,seed,0,0.97435897588729858,1,1.9037766066970527,1.736194959252316,-0.16758164744473669,0,6.6811463661772326,1.9965571109865088,6.6811463661772326,599,122.12060242830425,2
peking547-b50000-transactional-t8,15,0,seed,1,0.97619044780731201,1,1.9023117645186836,1.7364330595446518,-0.16587870497403179,0,6.6522773242829096,1.9808580779439462,6.6522773242829096,599,122.12060242830425,2
peking547-b50000-transactional-t8,15,0,before,0,0.97435897588729858,1,1.9037766066970527,1.736194959252316,-0.16758164744473669,0,6.6811463661772326,1.9965571109865088,6.6811463661772326,599,122.12060242830425,2
peking547-b50000-transactional-t8,15,0,before,1,0.97619044780731201,1,1.9023117645186836,1.7364330595446518,-0.16587870497403179,0,6.6522773242829096,1.9808580779439462,6.6522773242829096,599,122.12060242830425,2
peking547-b50000-transactional-t8,15,0,after,0,0.97435897588729858,1,1.9037766066970527,1.736194959252316,-0.16758164744473669,0,6.6811463661772326,1.9965571109865088,6.6811463661772326,599,122.12060242830425,2
peking547-b50000-transactional-t8,15,0,after,1,0.97619044780731201,1,1.9023117645186836,1.7364330595446518,-0.16587870497403179,0,6.6522773242829096,1.9808580779439462,6.6522773242829096,599,122.12060242830425,2
peking547-b50000-transactional-t8,15,1,before,0,0.97435897588729858,1,1.9037766066970527,1.736194959252316,-0.16758164744473669,0,6.6811463661772326,1.9965571109865088,6.6811463661772326,599,122.12060242830425,2
peking547-b50000-transactional-t8,15,1,before,1,0.97619044780731201,1,1.9023117645186836,1.7364330595446518,-0.16587870497403179,0,6.6522773242829096,1.9808580779439462,6.6522773242829096,599,122.12060242830425,2
peking547-b50000-transactional-t8,15,1,after,0,0.97435897588729858,1,1.9037766066970527,1.736194959252316,-0.16758164744473669,0,6.6811463661772326,1.9965571109865088,6.6811463661772326,599,122.12060242830425,2
peking547-b50000-transactional-t8,15,1,after,1,0.97619044780731201,1,1.9023117645186836,1.7364330595446518,-0.16587870497403179,0,6.6522773242829096,1.9808580779439462,6.6522773242829096,599,122.12060242830425,2
peking547-b50000-transactional-t8,15,2,before,0,0.97435897588729858,1,1.9037766066970527,1.736194959252316,-0.16758164744473669,0,6.6811463661772326,1.9965571109865088,6.6811463661772326,599,122.12060242830425,2
peking547-b50000-transactional-t8,15,2,before,1,0.97619044780731201,1,1.9023117645186836,1.7364330595446518,-0.16587870497403179,0,6.6522773242829096,1.9808580779439462,6.6522773242829096,599,122.12060242830425,2
peking547-b50000-transactional-t8,15,2,after,0,0.97435897588729858,1,1.9037766066970527,1.736194959252316,-0.16758164744473669,0,6.6811463661772326,1.9965571109865088,6.6811463661772326,599,122.12060242830425,2
peking547-b50000-transactional-t8,15,2,after,1,0.97619044780731201,1,1.9023117645186836,1.7364330595446518,-0.16587870497403179,0,6.6522773242829096,1.9808580779439462,6.6522773242829096,599,122.12060242830425,2
peking547-b50000-transactional-t8,15,3,before,0,0.97435897588729858,1,1.9037766066970527,1.736194959252316,-0.16758164744473669,0,6.0030205434553681,1.9965571109865088,6.6811463661772326,599,102.86446369913142,2
peking547-b50000-transactional-t8,15,3,before,1,0.97619044780731201,1,1.9023117645186836,1.7364330595446518,-0.16587870497403179,0,5.964404354417054,1.9808580779439462,6.6522773242829096,599,102.86446369913142,2
peking547-b50000-transactional-t8,15,3,after,0,0.97435897588729858,1,1.9037766066970527,1.736194959252316,-0.16758164744473669,0,6.0030205434553681,1.9965571109865088,6.6811463661772326,599,102.86446369913142,2
peking547-b50000-transactional-t8,15,3,after,1,0.97619044780731201,1,1.9023117645186836,1.7364330595446518,-0.16587870497403179,0,5.964404354417054,1.9808580779439462,6.6522773242829096,599,102.86446369913142,2
peking547-b50000-transactional-t8,15,4,before,0,0.97435897588729858,1,1.9037766066970527,1.736194959252316,-0.16758164744473669,0,5.2692072769524971,1.9965571109865088,6.6811463661772326,599,84.890211632656317,2
peking547-b50000-transactional-t8,15,4,before,1,0.97619044780731201,1,1.9023117645186836,1.7364330595446518,-0.16587870497403179,0,5.2268328876667765,1.9808580779439462,6.6522773242829096,599,84.890211632656317,2
peking547-b50000-transactional-t8,15,4,after,0,0.97435897588729858,1,1.9037766066970527,1.736194959252316,-0.16758164744473669,0,5.2692072769524971,1.9965571109865088,6.6811463661772326,599,84.890211632656317,2
peking547-b50000-transactional-t8,15,4,after,1,0.97619044780731201,1,1.9023117645186836,1.7364330595446518,-0.16587870497403179,0,5.2268328876667765,1.9808580779439462,6.6522773242829096,599,84.890211632656317,2
peking547-b50000-transactional-t8,15,5,before,0,0.97435897588729858,1,1.9037766066970527,1.736194959252316,-0.16758164744473669,0,3.9696287902578851,1.9965571109865088,6.6811463661772326,599,56.147145736393554,2
peking547-b50000-transactional-t8,15,5,before,1,0.97619044780731201,1,1.9023117645186836,1.7364330595446518,-0.16587870497403179,0,3.9296778298199806,1.9808580779439462,6.6522773242829096,599,56.147145736393554,2
peking547-b50000-transactional-t8,15,5,after,0,0.97435897588729858,1,1.9037766066970527,1.736194959252316,-0.16758164744473669,0,3.9696287902578851,1.9965571109865088,6.6811463661772326,599,56.147145736393554,2
peking547-b50000-transactional-t8,15,5,after,1,0.97619044780731201,1,1.9023117645186836,1.7364330595446518,-0.16587870497403179,0,3.9296778298199806,1.9808580779439462,6.6522773242829096,599,56.147145736393554,2
