frame,sample,event,warmup,poseHash,projectionHash,faces,budget,workers,sequence,hash,cpuMs,uploadMs,uploadBytes,beginMs,waitMs,renderMs,presentMs,frameMs,evidenceMs,split,merge,splitScoreMs,mergeScoreMs,splitTopologyMs,mergeTopologyMs,meshEmitMs,status,updated,cold,seedFaces,samples,raw,examined,receivers,need,feasible,exchanges,free,pairs,conflicts,donorReuse,touches,evaluations,vertexWrites,indexWrites,seedMs,initializeMs,viewMs,receiverMs,donorMs,reservationMs,topologyPrepareMs,topologyPublishMs,sampleRepairMs,meshPrepareMs,continuationMs,adapterMs,image,artifact
0,14,warmup,1,3166611947957068695,12300297263685901889,49999,50000,8,1,18435347681902994536,1737.61767578125,,,,,,,1737.6216999999999,6.6506999999999996,0,0,,,,,,0,1,1,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,1790881,149997,149997,291.53250000000003,1442.4809,0,3.3338999999999999,0,0.0038999999999999998,0,0,0,0,0,0.10629999999996631,,
1,14,warmup,1,3166611947957068695,12300297263685901889,49999,50000,8,2,18435347681902994536,3.5699999332427979,,,,,,,3.5708000000000002,6.6763000000000003,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3614999999999999,0,0.00019999999999999998,0,0,0,0,0,0.025399999999999867,,
2,14,warmup,1,3166611947957068695,12300297263685901889,49999,50000,8,3,18435347681902994536,3.3710000514984131,,,,,,,3.3715999999999999,7.0107999999999997,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1560999999999999,0,0.00029999999999999997,0,0,0,0,0,0.013599999999999834,,
3,15,move,0,13838191533393936576,3997314780807900106,49999,50000,8,4,15110893397730911932,56.814701080322266,,,,,,,56.814999999999998,6.4253999999999998,0,0,,,,,,0,1,0,49999,1790881,49999,160,21,21,21,6,0,2424,1950,75,49343,1792353,108,207,0,0,24.2377,4.2115,15.4656,8.5342000000000002,0.37759999999999999,0.12300000000000001,3.0969000000000002,0.079100000000000004,0.1265,0.012300000000003308,,
4,16,move,0,5471853172476381567,9658263257598618041,49999,50000,8,5,11624103196257542616,36.115001678466797,,,,,,,36.115299999999998,6.6978,0,0,,,,,,0,1,0,49999,1790881,49999,160,11,11,11,5,0,987,927,31,10575,1791969,96,186,0,0,20.882999999999999,3.8338999999999999,3.1322000000000001,5.1978999999999997,0.32150000000000001,0.086500000000000007,1.9072,0.085699999999999998,0.1118,0.017099999999999227,,
5,18,move,0,11786419364791996900,10953985234098376342,49999,50000,8,6,13430519956191035976,33.744701385498047,,,,,,,33.745199999999997,6.4524999999999997,0,0,,,,,,0,1,0,49999,1790881,49999,160,7,7,7,3,0,649,615,10,13585,1793219,66,114,0,0,20.259599999999999,4.4397000000000002,2.4988999999999999,2.9826000000000001,0.18640000000000001,0.053199999999999997,2.6378999999999997,0.035900000000000001,0.14300000000000002,0.014099999999999113,,
6,22,move,0,16912943550439360024,3594312007481663890,49999,50000,8,7,8892176029403353341,55.041000366210938,,,,,,,55.041400000000003,6.4299999999999997,0,0,,,,,,0,1,0,49999,1790881,49999,160,15,15,15,3,0,1929,1835,30,61993,1806111,60,114,0,0,20.944099999999999,14.7859,2.8879999999999999,7.0321999999999996,0.41350000000000003,0.051499999999999997,7.5436000000000005,0.032499999999999994,0.35220000000000001,0.010199999999997544,,
7,26,move,0,3417148645767320825,15342905834565797191,49999,50000,8,8,15904142902508068559,51.265899658203125,,,,,,,51.267299999999999,7.0199999999999996,0,0,,,,,,0,1,0,49999,1790881,49981,160,5,5,5,2,0,483,474,4,53334,1801568,36,69,0,0,22.131700000000002,17.814799999999998,1.0131999999999999,1.7198,0.19839999999999999,0.053499999999999999,6.8726000000000003,0.050099999999999999,0.56559999999999999,0.025400000000004752,,
8,30,move,0,17418916657010766531,17508582155668554181,49999,50000,8,9,2498444405393735660,148.36099243164062,,,,,,,148.3614,6.4992999999999999,0,0,,,,,,0,1,0,49999,1790881,49867,160,80,80,80,40,0,7220,5506,1634,81072,1812843,726,1443,0,0,20.015499999999999,21.421499999999998,1.7390999999999999,69.759900000000002,2.8476999999999997,0.57600000000000007,27.2454,0.15440000000000001,2.0219999999999998,0.023299999999977672,,
9,34,move,0,13532394383843585779,18180435036387971797,49999,50000,8,10,15762542199413221791,140.06329345703125,,,,,,,140.06379999999999,6.4668000000000001,0,0,,,,,,0,1,0,49999,1790881,49206,160,74,74,74,39,0,6475,5037,1396,67601,1805300,714,1401,0,0,22.145600000000002,24.811900000000001,1.1739999999999999,67.713800000000006,3.0585,0.92220000000000002,16.302299999999999,0.16210000000000002,1.9689000000000001,0.023499999999984311,,
10,38,move,0,16208258721931065280,17521257528436544202,49999,50000,8,11,15762542199413221791,24.287200927734375,,,,,,,24.288,6.4898999999999996,0,0,,,,,,0,1,0,49999,1790881,49301,160,0,0,0,0,0,0,0,0,0,1790881,0,0,0,0,21.500800000000002,2.6300999999999997,0,0.00019999999999999998,0,0,0,0,0,0.015299999999999869,,
11,42,move,0,11028519151052505000,16236283286663530050,49999,50000,8,12,15762542199413221791,25.265399932861328,,,,,,,25.265999999999998,6.5362,0,0,,,,,,0,1,0,49999,1790881,49301,160,0,0,0,0,0,0,0,0,0,1790881,0,0,0,0,22.4421,2.7079999999999997,0,0.00019999999999999998,0,0,0,0,0,0.0069999999999978968,,
12,46,move,0,11940239614335221990,15439483516352650996,49999,50000,8,13,14622218410974098622,42.753898620605469,,,,,,,42.7547,6.7011000000000003,0,0,,,,,,0,1,0,49999,1790881,46722,160,16,16,16,9,0,1207,1064,68,13115,1794306,162,324,0,0,20.807099999999998,6.7432999999999996,1.8917000000000002,7.6039999999999992,0.45910000000000001,0.17730000000000001,3.8437999999999999,0.089300000000000004,0.45899999999999996,0.021100000000004115,,
13,50,move,0,8272989952420283224,2757038174588326354,49999,50000,8,14,7998238746400112540,101.87069702148438,,,,,,,101.871,6.4881000000000002,0,0,,,,,,0,1,0,49999,1790881,46361,160,54,54,54,25,0,5207,4300,736,62015,1805544,456,906,0,0,21.744499999999999,13.546100000000001,2.1886999999999999,44.575400000000002,1.774,0.76219999999999999,14.070400000000001,0.12329999999999999,1.3412999999999999,0.031599999999997408,,
14,54,move,0,10617017952949460516,15663023974893778134,49999,50000,8,15,16259704771137361412,55.485801696777344,,,,,,,55.4863,6.8151000000000002,0,0,,,,,,0,1,0,49999,1790881,49930,160,23,23,23,12,0,1838,1684,142,40362,1800075,216,429,0,0,19.801500000000001,13.1168,1.8674999999999999,9.7491000000000003,0.93259999999999998,0.28939999999999999,7.1190000000000007,0.1479,1.0526000000000002,0.030200000000000671,,
15,58,move,0,13198516499610291869,489952494327513795,49999,50000,8,16,10475014748678183350,40.016899108886719,,,,,,,40.017400000000002,7.8674999999999997,0,0,,,,,,0,1,0,49999,1790881,49999,160,2,2,2,1,0,161,159,1,16538,1793512,18,36,0,0,20.431000000000001,14.4011,1.7503,0.81389999999999996,0.082500000000000004,0.0309,1.5283,0.0521,0.31110000000000004,0.012999999999998124,,
16,14,recovery,0,3166611947957068695,12300297263685901889,49999,50000,8,17,10475014748678183350,22.883699417114258,,,,,,,22.884499999999999,6.8097000000000003,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,1790881,0,0,0,0,19.789300000000001,2.8411,0,0.00059999999999999995,0,0,0,0,0,0.014200000000002433,,
17,14,recovery,0,3166611947957068695,12300297263685901889,49999,50000,8,18,10475014748678183350,3.0662000179290771,,,,,,,3.0670000000000002,6.5606999999999998,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8489999999999998,0,9.9999999999999991e-05,0,0,0,0,0,0.015099999999999891,,
18,14,recovery,0,3166611947957068695,12300297263685901889,49999,50000,8,19,10475014748678183350,2.4482998847961426,,,,,,,2.4489000000000001,7.0323000000000002,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2845999999999997,0,0.00050000000000000001,0,0,0,0,0,0.0085000000000001741,,
19,14,recovery,0,3166611947957068695,12300297263685901889,49999,50000,8,20,10475014748678183350,2.8313000202178955,,,,,,,2.8319000000000001,6.6475,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6194000000000002,0,9.9999999999999991e-05,0,0,0,0,0,0.015500000000000291,,
20,14,recovery,0,3166611947957068695,12300297263685901889,49999,50000,8,21,10475014748678183350,2.9412000179290771,,,,,,,2.9417,6.5517000000000003,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7875999999999999,0,0.00019999999999999998,0,0,0,0,0,0.0091999999999998749,,
21,14,recovery,0,3166611947957068695,12300297263685901889,49999,50000,8,22,10475014748678183350,2.900399923324585,,,,,,,2.9009,6.5483000000000002,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7326999999999999,0,9.9999999999999991e-05,0,0,0,0,0,0.0064999999999999503,,
22,14,recovery,0,3166611947957068695,12300297263685901889,49999,50000,8,23,10475014748678183350,3.1221001148223877,,,,,,,3.1233,6.9166999999999996,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8739999999999997,0,0.00019999999999999998,0,0,0,0,0,0.013800000000000257,,
23,14,recovery,0,3166611947957068695,12300297263685901889,49999,50000,8,24,10475014748678183350,3.0531001091003418,,,,,,,3.0537000000000001,6.8449,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8300999999999998,0,0.00039999999999999996,0,0,0,0,0,0.012000000000000011,,
