frame,sample,event,warmup,poseHash,projectionHash,faces,budget,workers,sequence,hash,cpuMs,uploadMs,uploadBytes,beginMs,waitMs,renderMs,presentMs,frameMs,evidenceMs,split,merge,splitScoreMs,mergeScoreMs,splitTopologyMs,mergeTopologyMs,meshEmitMs,status,updated,cold,seedFaces,samples,raw,examined,receivers,need,feasible,exchanges,free,pairs,conflicts,donorReuse,touches,evaluations,vertexWrites,indexWrites,seedMs,initializeMs,viewMs,receiverMs,donorMs,reservationMs,topologyPrepareMs,topologyPublishMs,sampleRepairMs,meshPrepareMs,continuationMs,adapterMs,image,artifact
0,14,warmup,1,3166611947957068695,12300297263685901889,49999,50000,8,1,18435347681902994536,1652.319580078125,,,,,,,1652.3216,6.8487999999999998,0,0,,,,,,0,1,1,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,1790881,149997,149997,264.4581,1383.3140000000001,0,4.2605000000000004,0,0.0115,0,0,0,0,0,0.091599999999900206,,
1,14,warmup,1,3166611947957068695,12300297263685901889,49999,50000,8,2,18435347681902994536,3.7634999752044678,,,,,,,3.7650999999999999,6.4671000000000003,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5449000000000002,0,9.9999999999999991e-05,0,0,0,0,0,0.034299999999999997,,
2,14,warmup,1,3166611947957068695,12300297263685901889,49999,50000,8,3,18435347681902994536,3.0401999950408936,,,,,,,3.0402999999999998,6.5041000000000002,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9279000000000002,0,9.9999999999999991e-05,0,0,0,0,0,0.0060000000000002274,,
3,15,move,0,13838191533393936576,3997314780807900106,49999,50000,8,4,15110893397730911932,58.583000183105469,,,,,,,58.583500000000001,6.8605999999999998,0,0,,,,,,0,1,0,49999,1790881,49999,160,21,21,21,6,0,2424,1950,75,49343,1792353,108,207,0,0,23.664999999999999,4.2116000000000007,17.533900000000003,9.0563000000000002,0.62949999999999995,0.1101,2.4849000000000001,0.039799999999999995,0.1358,0.01659999999999684,,
4,16,move,0,5471853172476381567,9658263257598618041,49999,50000,8,5,11624103196257542616,33.209400177001953,,,,,,,33.209899999999998,6.4481000000000002,0,0,,,,,,0,1,0,49999,1790881,49999,160,11,11,11,5,0,987,927,31,10575,1791969,96,186,0,0,18.694100000000002,3.6705999999999999,2.4933000000000001,4.9027000000000003,0.36269999999999997,0.084499999999999992,2.3100000000000001,0.053999999999999999,0.13569999999999999,0.019000000000005457,,
5,18,move,0,11786419364791996900,10953985234098376342,49999,50000,8,6,13430519956191035976,36.726898193359375,,,,,,,36.727200000000003,6.4701000000000004,0,0,,,,,,0,1,0,49999,1790881,49999,160,7,7,7,3,0,649,615,10,13585,1793219,66,114,0,0,22.931799999999999,4.6246999999999998,2.7945000000000002,3.0152000000000001,0.26860000000000001,0.048099999999999997,2.3862999999999999,0.029600000000000001,0.1129,0.0097999999999984766,,
6,22,move,0,16912943550439360024,3594312007481663890,49999,50000,8,7,8892176029403353341,58.023700714111328,,,,,,,58.024299999999997,6.7267999999999999,0,0,,,,,,0,1,0,49999,1790881,49999,160,15,15,15,3,0,1929,1835,30,61993,1806111,60,114,0,0,23.484399999999997,16.098700000000001,2.6292,6.7891000000000004,0.32180000000000003,0.063600000000000004,7.5606999999999998,0.061699999999999998,0.25650000000000001,0.0098999999999946908,,
7,26,move,0,3417148645767320825,15342905834565797191,49999,50000,8,8,15904142902508068559,49.419101715087891,,,,,,,49.419899999999998,6.4368999999999996,0,0,,,,,,0,1,0,49999,1790881,49981,160,5,5,5,2,0,483,474,4,53334,1801568,36,69,0,0,19.653099999999998,18.9711,1.2470999999999999,1.6525999999999998,0.20550000000000002,0.040800000000000003,6.8456000000000001,0.0361,0.1986,0.01290000000000191,,
8,30,move,0,17418916657010766531,17508582155668554181,49999,50000,8,9,2498444405393735660,143.25160217285156,,,,,,,143.25190000000001,6.4206000000000003,0,0,,,,,,0,1,0,49999,1790881,49867,160,80,80,80,40,0,7220,5506,1634,81072,1812843,726,1443,0,0,21.034800000000001,20.841200000000001,1.0942000000000001,69.4833,3.0507,0.5109999999999999,23.487100000000002,0.13170000000000001,1.5533999999999999,0.019399999999990314,,
9,34,move,0,13532394383843585779,18180435036387971797,49999,50000,8,10,15762542199413221791,134.12750244140625,,,,,,,134.12809999999999,6.5730000000000004,0,0,,,,,,0,1,0,49999,1790881,49206,160,74,74,74,39,0,6475,5037,1396,67601,1805300,714,1401,0,0,20.636100000000003,22.5871,0.9386000000000001,68.824600000000004,2.9821999999999997,0.4224,16.0212,0.1134,0.42670000000000002,0.031399999999990769,,
