frame,sample,event,warmup,poseHash,projectionHash,faces,budget,workers,sequence,hash,cpuMs,uploadMs,uploadBytes,beginMs,waitMs,renderMs,presentMs,frameMs,evidenceMs,split,merge,splitScoreMs,mergeScoreMs,splitTopologyMs,mergeTopologyMs,meshEmitMs,status,updated,cold,seedFaces,samples,raw,examined,receivers,need,feasible,exchanges,free,pairs,conflicts,donorReuse,touches,evaluations,vertexWrites,indexWrites,seedMs,initializeMs,viewMs,receiverMs,donorMs,reservationMs,topologyPrepareMs,topologyPublishMs,sampleRepairMs,meshPrepareMs,continuationMs,adapterMs,image,artifact
0,14,warmup,1,3166611947957068695,12300297263685901889,49999,50000,8,1,18435347681902994536,1683.37646484375,,,,,,,1683.3780999999999,6.5909000000000004,0,0,,,,,,0,1,1,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,1790881,149997,149997,283.81209999999999,1395.4421,0,3.7586999999999997,0,9.9999999999999991e-05,0,0,0,0,0,0.16280000000022321,,
1,14,warmup,1,3166611947957068695,12300297263685901889,49999,50000,8,2,18435347681902994536,2.9058001041412354,,,,,,,2.9066000000000001,7.0323000000000002,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7121,0,9.9999999999999991e-05,0,0,0,0,0,0.013000000000000345,,
2,14,warmup,1,3166611947957068695,12300297263685901889,49999,50000,8,3,18435347681902994536,2.8845000267028809,,,,,,,2.8849,6.4489999999999998,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7612000000000001,0,9.9999999999999991e-05,0,0,0,0,0,0.0068999999999999062,,
3,15,move,0,13838191533393936576,3997314780807900106,49999,50000,8,4,15110893397730911932,52.2041015625,,,,,,,52.206299999999999,6.4169999999999998,0,0,,,,,,0,1,0,49999,1790881,49999,160,21,21,21,6,0,2424,1950,75,49343,1792353,108,207,0,0,20.937399999999997,3.4938000000000002,15.410299999999999,8.5815999999999999,0.40089999999999998,0.075899999999999995,2.6689000000000003,0.028199999999999999,0.064200000000000007,0.010899999999999466,,
4,16,move,0,5471853172476381567,9658263257598618041,49999,50000,8,5,11624103196257542616,37.492900848388672,,,,,,,37.493400000000001,6.5744999999999996,0,0,,,,,,0,1,0,49999,1790881,49999,160,11,11,11,5,0,987,927,31,10575,1791969,96,186,0,0,22.624700000000001,3.5899999999999999,2.7073999999999998,5.0994999999999999,0.40999999999999998,0.1003,2.1467999999999998,0.1047,0.066799999999999998,0.026099999999999568,,
5,18,move,0,11786419364791996900,10953985234098376342,49999,50000,8,6,13430519956191035976,38.816398620605469,,,,,,,38.817700000000002,7.6833999999999998,0,0,,,,,,0,1,0,49999,1790881,49999,160,7,7,7,3,0,649,615,10,13585,1793219,66,114,0,0,22.323800000000002,6.7359999999999998,2.7966000000000002,3.1174000000000004,0.2238,0.10100000000000001,2.5325000000000002,0.0419,0.25459999999999999,0.021999999999998465,,
6,22,move,0,16912943550439360024,3594312007481663890,49999,50000,8,7,8892176029403353341,52.729301452636719,,,,,,,52.730800000000002,6.7027999999999999,0,0,,,,,,0,1,0,49999,1790881,49999,160,15,15,15,3,0,1929,1835,30,61993,1806111,60,114,0,0,18.896100000000001,14.533799999999999,2.7612000000000001,6.8505000000000003,0.25129999999999997,0.098599999999999993,7.4316000000000004,0.049399999999999999,0.88929999999999998,0.022500000000000853,,
7,26,move,0,3417148645767320825,15342905834565797191,49999,50000,8,8,15904142902508068559,47.911598205566406,,,,,,,47.9133,7.1929999999999996,0,0,,,,,,0,1,0,49999,1790881,49981,160,5,5,5,2,0,483,474,4,53334,1801568,36,69,0,0,20.758900000000001,16.715600000000002,0.83679999999999999,1.4889000000000001,0.2039,0.034999999999999996,7.0295000000000005,0.046900000000000004,0.18640000000000001,0.021999999999998465,,
8,30,move,0,17418916657010766531,17508582155668554181,49999,50000,8,9,2498444405393735660,141.64210510253906,,,,,,,141.64259999999999,6.4169999999999998,0,0,,,,,,0,1,0,49999,1790881,49867,160,80,80,80,40,0,7220,5506,1634,81072,1812843,726,1443,0,0,20.596599999999999,20.504799999999999,1.5530999999999999,70.712100000000007,2.6894,0.46989999999999998,21.844999999999999,0.12609999999999999,1.3272999999999999,0.020399999999995089,,
9,34,move,0,13532394383843585779,18180435036387971797,49999,50000,8,10,15762542199413221791,133.19810485839844,,,,,,,133.1985,6.6554000000000002,0,0,,,,,,0,1,0,49999,1790881,49206,160,74,74,74,39,0,6475,5037,1396,67601,1805300,714,1401,0,0,18.779199999999999,22.737199999999998,1.2122999999999999,68.26400000000001,2.8681000000000001,0.4254,17.031199999999998,0.10929999999999999,0.48959999999999998,0.020600000000001728,,
10,38,move,0,16208258721931065280,17521257528436544202,49999,50000,8,11,15762542199413221791,21.490400314331055,,,,,,,21.491299999999999,7.2712000000000003,0,0,,,,,,0,1,0,49999,1790881,49301,160,0,0,0,0,0,0,0,0,0,1790881,0,0,0,0,18.543899999999997,2.6394000000000002,0,0.00039999999999999996,0,0,0,0,0,0.015299999999999869,,
11,42,move,0,11028519151052505000,16236283286663530050,49999,50000,8,12,15762542199413221791,21.799600601196289,,,,,,,21.800599999999999,6.7884000000000002,0,0,,,,,,0,1,0,49999,1790881,49301,160,0,0,0,0,0,0,0,0,0,1790881,0,0,0,0,19.074399999999997,2.4935,0,0.00050000000000000001,0,0,0,0,0,0.010800000000003251,,
12,46,move,0,11940239614335221990,15439483516352650996,49999,50000,8,13,14622218410974098622,44.870998382568359,,,,,,,44.871699999999997,6.5839999999999996,0,0,,,,,,0,1,0,49999,1790881,46722,160,16,16,16,9,0,1207,1064,68,13115,1794306,162,324,0,0,21.340600000000002,6.8301999999999996,1.7657,8.0853999999999999,0.74430000000000007,0.098199999999999996,4.7926000000000002,0.047100000000000003,0.3826,0.016200000000004877,,
13,50,move,0,8272989952420283224,2757038174588326354,49999,50000,8,14,7998238746400112540,103.20580291748047,,,,,,,103.2067,6.7573999999999996,0,0,,,,,,0,1,0,49999,1790881,46361,160,54,54,54,25,0,5207,4300,736,62015,1805544,456,906,0,0,23.752100000000002,14.231199999999999,1.6784000000000001,45.074399999999997,2.1012,0.35050000000000003,14.173299999999999,0.11220000000000001,0.36180000000000001,0.028700000000000614,,
14,54,move,0,10617017952949460516,15663023974893778134,49999,50000,8,15,16259704771137361412,54.868499755859375,,,,,,,54.869300000000003,7.1239999999999997,0,0,,,,,,0,1,0,49999,1790881,49930,160,23,23,23,12,0,1838,1684,142,40362,1800075,216,429,0,0,20.997900000000001,12.4262,1.5962999999999998,9.4888999999999992,0.84470000000000001,0.21820000000000001,7.7473000000000001,0.094100000000000003,0.31950000000000001,0.020899999999997476,,
15,58,move,0,13198516499610291869,489952494327513795,49999,50000,8,16,10475014748678183350,40.668701171875,,,,,,,40.6693,7.2960000000000003,0,0,,,,,,0,1,0,49999,1790881,49999,160,2,2,2,1,0,161,159,1,16538,1793512,18,36,0,0,20.681000000000001,13.921799999999999,1.6857,0.97879999999999989,0.099299999999999999,0.053999999999999999,2.5202,0.062600000000000003,0.1797,0.014800000000001035,,
16,14,recovery,0,3166611947957068695,12300297263685901889,49999,50000,8,17,10475014748678183350,21.864500045776367,,,,,,,21.865300000000001,6.8158000000000003,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,1790881,0,0,0,0,18.755000000000003,2.9020999999999999,0,0.00029999999999999997,0,0,0,0,0,0.010999999999999233,,
