frame,sample,event,warmup,poseHash,projectionHash,faces,budget,workers,sequence,hash,cpuMs,uploadMs,uploadBytes,beginMs,waitMs,renderMs,presentMs,frameMs,evidenceMs,split,merge,splitScoreMs,mergeScoreMs,splitTopologyMs,mergeTopologyMs,meshEmitMs,status,updated,cold,seedFaces,samples,raw,examined,receivers,need,feasible,exchanges,free,pairs,conflicts,donorReuse,touches,evaluations,vertexWrites,indexWrites,seedMs,initializeMs,viewMs,receiverMs,donorMs,reservationMs,topologyPrepareMs,topologyPublishMs,sampleRepairMs,meshPrepareMs,continuationMs,adapterMs,image,artifact
0,14,warmup,1,3166611947957068695,12300297263685901889,49999,50000,8,1,18435347681902994536,1613.9041748046875,,,,,,,1613.9104,6.5308999999999999,0,0,,,,,,0,1,1,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,1790881,149997,149997,254.5506,1354.6079,0,4.1539999999999999,0,9.9999999999999991e-05,0,0,0,0,0,0.29379999999994233,,
1,14,warmup,1,3166611947957068695,12300297263685901889,49999,50000,8,2,18435347681902994536,3.6029000282287598,,,,,,,3.6046,6.8704999999999998,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3841000000000001,0,0.00029999999999999997,0,0,0,0,0,0.015499999999999847,,
2,14,warmup,1,3166611947957068695,12300297263685901889,49999,50000,8,3,18435347681902994536,3.5253000259399414,,,,,,,3.5257999999999998,6.5347,0,0,,,,,,0,1,0,49999,1790881,49999,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3671000000000002,0,0.00029999999999999997,0,0,0,0,0,0.012599999999999945,,
3,15,move,0,13838191533393936576,3997314780807900106,49999,50000,8,4,15110893397730911932,53.820598602294922,,,,,,,53.821100000000001,6.4077999999999999,0,0,,,,,,0,1,0,49999,1790881,49999,160,21,21,21,6,0,2424,1950,75,49343,1792353,108,207,0,0,22.517900000000001,3.8472,15.239600000000001,8.2702999999999989,0.52289999999999992,0.065599999999999992,2.6911999999999998,0.047699999999999999,0.059200000000000003,0.01010000000000133,,
4,16,move,0,5471853172476381567,9658263257598618041,49999,50000,8,5,11624103196257542616,34.097599029541016,,,,,,,34.098100000000002,6.4202000000000004,0,0,,,,,,0,1,0,49999,1790881,49999,160,11,11,11,5,0,987,927,31,10575,1791969,96,186,0,0,19.694500000000001,4.1219000000000001,2.3573,4.9452999999999996,0.36799999999999999,0.049499999999999995,1.9430999999999998,0.023300000000000001,0.0562,0.013100000000001444,,
5,18,move,0,11786419364791996900,10953985234098376342,49999,50000,8,6,13430519956191035976,33.585601806640625,,,,,,,33.586199999999998,7.3163999999999998,0,0,,,,,,0,1,0,49999,1790881,49999,160,7,7,7,3,0,649,615,10,13585,1793219,66,114,0,0,20.558199999999999,4.1834999999999996,2.4036,2.7694000000000001,0.22739999999999999,0.080500000000000002,2.5920999999999998,0.061199999999999997,0.22910000000000003,0.010699999999999932,,
6,22,move,0,16912943550439360024,3594312007481663890,49999,50000,8,7,8892176029403353341,52.854900360107422,,,,,,,52.855699999999999,6.4450000000000003,0,0,,,,,,0,1,0,49999,1790881,49999,160,15,15,15,3,0,1929,1835,30,61993,1806111,60,114,0,0,20.130300000000002,14.108499999999999,2.3517999999999999,6.8064999999999998,0.2172,0.078300000000000008,7.9667999999999992,0.073499999999999996,0.28659999999999997,0.013500000000000512,,
7,26,move,0,3417148645767320825,15342905834565797191,49999,50000,8,8,15904142902508068559,50.594100952148438,,,,,,,50.594799999999999,6.7253999999999996,0,0,,,,,,0,1,0,49999,1790881,49981,160,5,5,5,2,0,483,474,4,53334,1801568,36,69,0,0,22.031499999999998,18.058899999999998,1.3891,1.5881999999999998,0.2334,0.075899999999999995,6.0714999999999995,0.034499999999999996,0.43520000000000003,0.016999999999995907,,
8,30,move,0,17418916657010766531,17508582155668554181,49999,50000,8,9,2498444405393735660,139.36799621582031,,,,,,,139.3683,6.3647,0,0,,,,,,0,1,0,49999,1790881,49867,160,80,80,80,40,0,7220,5506,1634,81072,1812843,726,1443,0,0,18.2468,21.026699999999998,1.5653999999999999,69.524799999999999,3.7345999999999999,0.49709999999999999,21.7361,0.11019999999999999,1.2287999999999999,0.023399999999980992,,
9,34,move,0,13532394383843585779,18180435036387971797,49999,50000,8,10,15762542199413221791,132.01319885253906,,,,,,,132.01390000000001,6.4638,0,0,,,,,,0,1,0,49999,1790881,49206,160,74,74,74,39,0,6475,5037,1396,67601,1805300,714,1401,0,0,19.2241,22.681799999999999,1.1379000000000001,68.366100000000003,2.9364999999999997,0.51719999999999999,14.8558,0.1103,0.71020000000000005,0.028700000000014825,,
