name,frame,e,allRoots,qualityRoots,ineligibleQualityRoots,prefixQualityRoots
peking,15,0.25,49999,887,0,160
peking,15,0.5,49999,219,0,160
peking,15,1.0,49999,32,0,32
peking,23,0.25,50000,140,0,140
peking,23,0.5,50000,0,0,0
peking,23,1.0,50000,0,0,0
sierra,48,0.25,11118,6369,5837,160
sierra,48,0.5,11118,3625,3286,160
sierra,48,1.0,11118,174,160,14
sierra,95,0.25,11282,9244,9244,0
sierra,95,0.5,11282,4404,4404,0
sierra,95,1.0,11282,26,26,0
canyon,24,0.25,49999,15808,15682,126
canyon,24,0.5,49999,11452,11349,103
canyon,24,1.0,49999,4273,4201,72
canyon,95,0.25,50000,38603,38582,21
canyon,95,0.5,50000,25987,25978,9
canyon,95,1.0,50000,7164,7164,0
canyon-composite,8,0.25,49999,35635,35466,31
canyon-composite,8,0.5,49999,24479,24339,25
canyon-composite,8,1.0,49999,7436,7350,23
