e,hRatio,name,frame,approved,known,retained,screenRejected,heightRejected,positive,retainedPsi,positivePsi,progressFraction
0.25,1/1024,peking,15,34,34,21,12,13,33,491.8501972494087,798.9768105806611,0.6156000909362485
0.25,1/1024,peking,23,15,15,2,6,13,10,0.11804264211506135,0.1656807994659846,0.7124702590495183
0.25,1/1024,sierra,48,5,5,0,3,5,5,0,6.087974193207373,0.0
0.25,1/1024,sierra,95,0,0,0,0,0,0,0,0,
0.25,1/1024,canyon,24,14,14,0,5,14,13,0,15.683251197371522,0.0
0.25,1/1024,canyon,95,0,0,0,0,0,0,0,0,
0.25,1/1024,canyon-composite,8,3,3,1,1,2,2,1.1679365305672533,1.5982936857656245,0.7307396262457116
0.25,1/256,peking,15,34,34,22,12,3,33,492.77419555996244,798.9768105806611,0.6167565679432372
0.25,1/256,peking,23,15,15,5,6,0,10,0.12710161051869853,0.1656807994659846,0.7671474964411513
0.25,1/256,sierra,48,5,5,2,3,3,5,2.368235049499382,6.087974193207373,0.3890021498681332
0.25,1/256,sierra,95,0,0,0,0,0,0,0,0,
0.25,1/256,canyon,24,14,14,0,5,14,13,0,15.683251197371522,0.0
0.25,1/256,canyon,95,0,0,0,0,0,0,0,0,
0.25,1/256,canyon-composite,8,3,3,1,1,2,2,1.1679365305672533,1.5982936857656245,0.7307396262457116
0.5,1/1024,peking,15,34,34,21,6,13,33,405.0311322333273,641.3910838395852,0.6314885604718312
0.5,1/1024,peking,23,15,15,0,0,13,0,0,0,
0.5,1/1024,sierra,48,5,5,0,0,5,5,0,3.715756247000876,0.0
0.5,1/1024,sierra,95,0,0,0,0,0,0,0,0,
0.5,1/1024,canyon,24,14,14,0,0,14,9,0,7.580043992579802,0.0
0.5,1/1024,canyon,95,0,0,0,0,0,0,0,0,
0.5,1/1024,canyon-composite,8,3,3,0,1,2,1,0,0.42259964711141595,0.0
0.5,1/256,peking,15,34,34,28,6,3,33,435.2740811687376,641.3910838395852,0.6786406798221124
0.5,1/256,peking,23,15,15,0,0,0,0,0,0,
0.5,1/256,sierra,48,5,5,2,0,3,5,1.6342376290003042,3.715756247000876,0.4398129264586066
0.5,1/256,sierra,95,0,0,0,0,0,0,0,0,
0.5,1/256,canyon,24,14,14,0,0,14,9,0,7.580043992579802,0.0
0.5,1/256,canyon,95,0,0,0,0,0,0,0,0,
0.5,1/256,canyon-composite,8,3,3,0,1,2,1,0,0.42259964711141595,0.0
1.0,1/1024,peking,15,34,34,4,0,13,10,82.3950229023326,97.11076013374324,0.8484644007405175
1.0,1/1024,peking,23,15,15,0,0,13,0,0,0,
1.0,1/1024,sierra,48,5,5,0,0,5,0,0,0,
1.0,1/1024,sierra,95,0,0,0,0,0,0,0,0,
1.0,1/1024,canyon,24,14,14,0,0,14,4,0,0.5439542317565917,0.0
1.0,1/1024,canyon,95,0,0,0,0,0,0,0,0,
1.0,1/1024,canyon-composite,8,3,3,0,1,2,2,0,14.836002819093801,0.0
1.0,1/256,peking,15,34,34,8,0,3,10,95.73653319567423,97.11076013374324,0.9858488705455873
1.0,1/256,peking,23,15,15,0,0,0,0,0,0,
1.0,1/256,sierra,48,5,5,0,0,3,0,0,0,
1.0,1/256,sierra,95,0,0,0,0,0,0,0,0,
1.0,1/256,canyon,24,14,14,0,0,14,4,0,0.5439542317565917,0.0
1.0,1/256,canyon,95,0,0,0,0,0,0,0,0,
1.0,1/256,canyon-composite,8,3,3,0,1,2,2,0,14.836002819093801,0.0
