scene,frame,event,warmup,cpuMs,receiverMs,donorMs,viewMs,exchanges,free,examined,receiver_stage,task_wall_sum_receiver_certification,task_wall_sum_pointwise_quality,task_wall_sum_proposal,pointwise_batch,fit_bound_failed,shape_infeasible,quality_samples,quality_exact_samples
peking547,0,warmup,1,1296.0067138671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peking547,1,warmup,1,0.04830000177025795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peking547,2,warmup,1,0.038499999791383743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peking547,3,move,0,15.89840030670166,0,0,15.837899999999998,0,0,0,0,0,0,0,0,0,0,0,0
peking547,4,move,0,14.358799934387207,0,0,14.3012,0,0,0,0,0,0,0,0,0,0,0,0
peking547,5,move,0,14.806599617004395,0,0,14.767000000000001,0,0,0,0,0,0,0,0,0,0,0,0
peking547,6,move,0,111.81559753417969,53.875799999999998,30.2712,14.4565,4,1,13,0.0596857,0.052812700000000004,0.510126,0.0024432,0.0019082,4,8,51146,4
peking547,7,move,0,181.39950561523438,135.6849,16.412599999999998,15.2035,6,0,20,0.1531814,0.0898957,0.5099924000000001,0.0040956000000000005,0.0022823,8,28,54562,64
peking547,8,move,0,144.90859985351562,95.722199999999987,17.007100000000001,15.743299999999998,8,1,30,0.1098824,0.0813623,0.4189319000000001,0.005535300000000001,0.0018551,11,32,41219,0
peking547,9,move,0,102.64140319824219,47.849500000000006,17.758400000000002,15.063699999999999,16,0,47,0.0639142,0.08160339999999999,0.43652350000000006,0.0075273,0.0016504,16,84,31338,0
peking547,10,move,0,130.5509033203125,61.366700000000002,18.370200000000001,15.272499999999999,20,0,59,0.0883565,0.08981260000000002,0.5142800000000001,0.008803100000000001,0.0020157,21,90,36776,0
peking547,11,move,0,234.15789794921875,74.5501,26.446000000000002,15.0421,34,0,117,0.096082,0.10674979999999999,0.7426073000000002,0.010230900000000001,0.0028541,24,202,54400,0
peking547,12,move,0,294.622314453125,96.737000000000009,29.151,15.3423,41,1,160,0.1322834,0.11701940000000001,0.8731868000000002,0.0130077,0.00363,52,361,64199,36
peking547,13,move,0,373.73001098632812,96.481700000000004,38.6233,13.9665,42,0,160,0.1159344,0.10315959999999999,0.7721714000000002,0.011981000000000002,0.0028664,48,359,52465,96
peking547,14,move,0,246.79510498046875,94.845200000000006,27.084600000000002,17.069600000000001,34,0,160,0.0925385,0.11166950000000003,0.5955935,0.014413100000000002,0.0018325,59,483,43828,52
peking547,15,move,0,280.10760498046875,117.84310000000001,25.571300000000001,18.306800000000003,37,0,160,0.1076742,0.14481260000000004,0.5634180999999998,0.01568049999999999,0.0031749,62,592,47821,4
peking547,16,recovery,0,17.943199157714844,0,0,17.883500000000002,0,0,0,0,0,0,0,0,0,0,0,0
peking547,17,recovery,0,0.037999998778104782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peking547,18,recovery,0,0.029899999499320984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peking547,19,recovery,0,0.0348999984562397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peking547,20,recovery,0,0.036200001835823059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peking547,21,recovery,0,0.03060000017285347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peking547,22,recovery,0,0.031300000846385956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peking547,23,recovery,0,0.032099999487400055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
