case,arm,frame,warmup,hash,faces,raw,examined,receivers,need,feasible,exchanges,free,pairs,conflicts,cpuMs,viewMs,receiverMs,donorMs,reservationMs,sampleRepairMs
peking547-b50000-transactional-t8,A,0,1,3805711762675721310,49999,49999,160,158,157,157,68,1,19528,13375,1981.868896484375,0,14.754700000000001,12.843300000000001,228.56019999999998,43.084200000000003
peking547-b50000-transactional-t8,A,1,1,7209040192483471818,49999,49999,160,144,144,144,43,0,18543,14966,251.79620361328125,0,9.5019000000000009,15.1107,188.30019999999999,27.477
peking547-b50000-transactional-t8,A,2,1,11420149051358100293,49999,49999,160,118,118,118,45,0,13804,10751,213.89669799804688,0,7.2497000000000007,9.8384,160.6952,25.159800000000001
peking547-b50000-transactional-t8,A,3,0,17332888890369687950,49999,49999,160,91,91,91,34,0,10138,8246,130.3291015625,18.900500000000001,5.9199999999999999,10.880700000000001,72.881299999999996,15.519299999999999
peking547-b50000-transactional-t8,A,4,0,1328328734746967374,49999,49999,160,98,98,98,32,0,11969,9236,252.65950012207031,20.9541,36.5518,3.9255,165.9289,14.336599999999999
peking547-b50000-transactional-t8,A,5,0,16183272569974334617,49999,49997,160,82,82,82,33,0,9147,6991,120.80339813232422,22.338100000000001,8.5395000000000003,2.3266,66.520200000000003,14.827999999999999
peking547-b50000-transactional-t8,A,6,0,13080616458296354483,50000,49996,160,97,96,96,33,1,11269,8890,189.93739318847656,21.141299999999998,33.749699999999997,2.4756,96.950499999999991,24.778299999999998
peking547-b50000-transactional-t8,A,7,0,8827344590481259768,49998,49993,160,110,110,110,45,0,11435,8878,229.82020568847656,19.9148,61.777100000000004,0.72699999999999998,103.8279,33.805799999999998
peking547-b50000-transactional-t8,A,8,0,17203651746897968131,49998,49974,160,90,89,89,37,0,9030,7458,152.37480163574219,16.976499999999998,43.127699999999997,1.0826,63.042000000000002,21.115499999999997
peking547-b50000-transactional-t8,A,9,0,14835758047764188834,49999,49317,160,93,91,91,36,1,9701,8083,140.62469482421875,18.404400000000003,37.524099999999997,1.0403,61.301700000000004,16.233699999999999
peking547-b50000-transactional-t8,A,10,0,14248386253349766156,50000,49388,160,82,81,81,37,1,7851,6138,152.07069396972656,21.8552,28.769500000000001,1.8818000000000001,65.133700000000005,24.388500000000001
peking547-b50000-transactional-t8,A,11,0,1740392312782060271,50000,49457,160,72,72,72,28,0,7790,6552,124.81870269775391,21.060200000000002,24.8581,1.4212,60.917999999999999,10.588900000000001
peking547-b50000-transactional-t8,A,12,0,12646444761382194403,50000,46948,160,83,83,83,38,0,8793,6662,123.19219970703125,19.9133,15.1165,1.4332,70.100899999999996,10.983400000000001
peking547-b50000-transactional-t8,A,13,0,6767076249260756038,50000,46657,160,93,93,93,38,0,10993,8900,143.46000671386719,22.278300000000002,10.4345,2.0754999999999999,89.624400000000009,11.719999999999999
peking547-b50000-transactional-t8,A,14,0,917218044826161383,49999,49952,160,94,94,94,31,0,10576,8978,107.34190368652344,18.819300000000002,10.417900000000001,0.95109999999999995,58.830599999999997,13.263300000000001
