frame,root,ordinal,kind,capture,path,oldReason,oldFitHeight,sampleCount,sourceHeight,unchangedBoundaryControl,status,domain0_accepted,domain0_visible,domain0_deltaLower,domain0_deltaUpper,domain0_oldMaxSquared,domain0_newMaxSquared,domain0_screenViolations,domain0_heightViolations,domain1_accepted,domain1_visible,domain1_deltaLower,domain1_deltaUpper,domain1_oldMaxSquared,domain1_newMaxSquared,domain1_screenViolations,domain1_heightViolations
48,803,0,B,dem-canyon-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-canyon-b50000-transactional-t8-capture/proposal-48-803-0.json,certified,2.7011644149923466,1617,2.7011644149923466,True,quality_rejected,False,1617,2375948720866257282193272109039594737460683/85070591730234615865843651857942052864,1187974360433128641096636054519797368730529/42535295865117307932921825928971026432,72192984834803413195420306345662150381088443606828724034657121730560/839297956627792441960752464212779441305207045479163424076717048921,27127300139879669944324693873727911741700884848012799233628399730688/841749796182787106892250226067405720409390918468853281744633895401,220,225,False,1617,4751897339442835508770866669035287421364475/170141183460469231731687303715884105728,4751897339442835508770866669035287421365225/170141183460469231731687303715884105728,72192984834803413195420306345662150381088443606828724034657121730560/839297956627792441960752464212779441305207045479163424076717048921,27127300139879669944324693873727911741700884848012799233628399730688/841749796182787106892250226067405720409390918468853281744633895401,220,225
48,803,1,E,dem-canyon-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-canyon-b50000-transactional-t8-capture/proposal-48-803-1.json,fit_bound_failed,3.7737555503845215,2401,4.043524734050028,,quality_rejected,False,2401,-352434423355421412342870517736633505258751/42535295865117307932921825928971026432,-2819475386843371298742964141893068042067951/340282366920938463463374607431768211456,72192984834803413195420306345662150381088443606828724034657121730560/839297956627792441960752464212779441305207045479163424076717048921,72192984834803413195420306345662150381088443606828724034657121730560/839297956627792441960752464212779441305207045479163424076717048921,1518,1537,False,2401,-2819475490487066245721780530875493192850391/340282366920938463463374607431768211456,-1409737745243533122860890265437746596424167/170141183460469231731687303715884105728,72192984834803413195420306345662150381088443606828724034657121730560/839297956627792441960752464212779441305207045479163424076717048921,72192984834803413195420306345662150381088443606828724034657121730560/839297956627792441960752464212779441305207045479163424076717048921,1518,1537
48,803,2,E,dem-canyon-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-canyon-b50000-transactional-t8-capture/proposal-48-803-2.json,fit_bound_failed,3.11189341545105,2385,2.4623642330121656,,quality_rejected,False,2385,4016446519682235653739463555258812808290543/170141183460469231731687303715884105728,8032893039364471307478927110517625616583257/340282366920938463463374607431768211456,72192984834803413195420306345662150381088443606828724034657121730560/839297956627792441960752464212779441305207045479163424076717048921,72192984834803413195420306345662150381088443606828724034657121730560/839297956627792441960752464212779441305207045479163424076717048921,360,375,False,2385,8032893281999735365519905064076907139006055/340282366920938463463374607431768211456,4016446640999867682759952532038453569504113/170141183460469231731687303715884105728,72192984834803413195420306345662150381088443606828724034657121730560/839297956627792441960752464212779441305207045479163424076717048921,72192984834803413195420306345662150381088443606828724034657121730560/839297956627792441960752464212779441305207045479163424076717048921,360,375
48,803,3,F,dem-canyon-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-canyon-b50000-transactional-t8-capture/proposal-48-803-3.json,shape_infeasible,3.5407106081644706,1617,,,shape_rejected,,,,,,,,,,,,,,,,
48,803,4,H,dem-canyon-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-canyon-b50000-transactional-t8-capture/proposal-48-803-4.json,shape_infeasible,3.5407106081644706,4313,,,shape_rejected,,,,,,,,,,,,,,,,
48,4182,0,E,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-48-4182-0.json,certified,6.561117358536868,513,6.631726540818479,,quality_rejected,False,513,-33372766612174465971729182611398365279001/340282366920938463463374607431768211456,-8343191653043616492932295652849591319675/85070591730234615865843651857942052864,48947412040618590708255573008971901087920000057307137036087443062784/12286558956747012526430423954666562452256391989790814832360252068809,15438208031628143061212557476017439221666363662860043159378956124328516477832396800/3300238365275618334213890877144840504139117633449610800623188206474454870856532813,249,274,False,513,-33372894142242699962300229587946422118981/340282366920938463463374607431768211456,-4171611767780337495287528698493302764835/42535295865117307932921825928971026432,48947412040618590708255573008971901087920000057307137036087443062784/12286558956747012526430423954666562452256391989790814832360252068809,214248311366296130500013960503900985611054990982884694642445516800/45800007700072762096976136440143432500037786005713841814054557733,249,274
48,4182,1,E,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-48-4182-1.json,certified,6.6617561712923345,525,6.532326738248839,,quality_rejected,False,525,23145016298320120947017248779838727165499/85070591730234615865843651857942052864,46290032596640241894034497559677454331147/170141183460469231731687303715884105728,48947412040618590708255573008971901087920000057307137036087443062784/12286558956747012526430423954666562452256391989790814832360252068809,359075061627340781076836854689245383194623267813516388386791431804914593705792372736/100369448533028015490963677887722890503485364404105331882984910972282016422700788481,16,27,False,525,92580079994701723928250520195226386617517/340282366920938463463374607431768211456,92580079994701723928250520195226386617815/340282366920938463463374607431768211456,48947412040618590708255573008971901087920000057307137036087443062784/12286558956747012526430423954666562452256391989790814832360252068809,179394005927231983870615386615841054755768743560087320646444652691456/50144612738558684817206701694367386185991746281636537794206778897161,16,27
48,4182,2,F,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-48-4182-2.json,shape_infeasible,6.648065388202667,425,,,shape_rejected,,,,,,,,,,,,,,,,
48,4182,3,F,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-48-4182-3.json,certified,6.600242897888918,425,6.456284039738627,,quality_rejected,False,425,36995498573718918524555892606202174931377/170141183460469231731687303715884105728,36995498573718918524555892606202174931503/170141183460469231731687303715884105728,48947412040618590708255573008971901087920000057307137036087443062784/12286558956747012526430423954666562452256391989790814832360252068809,332026073204007243888839178180443335623944190391060737531129626624/86108287611726084208700754919090282598353366421241060051259256881,33,46,False,425,4624435768376173859187632249262784568235/21267647932558653966460912964485513216,18497743073504695436750528997051138273003/85070591730234615865843651857942052864,48947412040618590708255573008971901087920000057307137036087443062784/12286558956747012526430423954666562452256391989790814832360252068809,332026073204007243888839178180443335623944190391060737531129626624/86108287611726084208700754919090282598353366421241060051259256881,33,46
48,4182,4,H,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-48-4182-4.json,certified,6.600242897888918,1165,6.456284039738627,,quality_rejected,False,1165,36995498573718918524555892606202174931377/170141183460469231731687303715884105728,36995498573718918524555892606202174931503/170141183460469231731687303715884105728,48947412040618590708255573008971901087920000057307137036087443062784/12286558956747012526430423954666562452256391989790814832360252068809,1549235045675523120819253540151885033592740012325220315558119815554925476628660224/398965305366811107537991157489150466357363992771112304725031617758913634159204441,33,46,False,1165,4624435768376173859187632249262784568235/21267647932558653966460912964485513216,18497743073504695436750528997051138273003/85070591730234615865843651857942052864,48947412040618590708255573008971901087920000057307137036087443062784/12286558956747012526430423954666562452256391989790814832360252068809,75511970066017584244377194807087398643159284675295554493214621696/19446166916071564906337632399923041406820689377062630249231350809,33,46
