scene,arm,metric,mean,median,p95,max
dem-sierra,before,cpuMs,67.45948659962622,59.529300689697266,108.94032287597655,123.81639862060547
dem-sierra,before,receiverMs,47.536055172413796,39.1016,83.56079999999997,97.971
dem-sierra,before,viewMs,9.741465517241378,9.909899999999999,10.743879999999999,11.5941
dem-sierra,before,donorMs,0.0,0.0,0.0,0.0
dem-sierra,before,reservationMs,0.1517551724137931,0.1761,0.26363999999999993,0.3428
dem-sierra,before,sampleRepairMs,7.780689655172414,7.9754000000000005,15.84502,16.3305
dem-sierra,P0,cpuMs,72.26095160122576,62.09360122680664,123.60937805175777,136.0325927734375
dem-sierra,P0,receiverMs,50.03123793103448,41.2633,92.13663999999997,103.5017
dem-sierra,P0,viewMs,10.073655172413794,10.0643,10.9289,12.6258
dem-sierra,P0,donorMs,0.0,0.0,0.0,0.0
dem-sierra,P0,reservationMs,0.16942413793103447,0.1809,0.32494,0.335
dem-sierra,P0,sampleRepairMs,9.245658620689655,8.1668,18.29,19.3477
dem-sierra,PS,cpuMs,178.36756107724946,174.0596923828125,216.8022735595703,229.69839477539062
dem-sierra,PS,receiverMs,137.77077931034484,136.5694,174.49075999999997,183.9093
dem-sierra,PS,viewMs,10.772982758620689,10.8066,12.512220000000001,12.5874
dem-sierra,PS,donorMs,0.0,0.0,0.0,0.0
dem-sierra,PS,reservationMs,0.5327655172413793,0.5255000000000001,0.8706999999999999,0.9531000000000001
dem-sierra,PS,sampleRepairMs,23.091596551724137,24.9269,32.92086,34.1124
dem-canyon,before,cpuMs,72.57258566494646,73.17359924316406,81.96317749023436,89.78240203857422
dem-canyon,before,receiverMs,40.432203448275864,39.5106,47.34662,49.6713
dem-canyon,before,viewMs,15.228772413793104,14.9179,17.25012,24.185499999999998
dem-canyon,before,donorMs,13.955555172413794,13.2955,20.040159999999993,23.4341
dem-canyon,before,reservationMs,0.3789862068965517,0.2678,0.9352199999999997,1.0836999999999999
dem-canyon,before,sampleRepairMs,1.7883310344827588,1.4729999999999999,4.545419999999998,5.8468
dem-canyon,P0,cpuMs,73.33925510274953,72.92279815673828,85.39948272705077,92.42849731445312
dem-canyon,P0,receiverMs,41.155358620689654,40.2273,49.38517999999999,50.003899999999994
dem-canyon,P0,viewMs,15.087562068965518,15.2842,17.04106,17.383499999999998
dem-canyon,P0,donorMs,14.113437931034483,13.1287,19.701839999999997,23.3022
dem-canyon,P0,reservationMs,0.3411310344827586,0.32670000000000005,0.69742,0.7501
dem-canyon,P0,sampleRepairMs,1.846448275862069,1.2952000000000001,5.1915799999999965,6.9271
dem-canyon,PS,cpuMs,107.10835160880254,109.0896987915039,124.79118194580077,126.65249633789062
dem-canyon,PS,receiverMs,75.94692068965517,79.7852,93.23776,97.1761
dem-canyon,PS,viewMs,14.887068965517242,15.2537,16.981099999999998,17.2195
dem-canyon,PS,donorMs,12.970668965517241,12.8661,15.517579999999999,18.2408
dem-canyon,PS,reservationMs,0.7392172413793103,0.6679,1.1079,1.2903
dem-canyon,PS,sampleRepairMs,1.662903448275862,1.3342,3.5864399999999987,5.4027
