frame,phase,frameMs,dispatchMs,taskSumMs,taskMaxMs,tasks,threads,waitMs,afterLastTaskMs,balanceRatio
3,view_projection,91.113856,4.125962,27.095261,4.059235,8,8,4.005479,0.033175,0.8343709159484484
3,view_scores,91.113856,2.034798,12.543826,1.958401,8,8,1.909265,0.041232,0.8006420799417483
3,receiver_stage,91.113856,59.568266,464.145042,59.416933,8,8,59.399972,0.089226,0.9764578432548849
3,face_fill,91.113856,0.138583,0.006779,0.00501,8,1,0.00027,0.088916,0.1691367265469062
3,mesh_fill,91.113856,0.132994,0.02385,0.00555,8,2,0.00011,0.073466,0.5371621621621622
4,view_projection,88.850304,4.199303,25.283389,4.132377,8,8,4.0793,0.03341,0.764795570442871
4,view_scores,88.850304,1.831258,10.991135,1.755325,8,8,1.705084,0.038911,0.7826994288806916
4,receiver_stage,88.850304,60.221418,459.002953,60.004036,8,8,60.045433,0.071413,0.9561918322460843
4,face_fill,88.850304,0.205505,0.00187,0.00126,8,1,0.00018,0.161864,0.185515873015873
4,mesh_fill,88.850304,0.124793,0.02149,0.00504,8,2,0.00013,0.068582,0.532986111111111
5,view_projection,104.107563,4.236585,28.688891,4.137202,8,8,4.167963,0.034636,0.8667962973526553
5,view_scores,104.107563,2.036737,12.84091,1.94407,8,8,1.889863,0.03897,0.8256460672712402
5,receiver_stage,104.107563,80.156024,559.690329,79.971694,8,8,79.962039,0.107322,0.8748256742566939
5,face_fill,104.107563,0.133583,0.00188,0.00132,8,1,0.00022,0.082061,0.17803030303030304
5,mesh_fill,104.107563,0.130613,0.018469,0.00478,8,2,0.00014,0.075893,0.4829759414225941
6,view_projection,79.36274,3.640334,22.406409,3.49771,8,8,3.496741,0.045705,0.8007528139840067
6,view_scores,79.36274,2.396714,15.940604,2.195966,8,8,2.198098,0.041697,0.9073799412194907
6,receiver_stage,79.36274,55.677575,410.743116,55.534122,8,8,55.510621,0.096047,0.9245286978697529
6,face_fill,79.36274,0.127713,0.00197,0.00131,8,1,0.00014,0.079223,0.18797709923664122
6,mesh_fill,79.36274,0.141223,0.0133,0.00449,8,1,0.00016,0.087757,0.37026726057906456
7,view_projection,77.929426,3.596988,22.40333,3.45633,8,8,3.467664,0.031635,0.8102282623476347
7,view_scores,77.929426,1.966801,12.183875,1.851017,8,8,1.798286,0.039526,0.8227824893018271
7,receiver_stage,77.929426,60.11074,385.735828,59.956031,8,8,59.945246,0.102487,0.8042056436324145
7,face_fill,77.929426,0.129113,0.00199,0.00127,8,1,0.00013,0.080246,0.19586614173228345
7,mesh_fill,77.929426,0.136313,0.01663,0.00475,8,2,0.00016,0.080607,0.4376315789473684
8,view_projection,83.013014,4.369335,28.414391,4.25334,8,8,4.211973,0.034131,0.8350611225530995
8,view_scores,83.013014,2.51601,14.452515,2.428143,8,8,2.373617,0.040636,0.7440107007700947
8,receiver_stage,83.013014,63.110948,437.902,62.736298,8,8,62.80318,0.106103,0.8725052600330354
8,face_fill,83.013014,0.120913,0.00183,0.00123,8,1,0.00012,0.074506,0.18597560975609756
8,mesh_fill,83.013014,0.124654,0.0113,0.00444,8,1,0.00016,0.072627,0.3181306306306306
9,view_projection,83.989599,4.528379,29.798266,4.464605,8,8,4.410006,0.033176,0.8342917794519337
9,view_scores,83.989599,1.695282,10.268467,1.625332,8,8,1.570559,0.037694,0.7897207309029786
9,receiver_stage,83.989599,65.042804,424.57113,64.825292,8,8,64.87656,0.073397,0.8186834121780738
9,face_fill,83.989599,0.123133,0.0021,0.00146,8,1,0.00017,0.077796,0.1797945205479452
9,mesh_fill,83.989599,0.120274,0.01082,0.00387,8,1,0.00013,0.065257,0.3494832041343669
10,view_projection,75.824716,4.120086,23.83004,4.055885,8,8,4.001133,0.030875,0.7344278745575873
10,view_scores,75.824716,1.953731,11.132158,1.874758,8,8,1.828997,0.042036,0.7422396650661046
10,receiver_stage,75.824716,61.626269,409.436364,61.519912,8,8,61.461764,0.071861,0.8319183795321424
