zone,calls,inclusiveMs,selfMs
pool.task,1160,15821.35640799998,0.601617000000715
gtp.task,1160,15820.761581000004,1099.2482980000052
gtp.item,4640,14721.506492999999,32.49435100000498
gtp.pointwise.certify,11234,13930.156144999948,13921.081151000104
profile.frame,29,2804.0376149999997,0.07008099999997341
tpi.cpu_ready,29,2803.9675339999994,3.6327459999999796
gtp.update,29,2615.0470969999997,0.09337199999998447
gtp.dispatch,174,2226.8939519999994,0.9634130000000297
pool.parallel_for,145,2225.0472559999994,18.551773999999924
pool.wait,145,2206.3365999999996,2206.3365999999996
gtp.plan,29,2060.1627270000004,2.5030570000000285
pool.sleep,838,1983.0280079999948,1983.0280079999948
gtp.apply,29,554.786157,10.483330000000022
gtp.receivers,26926,464.5122640000018,464.5122640000018
gtp.samples.prepare,29,400.210824,400.210824
gtp.receiver.source_height,23778,282.5686769999999,282.5686769999999
gtp.set_view,29,185.243439,0.0861920000000016
gtp.samples.prepare_view,29,184.97110400000003,0.4179119999999992
gtp.pointwise.validate_batch,29,104.84394899999998,104.84394899999998
gtp.commit.prepare,29,25.148805999999997,21.211940000000002
gtp.flip_recovery,195,19.365195999999994,3.043622000000001
gtp.reservation,29,12.882204000000002,12.882204000000002
gtp.samples.orders,29,10.261315999999999,10.261315999999999
gtp.face_evidence,11234,9.074994000000062,9.074994000000062
gtp.measure,33,8.722363999999999,8.722363999999999
gtp.samples.publish,29,5.596332000000001,5.596332000000001
gtp.mesh.prepare,29,4.369892999999999,0.48214899999999994
gtp.commit.publish,29,3.4179139999999997,3.4179139999999997
pool.complete,1117,2.278693,2.278693
gtp.ledger_merge,145,0.8832829999999997,0.8832829999999997
gtp.mesh.publish,29,0.715109,0.715109
gtp.samples.publish_view,29,0.18152300000000002,0.18152300000000002
pool.enqueue,145,0.15888200000000005,0.15888200000000005
gtp.mesh.consume,29,0.04425199999999999,0.04425199999999999
gtp.initialize,58,0.009461000000000004,0.009461000000000004
gtp.accepts,33,0.009069999999999998,0.009069999999999998
