frame,phase,task,thread,startMs,endMs,durationMs
3,view_projection,view_projection/3,2,0.089173,3.208104,3.118931
3,view_projection,view_projection/2,3,0.076722,3.655755,3.579033
3,view_projection,view_projection/6,4,0.131062,3.958031,3.826969
3,view_projection,view_projection/0,5,0.046522,4.105757,4.059235
3,view_projection,view_projection/5,6,0.120863,3.055539,2.934676
3,view_projection,view_projection/1,7,0.058727,3.144417,3.08569
3,view_projection,view_projection/4,8,0.102198,3.133256,3.031058
3,view_projection,view_projection/7,9,0.141429,3.601098,3.459669
3,view_scores,view_scores/3,2,4.21921,5.740579,1.521369
3,view_scores,view_scores/5,3,4.244165,5.646922,1.402757
3,view_scores,view_scores/6,4,4.262081,6.039717,1.777636
3,view_scores,view_scores/7,5,4.274591,5.39112,1.116529
3,view_scores,view_scores/0,6,4.174727,6.133128,1.958401
3,view_scores,view_scores/2,7,4.202059,5.807041,1.604982
3,view_scores,view_scores/1,8,4.189044,5.813596,1.624552
3,view_scores,view_scores/4,9,4.230465,5.768065,1.5376
3,receiver_stage,receiver_stage/2,2,6.594006,66.010939,59.416933
3,receiver_stage,receiver_stage/1,3,6.580591,64.346425,57.765834
3,receiver_stage,receiver_stage/6,4,6.653453,65.070889,58.417436
3,receiver_stage,receiver_stage/0,5,6.56434,63.798781,57.234441
3,receiver_stage,receiver_stage/7,6,6.660112,64.589312,57.9292
3,receiver_stage,receiver_stage/4,7,6.624521,63.17842,56.553899
3,receiver_stage,receiver_stage/5,8,6.640351,64.694999,58.054648
3,receiver_stage,receiver_stage/3,9,6.607506,65.380157,58.772651
3,face_fill,face_fill/0,7,72.154282,72.155672,0.00139
3,face_fill,face_fill/1,7,72.156382,72.161392,0.00501
3,face_fill,face_fill/2,7,72.161483,72.161542,5.9e-05
3,face_fill,face_fill/3,7,72.161592,72.161672,8e-05
3,face_fill,face_fill/4,7,72.161732,72.161802,7e-05
3,face_fill,face_fill/5,7,72.161862,72.161932,7e-05
3,face_fill,face_fill/6,7,72.161992,72.162042,5e-05
3,face_fill,face_fill/7,7,72.162182,72.162232,5e-05
3,mesh_fill,mesh_fill/4,5,90.089501,90.094681,0.00518
3,mesh_fill,mesh_fill/0,7,90.075336,90.080886,0.00555
3,mesh_fill,mesh_fill/1,7,90.081616,90.083956,0.00234
3,mesh_fill,mesh_fill/2,7,90.084046,90.086246,0.0022
3,mesh_fill,mesh_fill/3,7,90.086356,90.088366,0.00201
3,mesh_fill,mesh_fill/5,7,90.088436,90.090586,0.00215
3,mesh_fill,mesh_fill/6,7,90.090706,90.092756,0.00205
3,mesh_fill,mesh_fill/7,7,90.093076,90.095446,0.00237
4,view_projection,view_projection/7,2,0.148624,2.69635,2.547726
4,view_projection,view_projection/2,3,0.074217,2.630433,2.556216
4,view_projection,view_projection/5,4,0.114936,4.061158,3.946222
4,view_projection,view_projection/0,5,0.045916,4.178293,4.132377
4,view_projection,view_projection/3,6,0.094167,2.739585,2.645418
4,view_projection,view_projection/1,7,0.060266,3.848719,3.788453
4,view_projection,view_projection/4,8,0.096652,2.637348,2.540696
4,view_projection,view_projection/6,9,0.133298,3.259579,3.126281
4,view_scores,view_scores/2,2,4.277686,5.637121,1.359435
4,view_scores,view_scores/0,3,4.249105,6.00443,1.755325
4,view_scores,view_scores/6,4,4.329275,5.808324,1.479049
4,view_scores,view_scores/7,5,4.347302,5.538253,1.190951
4,view_scores,view_scores/3,6,4.294761,5.729488,1.434727
4,view_scores,view_scores/5,7,4.321732,5.510943,1.189211
4,view_scores,view_scores/1,8,4.26424,5.608235,1.343995
4,view_scores,view_scores/4,9,4.307881,5.546323,1.238442
4,receiver_stage,receiver_stage/4,2,6.59724,64.552593,57.955353
4,receiver_stage,receiver_stage/7,3,6.649056,62.641075,55.992019
4,receiver_stage,receiver_stage/6,4,6.637861,66.641897,60.004036
4,receiver_stage,receiver_stage/1,5,6.546354,63.506793,56.960439
4,receiver_stage,receiver_stage/5,6,6.616666,62.778499,56.161833
4,receiver_stage,receiver_stage/0,7,6.530308,65.306389,58.776081
4,receiver_stage,receiver_stage/3,8,6.58093,63.560699,56.979769
4,receiver_stage,receiver_stage/2,9,6.560765,62.734188,56.173423
4,face_fill,face_fill/0,3,71.245943,71.247203,0.00126
4,face_fill,face_fill/1,3,71.247663,71.247783,0.00012
4,face_fill,face_fill/2,3,71.252283,71.252353,7e-05
4,face_fill,face_fill/3,3,71.252403,71.252483,8e-05
4,face_fill,face_fill/4,3,71.252773,71.252903,0.00013
4,face_fill,face_fill/5,3,71.252963,71.253043,8e-05
4,face_fill,face_fill/6,3,71.253123,71.253203,8e-05
4,face_fill,face_fill/7,3,71.253383,71.253433,5e-05
4,mesh_fill,mesh_fill/0,3,87.852548,87.857128,0.00458
4,mesh_fill,mesh_fill/1,3,87.857818,87.860568,0.00275
4,mesh_fill,mesh_fill/2,3,87.860678,87.862718,0.00204
4,mesh_fill,mesh_fill/3,3,87.862798,87.864788,0.00199
4,mesh_fill,mesh_fill/5,3,87.865778,87.867678,0.0019
4,mesh_fill,mesh_fill/6,3,87.867778,87.869498,0.00172
4,mesh_fill,mesh_fill/7,3,87.869558,87.871028,0.00147
4,mesh_fill,mesh_fill/4,9,87.866218,87.871258,0.00504
5,view_projection,view_projection/5,2,0.087218,3.618078,3.53086
5,view_projection,view_projection/0,3,0.045521,3.658785,3.613264
5,view_projection,view_projection/6,4,0.087222,3.301125,3.213903
5,view_projection,view_projection/3,5,0.081007,3.368632,3.287625
5,view_projection,view_projection/2,6,0.078377,4.215579,4.137202
5,view_projection,view_projection/7,7,0.090021,3.691034,3.601013
5,view_projection,view_projection/4,8,0.083867,3.477635,3.393768
5,view_projection,view_projection/1,9,0.067207,3.978463,3.911256
5,view_scores,view_scores/3,2,4.337793,5.942804,1.605011
5,view_scores,view_scores/4,3,4.359658,6.196465,1.836807
5,view_scores,view_scores/0,4,4.289446,5.958009,1.668563
5,view_scores,view_scores/1,5,4.304162,6.248232,1.94407
5,view_scores,view_scores/7,6,4.408969,5.730123,1.321154
5,view_scores,view_scores/5,7,4.372963,5.767779,1.394816
5,view_scores,view_scores/2,8,4.323022,5.8158,1.492778
5,view_scores,view_scores/6,9,4.392084,5.969795,1.577711
5,receiver_stage,receiver_stage/3,2,6.75085,86.722544,79.971694
