scene,key,value
dem-sierra,certified,1492
dem-sierra,flip_flip_nonconvex_or_existing_diagonal,384
dem-sierra,flip_flip_not_interior,168
dem-sierra,pointwise_height_damage,9736
dem-sierra,pointwise_receiver_certified,1495
dem-sierra,quality_clip_bounds_builds,1888889
dem-sierra,quality_clip_exact_builds,215791
dem-sierra,quality_contexts,2936796
dem-sierra,quality_cover_exact_requests,1446552
dem-sierra,quality_evidence_bytes,174394616
dem-sierra,quality_exact_samples,222106
dem-sierra,quality_face_bounds_builds,88956
dem-sierra,quality_face_bounds_heights,3777778
dem-sierra,quality_face_bounds_sides,35431611
dem-sierra,quality_face_exact_builds,80416
dem-sierra,quality_face_exact_heights,444212
dem-sierra,quality_face_exact_sides,1446552
dem-sierra,quality_face_records,97844
dem-sierra,quality_filter_samples,1888889
dem-sierra,quality_reference_bounds_builds,2936796
dem-sierra,quality_reference_exact_builds,783697
dem-sierra,quality_samples,1888889
dem-sierra,quality_visibility_exact_requests,0
dem-sierra,shape_infeasible,12410
dem-sierra,source_height_prepared,11228
dem-sierra,source_structure_invalid,140
dem-sierra,flip_certified,3
dem-sierra,flip_quality_infeasible,27
dem-sierra,flip_pointwise_height_damage,3
dem-canyon,certified,3249
dem-canyon,fast_shape_miss,105269
dem-canyon,pointwise_donor_certified,58
dem-canyon,pointwise_height_damage,389213
dem-canyon,pointwise_progress_unknown,8
dem-canyon,pointwise_receiver_certified,3095
dem-canyon,quality_clip_bounds_builds,554383
dem-canyon,quality_clip_exact_builds,149766
dem-canyon,quality_contexts,1167423
dem-canyon,quality_cover_exact_requests,1038301
dem-canyon,quality_evidence_bytes,194718444
dem-canyon,quality_exact_samples,158049
dem-canyon,quality_face_bounds_builds,106547
dem-canyon,quality_face_bounds_heights,1108766
dem-canyon,quality_face_bounds_sides,14008092
dem-canyon,quality_face_exact_builds,97698
dem-canyon,quality_face_exact_heights,316098
dem-canyon,quality_face_exact_sides,1038301
dem-canyon,quality_face_records,117557
dem-canyon,quality_filter_samples,554383
dem-canyon,quality_reference_bounds_builds,1167423
dem-canyon,quality_reference_exact_builds,528415
dem-canyon,quality_samples,554383
dem-canyon,quality_visibility_exact_requests,0
dem-canyon,shape_infeasible,5061
dem-canyon,source_height_prepared,9135
dem-canyon,flip_flip_nonconvex_or_existing_diagonal,133
dem-canyon,flip_flip_not_interior,54
dem-canyon,quality_infeasible,55
dem-canyon,source_structure_invalid,264
dem-canyon,flip_shape_infeasible,53
dem-canyon,pointwise_no_progress,1
dem-canyon,pointwise_screen_damage,3052
dem-canyon,internal_conflict,2
