frame,phase,frameMs,dispatchMs,taskSumMs,taskMaxMs,tasks,threads,waitMs,afterLastTaskMs,balanceRatio
3,view_projection,56.663902,3.26971,23.494669,3.038888,8,8,3.080335,0.044745,0.9664171976723064
3,view_scores,56.663902,3.567647,25.814941,3.423898,8,8,3.411963,0.068726,0.9424543677995081
3,receiver_stage,56.663902,8.481074,40.459747,8.297759,8,8,8.327721,0.071567,0.6094981036446107
3,donor_stage,56.663902,2.789416,16.286458,2.590227,8,8,2.641752,0.054629,0.7859570802095723
3,face_fill,56.663902,0.137154,0.002689,0.00213,8,1,0.00012,0.083186,0.15780516431924882
3,mesh_fill,56.663902,0.169085,0.030311,0.011571,8,2,0.00011,0.067096,0.3274457695964048
4,view_projection,60.952426,4.808444,33.606781,4.537412,8,8,4.61972,0.081051,0.9258245945045326
4,view_scores,60.952426,4.740802,33.526554,4.613159,8,8,4.567508,0.055661,0.9084489067036277
4,receiver_stage,60.952426,9.736461,47.950045,9.56181,8,8,9.557997,0.075638,0.6268432048953075
4,donor_stage,60.952426,3.085603,17.567147,2.917245,8,8,2.922209,0.043564,0.7527284732684433
4,face_fill,60.952426,0.132773,0.00251,0.00187,8,1,0.00082,0.081241,0.1677807486631016
4,mesh_fill,60.952426,0.136273,0.024091,0.00792,8,2,0.00011,0.070345,0.38022411616161617
5,view_projection,47.899162,4.445545,31.967798,4.252094,8,8,4.309841,0.085512,0.939766324545036
5,view_scores,47.899162,3.808934,26.697657,3.653349,8,8,3.64708,0.053526,0.9134651863262995
5,receiver_stage,47.899162,11.009354,51.694312,10.802518,8,8,10.831019,0.060592,0.598174333058274
5,donor_stage,47.899162,2.954617,16.771112,2.736471,8,8,2.809022,0.038166,0.7660921676129584
5,face_fill,47.899162,0.136444,0.002551,0.0013,8,1,0.00013,0.048386,0.24528846153846154
5,mesh_fill,47.899162,0.148354,0.02071,0.00587,8,2,0.00011,0.076782,0.4410136286201022
6,view_projection,49.034074,4.609078,31.14407,4.375092,8,8,4.433934,0.073286,0.8898118599563163
6,view_scores,49.034074,4.901922,33.217503,4.766518,8,8,4.736758,0.081856,0.8711155344425429
6,receiver_stage,49.034074,12.004664,52.939874,11.876941,8,8,11.85345,0.053061,0.5571707605518963
6,donor_stage,49.034074,3.015494,15.127848,2.801217,8,8,2.87895,0.034806,0.6750569484620436
6,face_fill,49.034074,0.160514,0.002339,0.00154,8,1,0.00013,0.097602,0.1898538961038961
6,mesh_fill,49.034074,0.134593,0.01877,0.00558,8,2,0.00011,0.06696,0.4204749103942652
7,view_projection,39.492978,3.533376,25.861964,3.353267,8,8,3.333931,0.043991,0.9640584838606648
7,view_scores,39.492978,3.575512,25.910465,3.453879,8,8,3.438728,0.050171,0.9377306283746477
7,receiver_stage,39.492978,10.604073,48.443206,10.481595,8,8,10.46429,0.057416,0.5777174895614646
7,donor_stage,39.492978,2.812367,14.946619,2.620137,8,8,2.685184,0.05079,0.7130647653157067
7,face_fill,39.492978,0.125984,0.00179,0.00112,8,1,0.00013,0.082056,0.19977678571428573
7,mesh_fill,39.492978,0.132763,0.016028,0.00457,8,2,0.00013,0.067036,0.43840262582056894
8,view_projection,43.058131,4.950648,35.393924,4.728972,8,8,4.811974,0.073292,0.9355607307465555
8,view_scores,43.058131,3.779017,26.6923,3.650874,8,8,3.633103,0.055641,0.9139010275347766
8,receiver_stage,43.058131,8.680494,55.995552,8.464327,8,8,8.52662,0.069717,0.8269344981591567
8,donor_stage,43.058131,2.841823,14.006974,2.650133,8,8,2.70775,0.0407,0.6606731624412813
8,face_fill,43.058131,0.124633,0.00192,0.0012,8,1,0.00128,0.077778,0.2
8,mesh_fill,43.058131,0.133263,0.022459,0.00802,8,2,0.00011,0.065492,0.3500467581047382
9,view_projection,40.050563,3.758387,26.657877,3.527125,8,8,3.566902,0.053227,0.9447452599496757
9,view_scores,40.050563,4.859109,31.384144,4.715287,8,8,4.787888,0.078076,0.831978626115441
9,receiver_stage,40.050563,9.990304,60.808138,9.698945,8,8,9.798168,0.097782,0.7836952627321837
9,donor_stage,40.050563,2.742831,14.030083,2.500714,8,8,2.582797,0.035991,0.7013038576182642
9,face_fill,40.050563,0.138884,0.001988,0.00128,8,1,0.00016,0.087218,0.194140625
9,mesh_fill,40.050563,0.128843,0.012621,0.00459,8,1,0.00012,0.072757,0.3437091503267974
10,view_projection,43.306627,5.288327,36.144145,5.100026,8,8,5.118423,0.045446,0.8858813906046754
10,view_scores,43.306627,3.633108,24.733269,3.428674,8,8,3.476714,0.133878,0.9017067895635456
10,receiver_stage,43.306627,10.232709,62.396708,10.029719,8,8,10.052205,0.060947,0.7776477586261389
10,donor_stage,43.306627,2.699729,14.097879,2.499874,8,8,2.549816,0.036401,0.7049294784457136
10,face_fill,43.306627,0.125753,0.00169,0.00104,8,1,0.00019,0.086182,0.20312500000000003
10,mesh_fill,43.306627,0.196895,0.036631,0.010331,8,3,0.061382,0.068032,0.44321701674571673
11,view_projection,37.871417,4.942598,35.555752,4.718612,8,8,4.758383,0.085501,0.9419017711140478
11,view_scores,37.871417,4.185242,29.925047,3.985853,8,8,3.968766,0.069905,0.9384768768441786
11,receiver_stage,37.871417,12.341249,63.833592,12.084181,8,8,12.171674,0.073521,0.6603011821818956
11,donor_stage,37.871417,2.703325,14.596694,2.480813,8,8,2.568632,0.043396,0.7354793569688647
11,face_fill,37.871417,0.126943,0.00187,0.00122,8,1,0.00011,0.087032,0.1915983606557377
11,mesh_fill,37.871417,0.140564,0.0134,0.00489,8,2,0.00012,0.073122,0.3425357873210634
12,view_projection,45.269497,3.90121,25.125448,3.612108,8,8,3.719975,0.0775,0.8694870142310251
12,view_scores,45.269497,5.103117,33.817555,4.798988,8,8,4.917513,0.179935,0.8808512075879331
12,receiver_stage,45.269497,10.985837,62.059123,10.733502,8,8,10.800023,0.069845,0.7227268765590206
12,donor_stage,45.269497,2.343896,13.939859,2.180015,8,8,2.199472,0.038751,0.7992983419838854
12,face_fill,45.269497,0.155264,0.00263,0.00119,8,1,0.00012,0.095847,0.27626050420168063
12,mesh_fill,45.269497,0.140234,0.01555,0.00771,8,1,0.00012,0.068586,0.2521076523994812
13,view_projection,42.255476,3.428068,23.865495,3.275059,8,8,3.283145,0.03942,0.9108803459723931
13,view_scores,42.255476,3.998863,28.324305,3.864134,8,8,3.86389,0.058385,0.9162565596845244
13,receiver_stage,42.255476,12.524718,58.951366,12.288147,8,8,12.352375,0.079166,0.599677131954883
13,donor_stage,42.255476,2.656628,14.555015,2.472868,8,8,2.509364,0.04491,0.7357355406758468
13,face_fill,42.255476,0.201156,0.00297,0.00139,8,1,0.00016,0.147099,0.2670863309352518
13,mesh_fill,42.255476,0.174905,0.026172,0.011601,8,2,0.00012,0.067507,0.28200155159038015
14,view_projection,43.869571,5.061261,35.890049,4.756537,8,8,4.904177,0.109083,0.9431769636186998
14,view_scores,43.869571,3.568312,25.093966,3.416684,8,8,3.417879,0.055251,0.9180672693172679
14,receiver_stage,43.869571,12.126993,58.536933,11.908696,8,8,11.979879,0.049366,0.6144347479354582
14,donor_stage,43.869571,2.628288,13.508443,2.427777,8,8,2.500015,0.043241,0.6955150225906251
14,face_fill,43.869571,0.125043,0.001949,0.00128,8,1,0.00014,0.083167,0.19033203124999998
14,mesh_fill,43.869571,0.129433,0.01934,0.00571,8,2,0.00012,0.068202,0.4233800350262697
15,view_projection,43.925583,3.530082,24.883135,3.324959,8,8,3.356987,0.045327,0.9354677380984245
15,view_scores,43.925583,3.723376,26.151275,3.568947,8,8,3.574312,0.079737,0.915931050531151
15,receiver_stage,43.925583,11.355583,64.886172,11.133357,8,8,11.178538,0.076926,0.7285108615487674
15,donor_stage,43.925583,2.550646,13.738437,2.335115,8,8,2.408242,0.04097,0.7354261460356342
15,face_fill,43.925583,0.127094,0.00202,0.00118,8,1,0.00013,0.081468,0.21398305084745764
15,mesh_fill,43.925583,0.142103,0.02233,0.00746,8,2,0.00012,0.067051,0.3741621983914209
16,view_projection,45.660214,4.644795,30.829664,4.453194,8,8,4.493952,0.045801,0.8653806683472582
16,view_scores,45.660214,3.756667,26.372688,3.588442,8,8,3.587433,0.064687,0.9186677672371464
16,receiver_stage,45.660214,8.956932,52.527068,8.806361,8,8,8.806357,0.051118,0.7455841862490079
16,donor_stage,45.660214,2.69832,13.930045,2.511895,8,8,2.568647,0.047191,0.6932039854372893
16,face_fill,45.660214,0.175775,0.006438,0.00501,8,1,0.00452,0.103079,0.16062874251497009
16,mesh_fill,45.660214,0.164504,0.032621,0.01079,8,2,0.00011,0.066631,0.3779077849860982
17,view_projection,41.749407,4.467665,32.345813,4.28528,8,8,4.336352,0.064972,0.9435151553690774
17,view_scores,41.749407,4.129627,30.066674,3.971322,8,8,3.970392,0.057328,0.9463685518323621
17,receiver_stage,41.749407,8.799782,50.42313,8.605422,8,8,8.615586,0.049851,0.7324325582173656
17,donor_stage,41.749407,2.210813,13.015382,2.027676,8,8,2.08052,0.041341,0.8023583402871071
17,face_fill,41.749407,0.153414,0.00218,0.0013,8,1,0.00012,0.093503,0.20961538461538462
17,mesh_fill,41.749407,0.153614,0.032391,0.014451,8,2,0.00011,0.059668,0.28017957234793445
18,view_projection,39.583592,4.284991,30.619204,4.111206,8,8,4.141627,0.078162,0.9309678230670027
18,view_scores,39.583592,4.610203,33.1151,4.456556,8,8,4.359176,0.058705,0.9288310300599835
18,receiver_stage,39.583592,9.248864,52.40466,9.050343,8,8,9.024918,0.070622,0.7237938385318656
18,donor_stage,39.583592,2.69481,14.261501,2.457858,8,8,2.547286,0.054582,0.725301309107361
18,face_fill,39.583592,0.126703,0.00198,0.0012,8,1,0.00014,0.082712,0.20625000000000002
