zone,calls,inclusiveMs,selfMs
pool.task,1392,3677.471770000002,0.7846650000001938
gtp.task,1392,3676.6871049999954,1736.5429520000307
pool.sleep,1086,2656.069834000005,2656.069834000005
profile.frame,29,1256.46207,0.12655300000001546
tpi.cpu_ready,29,1256.3355169999998,4.900683999999996
gtp.fit,26725,1043.7264430000068,798.7337290000172
gtp.update,29,943.94648,0.14023099999998578
gtp.measure,4527,707.4774839999965,707.4774839999965
gtp.dispatch,174,623.253983,1.3569960000000132
pool.parallel_for,174,621.2379419999999,24.626062000000008
pool.wait,174,596.0127099999999,596.0127099999999
gtp.plan,29,541.632437,10.66166000000001
gtp.apply,29,402.16383199999996,11.952522
gtp.donor,4640,400.6440380000005,85.86180399999927
gtp.receivers,30764,340.7139330000018,340.7139330000018
gtp.samples.prepare,29,336.543219,336.543219
gtp.set_view,29,307.415072,0.1789040000000039
gtp.samples.prepare_view,29,305.98498499999994,4.964048999999994
gtp.reservation,29,165.811065,162.2279879997559
gtp.flip_recovery,284,89.136523,7.109525
gtp.samples.orders,29,51.623988000000004,51.623988000000004
gtp.commit.prepare,29,32.977491,28.831143
gtp.samples.publish,29,7.700078999999998,7.700078999999998
gtp.commit.publish,29,7.2337560000000005,7.2337560000000005
gtp.mesh.prepare,29,5.365375999999999,0.8144010000000002
pool.complete,1352,4.202236000000007,4.202236000000007
gtp.accepts,70353,3.830755000003303,3.830755000003303
gtp.samples.publish_view,29,1.2150820000000002,1.2150820000000002
gtp.ledger_merge,174,0.6590450000000001,0.6590450000000001
pool.enqueue,174,0.5991700000000001,0.5991700000000001
gtp.mesh.publish,29,0.391389,0.391389
gtp.mesh.consume,29,0.073281,0.073281
gtp.initialize,58,0.046081000000000004,0.046081000000000004
