frame,phase,task,thread,startMs,endMs,durationMs
3,view_projection,view_projection/3,2,0.358745,3.233059,2.874314
3,view_projection,view_projection/2,3,0.329329,3.222548,2.893219
3,view_projection,view_projection/5,4,0.400622,3.43951,3.038888
3,view_projection,view_projection/1,5,0.317804,3.326152,3.008348
3,view_projection,view_projection/0,6,0.302384,3.179493,2.877109
3,view_projection,view_projection/6,7,0.408477,3.313491,2.905014
3,view_projection,view_projection/4,8,0.387716,3.371098,2.983382
3,view_projection,view_projection/7,9,0.442621,3.357016,2.914395
3,view_scores,view_scores/2,2,3.564127,6.984096,3.419969
3,view_scores,view_scores/1,3,3.551967,6.929604,3.377637
3,view_scores,view_scores/7,4,3.647016,6.431028,2.784012
3,view_scores,view_scores/4,5,3.600234,6.915749,3.315515
3,view_scores,view_scores/0,6,3.537082,6.96098,3.423898
3,view_scores,view_scores/3,7,3.585618,6.928484,3.342866
3,view_scores,view_scores/6,8,3.634715,6.609887,2.975172
3,view_scores,view_scores/5,9,3.626444,6.802316,3.175872
3,receiver_stage,receiver_stage/7,2,8.633032,10.025678,1.392646
3,receiver_stage,receiver_stage/5,3,8.608608,10.62823,2.019622
3,receiver_stage,receiver_stage/0,4,8.530776,14.740171,6.209395
3,receiver_stage,receiver_stage/3,5,8.568682,15.29249,6.723808
3,receiver_stage,receiver_stage/6,6,8.620534,10.928978,2.308444
3,receiver_stage,receiver_stage/4,7,8.593447,16.891206,8.297759
3,receiver_stage,receiver_stage/1,8,8.549646,14.51509,5.965444
3,receiver_stage,receiver_stage/2,9,8.558177,16.100806,7.542629
3,donor_stage,donor_stage/0,2,17.054056,18.126033,1.071977
3,donor_stage,donor_stage/1,3,17.069776,19.068432,1.998656
3,donor_stage,donor_stage/4,4,17.117788,19.517634,2.399846
3,donor_stage,donor_stage/6,5,17.142744,19.732971,2.590227
3,donor_stage,donor_stage/2,6,17.089062,19.410677,2.321615
3,donor_stage,donor_stage/7,7,17.170254,19.34138,2.171126
3,donor_stage,donor_stage/3,8,17.092242,18.839972,1.74773
3,donor_stage,donor_stage/5,9,17.139454,19.124735,1.985281
3,face_fill,face_fill/0,2,39.294889,39.297019,0.00213
3,face_fill,face_fill/1,2,39.297689,39.297739,5e-05
3,face_fill,face_fill/2,2,39.29789,39.297989,9.9e-05
3,face_fill,face_fill/3,2,39.298359,39.298429,7e-05
3,face_fill,face_fill/4,2,39.298559,39.298649,9e-05
3,face_fill,face_fill/5,2,39.298769,39.298849,8e-05
3,face_fill,face_fill/6,2,39.298969,39.299069,0.0001
3,face_fill,face_fill/7,2,39.30365,39.30372,7e-05
3,mesh_fill,mesh_fill/0,2,55.489577,55.501148,0.011571
3,mesh_fill,mesh_fill/2,2,55.502508,55.505058,0.00255
3,mesh_fill,mesh_fill/3,2,55.505218,55.507598,0.00238
3,mesh_fill,mesh_fill/4,2,55.507718,55.509738,0.00202
3,mesh_fill,mesh_fill/5,2,55.512018,55.513738,0.00172
3,mesh_fill,mesh_fill/7,2,55.514168,55.516018,0.00185
3,mesh_fill,mesh_fill/1,8,55.503838,55.509588,0.00575
3,mesh_fill,mesh_fill/6,8,55.512388,55.514858,0.00247
4,view_projection,view_projection/1,2,0.333728,4.67766,4.343932
4,view_projection,view_projection/2,3,0.354144,4.482665,4.128521
4,view_projection,view_projection/5,4,0.427497,4.201264,3.773767
4,view_projection,view_projection/7,5,0.473347,4.797249,4.323902
4,view_projection,view_projection/6,6,0.434427,4.971839,4.537412
4,view_projection,view_projection/4,7,0.40907,4.451344,4.042274
4,view_projection,view_projection/0,8,0.319708,4.526112,4.206404
4,view_projection,view_projection/3,9,0.389605,4.640174,4.250569
4,view_scores,view_scores/5,2,5.201464,8.752526,3.551062
4,view_scores,view_scores/2,3,5.150367,9.700685,4.550318
4,view_scores,view_scores/0,4,5.126312,9.739471,4.613159
4,view_scores,view_scores/6,5,5.21762,9.186152,3.968532
4,view_scores,view_scores/7,6,5.244851,8.633378,3.388527
4,view_scores,view_scores/1,7,5.129832,9.614447,4.484615
4,view_scores,view_scores/3,8,5.162758,9.661624,4.498866
4,view_scores,view_scores/4,9,5.178694,9.650169,4.471475
4,receiver_stage,receiver_stage/1,2,11.66079,17.233914,5.573124
4,receiver_stage,receiver_stage/6,3,11.771289,13.541339,1.77005
4,receiver_stage,receiver_stage/7,4,11.785744,13.386456,1.600712
4,receiver_stage,receiver_stage/2,5,11.676666,19.736054,8.059388
4,receiver_stage,receiver_stage/0,6,11.653296,19.149149,7.495853
4,receiver_stage,receiver_stage/3,7,11.697012,21.258822,9.56181
4,receiver_stage,receiver_stage/5,8,11.736048,18.466507,6.730459
4,receiver_stage,receiver_stage/4,9,11.722593,18.881242,7.158649
4,donor_stage,donor_stage/2,2,21.496074,23.880755,2.384681
4,donor_stage,donor_stage/1,3,21.478343,23.758632,2.280289
4,donor_stage,donor_stage/0,4,21.462598,22.402963,0.940365
4,donor_stage,donor_stage/6,5,21.564882,23.683277,2.118395
4,donor_stage,donor_stage/5,6,21.546872,23.40947,1.862598
4,donor_stage,donor_stage/7,7,21.582822,23.989353,2.406531
4,donor_stage,donor_stage/3,8,21.51757,24.174613,2.657043
4,donor_stage,donor_stage/4,9,21.523586,24.440831,2.917245
4,face_fill,face_fill/0,4,42.947063,42.948933,0.00187
4,face_fill,face_fill/1,4,42.949703,42.949883,0.00018
4,face_fill,face_fill/2,4,42.950273,42.950323,5e-05
4,face_fill,face_fill/3,4,42.950473,42.950523,5e-05
4,face_fill,face_fill/4,4,42.950573,42.950623,5e-05
4,face_fill,face_fill/5,4,42.955943,42.956003,6e-05
4,face_fill,face_fill/6,4,42.956053,42.956103,5e-05
4,face_fill,face_fill/7,4,42.956153,42.956353,0.0002
4,mesh_fill,mesh_fill/0,4,59.858064,59.865984,0.00792
4,mesh_fill,mesh_fill/1,4,59.866904,59.869174,0.00227
4,mesh_fill,mesh_fill/2,4,59.869254,59.871615,0.002361
4,mesh_fill,mesh_fill/4,4,59.872995,59.874905,0.00191
4,mesh_fill,mesh_fill/5,4,59.874975,59.876865,0.00189
4,mesh_fill,mesh_fill/6,4,59.876915,59.878505,0.00159
4,mesh_fill,mesh_fill/7,4,59.878805,59.880295,0.00149
4,mesh_fill,mesh_fill/3,6,59.873675,59.878335,0.00466
5,view_projection,view_projection/4,2,0.240357,4.077391,3.837034
5,view_projection,view_projection/3,3,0.225002,3.997899,3.772897
5,view_projection,view_projection/1,4,0.193321,4.235471,4.04215
5,view_projection,view_projection/2,5,0.211202,4.251086,4.039884
5,view_projection,view_projection/0,6,0.182306,4.20946,4.027154
5,view_projection,view_projection/5,7,0.250273,4.502367,4.252094
