frame,phase,frameMs,dispatchMs,taskSumMs,taskMaxMs,tasks,threads,waitMs,afterLastTaskMs,balanceRatio
3,view_projection,76.025311,4.159268,28.838719,3.949287,8,8,3.981204,0.060267,0.9127824528832673
3,view_scores,76.025311,4.729128,32.63134,4.60905,8,8,4.563024,0.061283,0.8849800935116782
3,receiver_stage,76.025311,44.205919,88.64277,44.05535,8,8,43.992493,0.101243,0.2515096634120487
3,donor_stage,76.025311,11.889884,41.839119,11.608211,8,8,11.705929,0.103333,0.4505336675048377
3,face_fill,76.025311,0.155254,0.013781,0.008741,8,3,0.00017,0.055127,0.19707413339434846
3,mesh_fill,76.025311,0.138643,0.00828,0.00469,8,1,0.00013,0.089927,0.220682302771855
4,view_projection,56.137239,4.21032,27.420626,3.994867,8,8,4.036525,0.079304,0.857995585334881
4,view_scores,56.137239,4.351213,31.191638,4.2296,8,8,4.186129,0.055013,0.9218258818800833
4,receiver_stage,56.137239,32.010782,86.946328,31.836632,8,8,31.791657,0.071103,0.3413769082106423
4,donor_stage,56.137239,8.941692,38.748641,8.705632,8,8,8.760917,0.078541,0.5563731760083588
4,face_fill,56.137239,0.158454,0.00187,0.00113,8,1,0.00014,0.095167,0.20685840707964603
4,mesh_fill,56.137239,0.128743,0.00417,0.00214,8,1,0.00018,0.091842,0.2435747663551402
5,view_projection,83.007662,4.145187,27.495494,3.934271,8,8,3.971093,0.078507,0.8735892240265096
5,view_scores,83.007662,4.456075,30.566265,4.285151,8,8,4.287671,0.075252,0.8916332528305304
5,receiver_stage,83.007662,55.534078,106.935968,55.215649,8,8,55.23202,0.227532,0.2420870938237093
5,donor_stage,83.007662,7.089959,37.551352,6.737124,8,8,6.770661,0.059591,0.6967244479988791
5,face_fill,83.007662,0.131634,0.001789,0.00111,8,1,0.00013,0.092538,0.20146396396396396
5,mesh_fill,83.007662,0.121533,0.008671,0.00448,8,1,0.00013,0.076267,0.24193638392857145
6,view_projection,78.557461,4.069625,29.218429,3.886261,8,8,3.932322,0.042876,0.9397988516468657
6,view_scores,78.557461,5.287053,33.823855,5.151613,8,8,5.129578,0.093353,0.8207103047142711
6,receiver_stage,78.557461,47.67996,128.066971,47.477018,8,8,47.475714,0.143275,0.33718148378653434
6,donor_stage,78.557461,11.460792,38.461634,11.187165,8,8,11.267268,0.070502,0.429751795919699
6,face_fill,78.557461,0.162045,0.00279,0.00222,8,1,0.00012,0.091328,0.15709459459459457
6,mesh_fill,78.557461,0.138494,0.006729,0.00404,8,1,0.00013,0.085968,0.20819925742574255
7,view_projection,76.701128,3.733531,25.355232,3.484,8,8,3.584998,0.088457,0.9097026406429392
7,view_scores,76.701128,8.791228,57.301958,8.639365,8,8,8.593344,0.082547,0.8290823168137936
7,receiver_stage,76.701128,45.455696,141.451848,45.193004,8,8,45.181809,0.125408,0.3912437641896963
7,donor_stage,76.701128,8.814644,37.287171,8.583082,8,8,8.64505,0.053191,0.543032954246505
7,face_fill,76.701128,0.171635,0.00344,0.00164,8,1,0.00044,0.116949,0.2621951219512195
7,mesh_fill,76.701128,0.121653,0.00475,0.00245,8,1,0.00013,0.082387,0.2423469387755102
8,view_projection,59.312106,4.259556,28.883908,3.966898,8,8,3.980579,0.084622,0.9101541052983969
