zone,calls,inclusiveMs,selfMs
pool.task,1314,6196.145740999992,0.8633770000004355
gtp.task,1314,6195.2823640000015,1733.2418710000466
pool.sleep,1013,5829.470355999981,5829.470355999981
gtp.pointwise.certify,6070,2039.2151140000017,2039.2151140000017
profile.frame,29,1643.65401,0.1315309999999883
tpi.cpu_ready,29,1643.5224789999997,2.6098810000000214
gtp.fit,25689,1622.6508809999993,1148.2924260000048
gtp.dispatch,166,1487.2804319999998,2.1861849999999863
pool.parallel_for,166,1482.809228,24.250255000000003
pool.wait,166,1458.0096909999995,1458.0096909999995
gtp.update,29,1315.9533139999999,1.2334899999999949
gtp.plan,29,1247.0951659999998,7.060778999999976
gtp.measure,6215,949.1466459999938,949.1466459999938
gtp.donor,4640,437.28598700000003,93.11606499999958
gtp.set_view,29,324.936543,0.8225249999999933
gtp.samples.prepare_view,29,322.81135400000005,5.2324820000000045
gtp.receivers,29348,228.16684200000955,228.16684200000955
gtp.samples.orders,29,67.697337,67.697337
gtp.apply,29,67.61549799999999,1.8138980000000002
gtp.flip_recovery,135,56.90588900000004,3.8502430000000025
gtp.samples.prepare,25,40.464491,40.464491
gtp.pointwise.validate_batch,25,12.566558000000004,12.566558000000004
gtp.reservation,29,9.363664000000002,9.363664000000002
gtp.commit.prepare,25,7.611238000000002,4.082157
pool.complete,1262,3.7699699999999985,3.7699699999999985
gtp.mesh.prepare,25,3.3449059999999995,0.14581299999999997
gtp.ledger_merge,166,2.285018999999999,2.285018999999999
gtp.samples.publish_view,29,1.286364,1.286364
gtp.commit.publish,25,0.9524449999999999,0.9524449999999999
gtp.samples.publish,25,0.799992,0.799992
pool.enqueue,166,0.5492819999999998,0.5492819999999998
gtp.accepts,2511,0.2531569999999991,0.2531569999999991
gtp.mesh.publish,25,0.06197,0.06197
gtp.initialize,58,0.025460000000000007,0.025460000000000007
gtp.mesh.consume,29,0.022741000000000008,0.022741000000000008
