frame,phase,task,thread,startMs,endMs,durationMs
3,view_projection,view_projection/5,2,0.457452,3.802344,3.344892
3,view_projection,view_projection/6,3,0.468326,3.746237,3.277911
3,view_projection,view_projection/1,4,0.375929,3.999209,3.62328
3,view_projection,view_projection/3,5,0.411826,4.016754,3.604928
3,view_projection,view_projection/7,6,0.513349,4.369903,3.856554
3,view_projection,view_projection/4,7,0.447522,4.396809,3.949287
3,view_projection,view_projection/0,8,0.356813,3.897545,3.540732
3,view_projection,view_projection/2,9,0.39026,4.031395,3.641135
3,view_scores,view_scores/1,2,4.537868,8.915712,4.377844
3,view_scores,view_scores/0,3,4.518021,9.127071,4.60905
3,view_scores,view_scores/3,4,4.567273,8.868266,4.300993
3,view_scores,view_scores/4,5,4.585569,8.810709,4.22514
3,view_scores,view_scores/6,6,4.636024,8.136281,3.500257
3,view_scores,view_scores/7,7,4.651367,7.769968,3.118601
3,view_scores,view_scores/2,8,4.556218,8.945142,4.388924
3,view_scores,view_scores/5,9,4.6,8.710531,4.110531
3,receiver_stage,receiver_stage/5,2,11.679748,18.592858,6.91311
3,receiver_stage,receiver_stage/7,3,11.703318,15.838666,4.135348
3,receiver_stage,receiver_stage/4,4,11.662983,18.591048,6.928065
3,receiver_stage,receiver_stage/3,5,11.639532,17.179116,5.539584
3,receiver_stage,receiver_stage/1,6,11.601261,19.814655,8.213394
3,receiver_stage,receiver_stage/0,7,11.575361,55.630711,44.05535
3,receiver_stage,receiver_stage/6,8,11.696554,16.346475,4.649921
3,receiver_stage,receiver_stage/2,9,11.617737,19.825735,8.207998
3,donor_stage,donor_stage/4,2,55.873097,59.928377,4.05528
3,donor_stage,donor_stage/0,3,55.808654,59.375577,3.566923
3,donor_stage,donor_stage/3,4,55.871802,60.303807,4.432005
3,donor_stage,donor_stage/2,5,55.837941,59.064005,3.226064
3,donor_stage,donor_stage/5,6,55.917373,60.425794,4.508421
3,donor_stage,donor_stage/7,7,55.94184,62.870224,6.928384
3,donor_stage,donor_stage/1,8,55.821021,59.334852,3.513831
3,donor_stage,donor_stage/6,9,55.936904,67.545115,11.608211
3,face_fill,face_fill/6,3,70.545243,70.546413,0.00117
3,face_fill,face_fill/7,3,70.547303,70.547373,7e-05
3,face_fill,face_fill/0,5,70.512152,70.514092,0.00194
3,face_fill,face_fill/1,5,70.514912,70.515002,9e-05
3,face_fill,face_fill/2,5,70.515412,70.515462,5e-05
3,face_fill,face_fill/3,5,70.515512,70.515552,4e-05
3,face_fill,face_fill/4,5,70.515852,70.524593,0.008741
3,face_fill,face_fill/5,8,70.550843,70.552523,0.00168
3,mesh_fill,mesh_fill/0,3,75.599364,75.604054,0.00469
3,mesh_fill,mesh_fill/1,3,75.604994,75.605594,0.0006
3,mesh_fill,mesh_fill/2,3,75.605644,75.606144,0.0005
3,mesh_fill,mesh_fill/3,3,75.606194,75.606664,0.00047
3,mesh_fill,mesh_fill/4,3,75.606715,75.607284,0.000569
3,mesh_fill,mesh_fill/5,3,75.607334,75.607994,0.00066
3,mesh_fill,mesh_fill/6,3,75.608044,75.608455,0.000411
3,mesh_fill,mesh_fill/7,3,75.608495,75.608875,0.00038
4,view_projection,view_projection/3,2,0.380019,3.45967,3.079651
4,view_projection,view_projection/0,3,0.325823,4.230915,3.905092
4,view_projection,view_projection/5,4,0.441142,3.954562,3.51342
4,view_projection,view_projection/2,5,0.361949,3.501526,3.139577
4,view_projection,view_projection/4,6,0.408026,4.402893,3.994867
4,view_projection,view_projection/6,7,0.451827,3.46569,3.013863
4,view_projection,view_projection/1,8,0.353944,3.537497,3.183553
4,view_projection,view_projection/7,9,0.460357,4.05096,3.590603
4,view_scores,view_scores/0,2,4.550407,8.780007,4.2296
4,view_scores,view_scores/6,3,4.663126,7.987503,3.324377
4,view_scores,view_scores/4,4,4.637505,8.718466,4.080961
4,view_scores,view_scores/2,5,4.580124,8.744322,4.164198
4,view_scores,view_scores/7,6,4.67035,7.744997,3.074647
4,view_scores,view_scores/1,7,4.565814,8.724072,4.158258
4,view_scores,view_scores/3,8,4.595639,8.739912,4.144273
4,view_scores,view_scores/5,9,4.661186,8.67651,4.015324
4,receiver_stage,receiver_stage/7,2,11.371806,15.287626,3.91582
4,receiver_stage,receiver_stage/1,3,11.259663,35.896918,24.637255
4,receiver_stage,receiver_stage/3,4,11.277828,18.940232,7.662404
4,receiver_stage,receiver_stage/6,5,11.335424,16.567376,5.231952
4,receiver_stage,receiver_stage/0,6,11.244017,43.080649,31.836632
4,receiver_stage,receiver_stage/4,7,11.315464,14.842626,3.527162
4,receiver_stage,receiver_stage/5,8,11.332739,15.096177,3.763438
4,receiver_stage,receiver_stage/2,9,11.265798,17.637463,6.371665
4,donor_stage,donor_stage/2,2,43.264259,46.484333,3.220074
4,donor_stage,donor_stage/6,3,43.347727,48.92382,5.576093
4,donor_stage,donor_stage/5,4,43.333111,52.038743,8.705632
4,donor_stage,donor_stage/3,5,43.273529,47.253713,3.980184
4,donor_stage,donor_stage/7,6,43.357802,50.418645,7.060843
4,donor_stage,donor_stage/0,7,43.227018,46.820502,3.593484
4,donor_stage,donor_stage/1,8,43.244143,46.671362,3.427219
4,donor_stage,donor_stage/4,9,43.285095,46.470207,3.185112
4,face_fill,face_fill/0,9,53.782663,53.783793,0.00113
4,face_fill,face_fill/1,9,53.784343,53.784443,0.0001
4,face_fill,face_fill/2,9,53.792483,53.792533,5e-05
4,face_fill,face_fill/3,9,53.792943,53.793033,9e-05
4,face_fill,face_fill/4,9,53.793543,53.793603,6e-05
4,face_fill,face_fill/5,9,53.793783,53.793843,6e-05
4,face_fill,face_fill/6,9,53.793893,53.794203,0.00031
4,face_fill,face_fill/7,9,53.794263,53.794333,7e-05
4,mesh_fill,mesh_fill/0,9,55.756199,55.758339,0.00214
4,mesh_fill,mesh_fill/1,9,55.759049,55.759529,0.00048
4,mesh_fill,mesh_fill/2,9,55.759679,55.759869,0.00019
4,mesh_fill,mesh_fill/3,9,55.759989,55.760449,0.00046
4,mesh_fill,mesh_fill/4,9,55.760579,55.760699,0.00012
4,mesh_fill,mesh_fill/5,9,55.760759,55.761159,0.0004
4,mesh_fill,mesh_fill/6,9,55.761209,55.761399,0.00019
4,mesh_fill,mesh_fill/7,9,55.761459,55.761649,0.00019
5,view_projection,view_projection/1,2,0.41475,3.680675,3.265925
5,view_projection,view_projection/5,3,0.500413,3.826039,3.325626
5,view_projection,view_projection/7,4,0.549119,3.767798,3.218679
5,view_projection,view_projection/3,5,0.475156,3.993143,3.517987
5,view_projection,view_projection/6,6,0.533228,3.963507,3.430279
5,view_projection,view_projection/4,7,0.484658,4.418929,3.934271
5,view_projection,view_projection/2,8,0.456981,3.833529,3.376548
5,view_projection,view_projection/0,9,0.407334,3.833513,3.426179
5,view_scores,view_scores/0,2,4.562882,8.70599,4.143108
5,view_scores,view_scores/2,3,4.594529,8.87968,4.285151
5,view_scores,view_scores/1,4,4.588659,8.648154,4.059495
5,view_scores,view_scores/5,5,4.664095,8.443694,3.779599
5,view_scores,view_scores/6,6,4.667676,8.1039,3.436224
5,view_scores,view_scores/7,7,4.694362,7.894585,3.200223
5,view_scores,view_scores/3,8,4.610449,8.601183,3.990734
5,view_scores,view_scores/4,9,4.631104,8.302835,3.671731
5,receiver_stage,receiver_stage/5,2,13.193923,18.69427,5.500347
5,receiver_stage,receiver_stage/7,3,13.202097,18.220883,5.018786
5,receiver_stage,receiver_stage/6,4,13.190872,18.320606,5.129734
5,receiver_stage,receiver_stage/3,5,13.137396,17.228881,4.091485
5,receiver_stage,receiver_stage/1,6,13.10242,68.318069,55.215649
5,receiver_stage,receiver_stage/0,7,13.076399,33.315661,20.239262
5,receiver_stage,receiver_stage/4,8,13.170642,19.677651,6.507009
5,receiver_stage,receiver_stage/2,9,13.10943,18.343126,5.233696
5,donor_stage,donor_stage/4,2,68.889335,72.927894,4.038559
5,donor_stage,donor_stage/1,3,68.772011,72.157789,3.385778
5,donor_stage,donor_stage/2,4,68.806197,72.533119,3.726922
5,donor_stage,donor_stage/0,5,68.739496,72.38221,3.642714
5,donor_stage,donor_stage/7,6,68.976812,75.152117,6.175305
5,donor_stage,donor_stage/6,7,68.930617,75.667741,6.737124
5,donor_stage,donor_stage/5,8,68.915241,74.951967,6.036726
5,donor_stage,donor_stage/3,9,68.824423,72.632647,3.808224
5,face_fill,face_fill/0,3,78.765596,78.766706,0.00111
5,face_fill,face_fill/1,3,78.767166,78.767286,0.00012
5,face_fill,face_fill/2,3,78.767356,78.767486,0.00013
5,face_fill,face_fill/3,3,78.767536,78.767666,0.00013
5,face_fill,face_fill/4,3,78.767947,78.768026,7.9e-05
5,face_fill,face_fill/5,3,78.768086,78.768176,9e-05
5,face_fill,face_fill/6,3,78.768226,78.768296,7e-05
5,face_fill,face_fill/7,3,78.768356,78.768416,6e-05
5,mesh_fill,mesh_fill/0,5,82.659347,82.661548,0.002201
5,mesh_fill,mesh_fill/1,5,82.661948,82.662478,0.00053
5,mesh_fill,mesh_fill/2,5,82.662528,82.662828,0.0003
5,mesh_fill,mesh_fill/3,5,82.662878,82.663178,0.0003
5,mesh_fill,mesh_fill/4,5,82.663228,82.663628,0.0004
5,mesh_fill,mesh_fill/5,5,82.663678,82.668158,0.00448
5,mesh_fill,mesh_fill/6,5,82.668238,82.668498,0.00026
5,mesh_fill,mesh_fill/7,5,82.668768,82.668968,0.0002
6,view_projection,view_projection/4,2,0.180614,3.919027,3.738413
6,view_projection,view_projection/3,3,0.148258,3.372312,3.224054
6,view_projection,view_projection/1,4,0.121988,3.627714,3.505726
6,view_projection,view_projection/0,5,0.102792,3.828988,3.726196
6,view_projection,view_projection/6,6,0.215491,3.910286,3.694795
6,view_projection,view_projection/7,7,0.239397,4.070867,3.83147
6,view_projection,view_projection/5,8,0.20296,4.089221,3.886261
6,view_projection,view_projection/2,9,0.132208,3.743722,3.611514
6,view_scores,view_scores/5,2,4.273756,7.48638,3.212624
6,view_scores,view_scores/0,3,4.174804,9.326417,5.151613
6,view_scores,view_scores/1,4,4.193094,9.004614,4.81152
6,view_scores,view_scores/3,5,4.229685,8.818129,4.588444
6,view_scores,view_scores/4,6,4.246285,8.681271,4.434986
6,view_scores,view_scores/6,7,4.275152,7.338732,3.06358
6,view_scores,view_scores/7,8,4.287686,8.166517,3.878831
6,view_scores,view_scores/2,9,4.213829,8.896086,4.682257
6,receiver_stage,receiver_stage/1,2,12.156421,59.633439,47.477018
6,receiver_stage,receiver_stage/7,3,12.244543,18.079644,5.835101
6,receiver_stage,receiver_stage/6,4,12.225083,15.936559,3.711476
6,receiver_stage,receiver_stage/4,5,12.196117,25.241411,13.045294
6,receiver_stage,receiver_stage/3,6,12.182101,16.175385,3.993284
6,receiver_stage,receiver_stage/0,7,12.146776,31.103238,18.956462
6,receiver_stage,receiver_stage/2,8,12.166051,42.665804,30.499753
6,receiver_stage,receiver_stage/5,9,12.210822,16.759405,4.548583
6,donor_stage,donor_stage/6,2,59.999148,64.609589,4.610441
6,donor_stage,donor_stage/3,3,59.932537,63.878975,3.946438
6,donor_stage,donor_stage/0,4,59.882261,63.163666,3.281405
6,donor_stage,donor_stage/4,5,59.979364,64.149502,4.170138
6,donor_stage,donor_stage/1,6,59.895451,63.277929,3.382478
6,donor_stage,donor_stage/5,7,59.99887,64.08632,4.08745
6,donor_stage,donor_stage/7,8,60.02204,71.209205,11.187165
