frame,phase,frameMs,dispatchMs,taskSumMs,taskMaxMs,tasks,threads,waitMs,afterLastTaskMs,balanceRatio
3,view_projection,30.973255,5.587662,37.580368,5.350291,8,8,5.428088,0.076342,0.8779982247694564
3,view_scores,30.973255,2.33411,14.600536,2.212761,8,8,2.164385,0.047727,0.8247917420814991
3,receiver_stage,30.973255,8.651351,41.094623,8.518747,8,8,8.502336,0.058178,0.6030027508740429
3,face_fill,30.973255,0.181934,0.00202,0.00118,8,1,0.00025,0.065501,0.21398305084745764
3,mesh_fill,30.973255,0.187675,0.02261,0.00722,8,3,0.00012,0.043791,0.39144736842105265
4,view_projection,31.275243,5.065465,36.199649,4.842763,8,8,4.90427,0.073197,0.934374885783178
4,view_scores,31.275243,2.602096,16.951422,2.467093,8,8,2.444822,0.048807,0.8588763171878806
4,receiver_stage,31.275243,9.422985,49.283751,9.275297,8,8,9.273091,0.082467,0.664180227867636
4,face_fill,31.275243,0.131764,0.00182,0.00104,8,1,0.00014,0.080873,0.21875000000000003
4,mesh_fill,31.275243,0.140554,0.01535,0.00437,8,2,0.00016,0.074527,0.4390732265446225
5,view_projection,32.93677,5.371017,38.265303,5.12531,8,8,5.222113,0.117139,0.9332436233125412
5,view_scores,32.93677,2.283198,15.35622,2.122934,8,8,2.098423,0.052797,0.9041861405017774
5,receiver_stage,32.93677,9.461936,54.220486,9.25318,8,8,9.306362,0.070032,0.7324574632720859
5,face_fill,32.93677,0.125213,0.001599,0.00125,8,1,0.00015,0.084042,0.1599
5,mesh_fill,32.93677,0.216695,0.045231,0.011141,8,4,0.075322,0.065137,0.507483619064716
6,view_projection,33.723004,4.098769,29.286874,3.967921,8,8,3.968726,0.050376,0.922613945690955
6,view_scores,33.723004,2.528585,15.722226,2.35653,8,8,2.363981,0.089348,0.8339712416137287
6,receiver_stage,33.723004,9.922882,59.836774,9.748898,8,8,9.742688,0.063867,0.7672248442849643
6,face_fill,33.723004,0.137803,0.01384,0.00888,8,2,0.00011,0.054761,0.1948198198198198
6,mesh_fill,33.723004,0.126874,0.01751,0.00549,8,2,0.0002,0.070057,0.3986794171220401
7,view_projection,32.496159,4.422473,28.813488,4.214502,8,8,4.293109,0.055702,0.854593496455809
7,view_scores,32.496159,2.554175,16.209264,2.417372,8,8,2.394432,0.047592,0.8381655781567753
7,receiver_stage,32.496159,9.027365,54.313724,8.845155,8,8,8.885642,0.047432,0.7675632026798852
7,face_fill,32.496159,0.139674,0.00244,0.00149,8,1,0.00012,0.085077,0.2046979865771812
7,mesh_fill,32.496159,0.151814,0.02051,0.00668,8,2,0.00012,0.082363,0.38379491017964074
8,view_projection,35.929226,4.496149,31.329284,4.32788,8,8,4.355196,0.064012,0.9048680878397737
8,view_scores,35.929226,1.75667,11.450793,1.607181,8,8,1.611926,0.047566,0.8905960965193094
8,receiver_stage,35.929226,11.073072,60.879928,10.851711,8,8,10.903388,0.076941,0.7012710714467055
8,face_fill,35.929226,0.185165,0.01172,0.0072,8,3,0.00013,0.054176,0.20347222222222222
8,mesh_fill,35.929226,0.168924,0.032201,0.01342,8,3,0.00042,0.045516,0.29993479880774965
9,view_projection,35.147276,4.921486,32.597604,4.722345,8,8,4.779321,0.053676,0.8628553187028901
9,view_scores,35.147276,1.475917,9.843511,1.352304,8,8,1.333464,0.047817,0.9098833361433524
9,receiver_stage,35.147276,10.185764,53.882846,9.985969,8,8,10.024361,0.078252,0.6744819406108711
9,face_fill,35.147276,0.135094,0.00564,0.00389,8,1,0.00016,0.087783,0.18123393316195374
9,mesh_fill,35.147276,0.210795,0.024671,0.011231,8,2,0.00013,0.089267,0.2745859674116285
10,view_projection,35.237358,5.466279,39.29852,5.286275,8,8,5.304395,0.095177,0.9292583151652157
10,view_scores,35.237358,2.434592,15.648743,2.257442,8,8,2.230147,0.063422,0.8665085858241318
10,receiver_stage,35.237358,8.616529,52.863452,8.427284,8,8,8.455046,0.057707,0.784111642612258
10,face_fill,35.237358,0.132023,0.00192,0.0012,8,1,0.00013,0.083437,0.2
10,mesh_fill,35.237358,0.175725,0.027851,0.00984,8,2,0.00032,0.082638,0.3537982723577236
11,view_projection,31.77168,3.338905,23.39438,3.165985,8,8,3.202352,0.038431,0.9236611986474984
11,view_scores,31.77168,1.95531,13.285585,1.838781,8,8,1.805187,0.048743,0.9031516667835919
11,receiver_stage,31.77168,9.147773,54.837552,9.002538,8,8,9.008299,0.049303,0.7614179468056675
11,face_fill,31.77168,0.138613,0.0027,0.00142,8,1,0.00013,0.088847,0.23767605633802819
11,mesh_fill,31.77168,0.128383,0.115653,0.052971,8,2,0.00012,0.017476,0.2729158407430481
12,view_projection,41.911564,4.940801,33.868843,4.786177,8,8,4.798468,0.071201,0.8845484350035528
12,view_scores,41.911564,1.937374,13.014171,1.80885,8,8,1.78372,0.058825,0.8993401194128866
12,receiver_stage,41.911564,12.222397,62.380191,12.025256,8,8,12.053873,0.056722,0.6484289294963866
12,face_fill,41.911564,0.138954,0.002261,0.001621,8,1,0.00012,0.084932,0.17435225169648363
12,mesh_fill,41.911564,0.190975,0.02865,0.01186,8,2,0.00014,0.082332,0.30196037099494094
13,view_projection,37.214449,3.715725,25.027102,3.530235,8,8,3.578462,0.051656,0.8861698300538067
13,view_scores,37.214449,2.949425,19.843476,2.833773,8,8,2.765361,0.050716,0.8753116428168382
13,receiver_stage,37.214449,10.549779,58.877321,10.391448,8,8,10.401865,0.047297,0.7082425014300221
13,face_fill,37.214449,0.120983,0.00186,0.00126,8,1,0.0002,0.079062,0.18452380952380953
13,mesh_fill,37.214449,0.167814,0.0285,0.01104,8,2,0.00015,0.086373,0.3226902173913044
14,view_projection,40.531643,4.791803,34.826526,4.621713,8,8,4.642528,0.075792,0.9419268894455368
14,view_scores,40.531643,3.075438,19.783902,2.912704,8,8,2.854403,0.056561,0.8490350375458681
14,receiver_stage,40.531643,10.055086,56.57488,9.906882,8,8,9.906813,0.060901,0.7138330707885691
14,face_fill,40.531643,0.127663,0.00188,0.00124,8,1,0.00014,0.087188,0.18951612903225806
14,mesh_fill,40.531643,0.158564,0.0436,0.013091,8,2,0.00172,0.067791,0.41631655335726836
