zone,calls,inclusiveMs,selfMs
pool.task,1160,3053.415420000004,0.6187870000002103
gtp.task,1160,3052.8175230000015,1342.0208600000292
pool.sleep,847,1967.859607999996,1967.859607999996
gtp.fit,23724,1341.928073000014,820.1272700000175
profile.frame,29,1140.5252469999998,0.12813100000002464
tpi.cpu_ready,29,1140.3971159999999,3.7761390000000365
gtp.update,29,925.512856,0.10952399999998264
gtp.apply,29,582.094585,13.361655999999993
gtp.measure,1591,545.471425,545.471425
gtp.dispatch,174,531.12534,1.1843689999999987
pool.parallel_for,145,529.367389,20.313813000000028
gtp.samples.prepare,29,519.5177299999999,519.5177299999999
pool.wait,145,508.5992189999998,508.5992189999998
gtp.plan,29,343.30331700000005,2.623084999999996
gtp.receivers,26869,340.4563940000051,340.4563940000051
gtp.set_view,29,211.05383,0.13538600000000023
gtp.samples.prepare_view,29,210.73883800000002,2.2505169999999977
gtp.flip_recovery,252,28.391305999999997,4.566568000000004
gtp.commit.prepare,29,25.36991,21.165094000000003
gtp.reservation,29,14.883021000000003,14.883021000000003
gtp.samples.orders,29,12.328001999999998,12.328001999999998
gtp.samples.publish,29,11.628112000000002,11.628112000000002
gtp.mesh.prepare,29,5.736767,0.773773
gtp.commit.publish,29,5.727224,5.727224
pool.complete,1095,3.426893000000006,3.426893000000006
gtp.mesh.publish,29,0.753186,0.753186
gtp.ledger_merge,145,0.5735819999999998,0.5735819999999998
pool.enqueue,145,0.4543570000000002,0.4543570000000002
gtp.samples.publish_view,29,0.168415,0.168415
gtp.accepts,1583,0.1541160000000001,0.1541160000000001
gtp.mesh.consume,29,0.054291000000000006,0.054291000000000006
gtp.initialize,58,0.016621000000000007,0.016621000000000007
