frame,phase,task,thread,startMs,endMs,durationMs
3,view_projection,view_projection/5,2,0.177391,4.615664,4.438273
3,view_projection,view_projection/1,3,0.092108,4.564052,4.471944
3,view_projection,view_projection/0,4,0.076587,4.648204,4.571617
3,view_projection,view_projection/3,5,0.144204,4.850954,4.70675
3,view_projection,view_projection/6,6,0.18556,5.535851,5.350291
3,view_projection,view_projection/2,7,0.105793,5.137971,5.032178
3,view_projection,view_projection/7,8,0.1931,5.09376,4.90066
3,view_projection,view_projection/4,9,0.165508,4.274163,4.108655
3,view_scores,view_scores/2,2,5.713601,7.885541,2.17194
3,view_scores,view_scores/1,3,5.69175,7.885171,2.193421
3,view_scores,view_scores/3,4,5.721517,7.84624,2.124723
3,view_scores,view_scores/4,5,5.748543,7.322063,1.57352
3,view_scores,view_scores/7,6,5.803578,7.242375,1.438797
3,view_scores,view_scores/6,7,5.785613,7.182839,1.397226
3,view_scores,view_scores/5,8,5.766541,7.254689,1.488148
3,view_scores,view_scores/0,9,5.686975,7.899736,2.212761
3,receiver_stage,receiver_stage/6,2,8.337389,9.696063,1.358674
3,receiver_stage,receiver_stage/5,3,8.317062,9.548964,1.231902
3,receiver_stage,receiver_stage/4,4,8.306382,16.718876,8.412494
3,receiver_stage,receiver_stage/3,5,8.293557,15.519036,7.225479
3,receiver_stage,receiver_stage/1,6,8.26387,16.260925,7.997055
3,receiver_stage,receiver_stage/0,7,8.24171,13.361961,5.120251
3,receiver_stage,receiver_stage/2,8,8.278205,16.796952,8.518747
3,receiver_stage,receiver_stage/7,9,8.350277,9.580298,1.230021
3,face_fill,face_fill/0,3,17.913407,17.914587,0.00118
3,face_fill,face_fill/1,3,17.915027,17.915117,9e-05
3,face_fill,face_fill/2,3,17.915607,17.915667,6e-05
3,face_fill,face_fill/3,3,17.915717,17.915787,7e-05
3,face_fill,face_fill/4,3,17.916377,17.916417,4e-05
3,face_fill,face_fill/5,3,17.916467,17.916517,5e-05
3,face_fill,face_fill/6,3,17.916577,17.916617,4e-05
3,face_fill,face_fill/7,3,17.978259,17.978749,0.00049
3,mesh_fill,mesh_fill/5,2,30.154579,30.159359,0.00478
3,mesh_fill,mesh_fill/7,2,30.161539,30.162889,0.00135
3,mesh_fill,mesh_fill/6,3,30.187035,30.190725,0.00369
3,mesh_fill,mesh_fill/0,9,30.116758,30.123978,0.00722
3,mesh_fill,mesh_fill/1,9,30.125858,30.127088,0.00123
3,mesh_fill,mesh_fill/2,9,30.127158,30.128498,0.00134
3,mesh_fill,mesh_fill/3,9,30.128768,30.130168,0.0014
3,mesh_fill,mesh_fill/4,9,30.145198,30.146798,0.0016
4,view_projection,view_projection/0,2,0.085367,4.315915,4.230548
4,view_projection,view_projection/3,3,0.16769,4.826583,4.658893
4,view_projection,view_projection/6,4,0.19562,4.415278,4.219658
4,view_projection,view_projection/4,5,0.180251,4.90548,4.725229
4,view_projection,view_projection/5,6,0.194456,5.037219,4.842763
4,view_projection,view_projection/1,7,0.114003,4.503795,4.389792
4,view_projection,view_projection/7,8,0.217231,4.948736,4.731505
4,view_projection,view_projection/2,9,0.163715,4.564976,4.401261
4,view_scores,view_scores/0,2,5.174762,7.605984,2.431222
4,view_scores,view_scores/3,3,5.231169,7.564168,2.332999
4,view_scores,view_scores/1,4,5.184872,7.593174,2.408302
4,view_scores,view_scores/5,5,5.251755,7.330758,2.079003
4,view_scores,view_scores/7,6,5.28539,6.772078,1.486688
4,view_scores,view_scores/2,7,5.198122,7.665215,2.467093
4,view_scores,view_scores/6,8,5.273001,6.740528,1.467527
4,view_scores,view_scores/4,9,5.234678,7.513266,2.278588
4,receiver_stage,receiver_stage/6,2,8.137534,10.236567,2.099033
4,receiver_stage,receiver_stage/4,3,8.105167,15.459459,7.354292
4,receiver_stage,receiver_stage/5,4,8.123823,17.006149,8.882326
4,receiver_stage,receiver_stage/2,5,8.075201,17.350498,9.275297
4,receiver_stage,receiver_stage/1,6,8.059755,15.142666,7.082911
4,receiver_stage,receiver_stage/7,7,8.168919,9.851902,1.682983
4,receiver_stage,receiver_stage/0,8,8.053505,12.55449,4.500985
4,receiver_stage,receiver_stage/3,9,8.088096,16.49402,8.405924
4,face_fill,face_fill/0,7,18.410479,18.411519,0.00104
4,face_fill,face_fill/1,7,18.412339,18.412409,7e-05
4,face_fill,face_fill/2,7,18.412629,18.412679,5e-05
4,face_fill,face_fill/3,7,18.412899,18.412939,4e-05
4,face_fill,face_fill/4,7,18.412999,18.413059,6e-05
4,face_fill,face_fill/5,7,18.413109,18.413159,5e-05
4,face_fill,face_fill/6,7,18.413209,18.413369,0.00016
4,face_fill,face_fill/7,7,18.413479,18.413829,0.00035
4,mesh_fill,mesh_fill/5,2,30.499898,30.503878,0.00398
4,mesh_fill,mesh_fill/0,7,30.482687,30.487057,0.00437
4,mesh_fill,mesh_fill/1,7,30.487937,30.489487,0.00155
4,mesh_fill,mesh_fill/2,7,30.489537,30.490567,0.00103
4,mesh_fill,mesh_fill/3,7,30.496467,30.497537,0.00107
4,mesh_fill,mesh_fill/4,7,30.497597,30.498817,0.00122
4,mesh_fill,mesh_fill/6,7,30.498867,30.499947,0.00108
4,mesh_fill,mesh_fill/7,7,30.500007,30.501057,0.00105
5,view_projection,view_projection/1,2,0.110258,4.743651,4.633393
5,view_projection,view_projection/5,3,0.188246,5.246249,5.058003
5,view_projection,view_projection/6,4,0.203101,5.055095,4.851994
5,view_projection,view_projection/7,5,0.210586,4.753431,4.542845
5,view_projection,view_projection/2,6,0.138973,5.065674,4.926701
5,view_projection,view_projection/0,7,0.086867,4.806588,4.719721
5,view_projection,view_projection/3,8,0.160555,4.567891,4.407336
5,view_projection,view_projection/4,9,0.17899,5.3043,5.12531
5,view_scores,view_scores/1,2,5.513326,7.608079,2.094753
5,view_scores,view_scores/5,3,5.610194,7.290277,1.680083
5,view_scores,view_scores/4,4,5.573382,7.554673,1.981291
5,view_scores,view_scores/2,5,5.531836,7.65477,2.122934
5,view_scores,view_scores/6,6,5.626369,7.397204,1.770835
5,view_scores,view_scores/3,7,5.558282,7.586798,2.028516
5,view_scores,view_scores/0,8,5.493015,7.598863,2.105848
5,view_scores,view_scores/7,9,5.634263,7.206223,1.57196
5,receiver_stage,receiver_stage/6,2,8.123628,17.376808,9.25318
5,receiver_stage,receiver_stage/1,3,8.04877,15.435323,7.386553
5,receiver_stage,receiver_stage/3,4,8.076326,15.617193,7.540867
5,receiver_stage,receiver_stage/7,5,8.145008,10.920084,2.775076
5,receiver_stage,receiver_stage/2,6,8.05925,16.66285,8.6036
5,receiver_stage,receiver_stage/4,7,8.095171,14.999597,6.904426
5,receiver_stage,receiver_stage/5,8,8.108012,14.888079,6.780067
5,receiver_stage,receiver_stage/0,9,8.03276,13.009477,4.976717
5,face_fill,face_fill/0,5,18.364353,18.365603,0.00125
5,face_fill,face_fill/1,5,18.366323,18.366393,7e-05
5,face_fill,face_fill/2,5,18.366503,18.366553,5e-05
5,face_fill,face_fill/3,5,18.366603,18.366643,4e-05
