frame,phase,frameMs,dispatchMs,taskSumMs,taskMaxMs,tasks,threads,waitMs,afterLastTaskMs,balanceRatio
3,view_projection,32.469825,4.764384,33.777137,4.586799,8,8,4.61579,0.103317,0.9204986146111919
3,view_scores,32.469825,3.570188,24.426546,3.349397,8,8,3.342352,0.092903,0.911602372009051
3,receiver_stage,32.469825,18.732132,79.007023,18.570953,8,8,18.495006,0.092172,0.531791657380211
3,face_fill,32.469825,0.185845,0.00311,0.00149,8,1,0.00012,0.106288,0.2609060402684564
3,mesh_fill,32.469825,0.154794,0.005229,0.00363,8,1,0.00159,0.086683,0.18006198347107438
4,view_projection,36.953796,4.894277,33.299858,4.63166,8,8,4.722753,0.071717,0.8987020312371806
4,view_scores,36.953796,3.605159,23.020149,3.382878,8,8,3.420434,0.123838,0.8506125922956725
4,receiver_stage,36.953796,24.356613,86.874225,24.212189,8,8,24.131338,0.079848,0.4485045992743572
4,face_fill,36.953796,0.172545,0.004099,0.0025,8,1,0.00011,0.102878,0.20495
4,mesh_fill,36.953796,0.132164,0.004029,0.00294,8,1,0.00046,0.094148,0.17130102040816325
5,view_projection,32.571151,4.79326,33.232376,4.62298,8,8,4.662216,0.051737,0.8985647785627453
5,view_scores,32.571151,1.674613,11.130759,1.55122,8,8,1.53514,0.049736,0.8969358795012957
5,receiver_stage,32.571151,23.070025,79.745187,22.929206,8,8,22.88501,0.095733,0.43473587245018425
5,face_fill,32.571151,0.141264,0.00152,0.00113,8,1,0.00143,0.086717,0.168141592920354
5,mesh_fill,32.571151,0.121693,0.00348,0.00228,8,1,0.00011,0.081477,0.19078947368421054
6,view_projection,31.484448,5.048576,36.506006,4.873962,8,8,4.908243,0.063181,0.9362507852954127
6,view_scores,31.484448,2.158317,13.261755,1.992242,8,8,2.010272,0.084758,0.832087354347514
6,receiver_stage,31.484448,20.724354,85.471917,20.594261,8,8,20.544389,0.080307,0.5187848024748254
6,face_fill,31.484448,0.125944,0.00186,0.00132,8,1,0.00012,0.084399,0.17613636363636365
6,mesh_fill,31.484448,0.126753,0.005361,0.003211,8,1,0.00017,0.046842,0.2086966677047649
7,view_projection,20.897514,4.017269,27.348065,3.831949,8,8,3.889896,0.070212,0.89210689521181
7,view_scores,20.897514,2.357807,15.420558,2.251573,8,8,2.187471,0.053497,0.8560991582329331
7,receiver_stage,20.897514,11.75554,66.868722,11.643748,8,8,11.594587,0.063906,0.7178607996325582
7,face_fill,20.897514,0.135724,0.0016,0.00121,8,1,0.00014,0.086612,0.16528925619834714
7,mesh_fill,20.897514,0.123513,0.00455,0.00199,8,2,0.00013,0.068413,0.28580402010050254
8,view_projection,38.598554,5.271632,36.375187,5.061716,8,8,5.135749,0.075397,0.8982918786830395
8,view_scores,38.598554,1.985817,12.569748,1.866978,8,8,1.847892,0.044903,0.8415838322679753
8,receiver_stage,38.598554,26.808467,88.247248,26.577011,8,8,26.631312,0.072757,0.41505442429173095
8,face_fill,38.598554,0.159764,0.003821,0.002761,8,1,0.00012,0.097622,0.17298985874683087
8,mesh_fill,38.598554,0.124524,0.0064,0.00235,8,2,0.00012,0.074767,0.3404255319148936
9,view_projection,33.504325,4.382219,30.283529,4.184353,8,8,4.230535,0.069037,0.9046658169136305
9,view_scores,33.504325,2.556196,16.106407,2.436173,8,8,2.394422,0.041686,0.8264195009960295
9,receiver_stage,33.504325,21.936835,84.838112,21.620582,8,8,21.71228,0.171929,0.4904939191738687
9,face_fill,33.504325,0.150544,0.00242,0.00194,8,1,0.00034,0.089607,0.15592783505154637
9,mesh_fill,33.504325,0.136644,0.00448,0.00243,8,1,0.00011,0.074927,0.23045267489711935
10,view_projection,29.942483,4.392639,30.8178,4.157148,8,8,4.160023,0.067392,0.9266509154834034
10,view_scores,29.942483,2.175966,13.250822,1.954264,8,8,2.011602,0.047672,0.8475583390985045
10,receiver_stage,29.942483,19.700107,80.825296,19.441715,8,8,19.504572,0.104929,0.5196641345683752
10,face_fill,29.942483,0.130754,0.00205,0.00157,8,1,0.00012,0.080063,0.16321656050955416
10,mesh_fill,29.942483,0.133343,0.004641,0.003261,8,1,0.00022,0.088637,0.1778978840846366
11,view_projection,60.910923,4.138888,30.434715,3.996699,8,8,4.012965,0.050907,0.9518703747767846
11,view_scores,60.910923,1.636502,10.671856,1.510419,8,8,1.493859,0.047016,0.8831867183874144
11,receiver_stage,60.910923,48.200848,123.168541,47.917216,8,8,47.998472,0.138879,0.3213055538326767
11,face_fill,60.910923,0.145003,0.00258,0.00171,8,1,0.00015,0.090487,0.18859649122807018
11,mesh_fill,60.910923,0.139474,0.01783,0.00725,8,2,0.00015,0.037251,0.30741379310344824
12,view_projection,58.86531,4.661051,32.974234,4.496412,8,8,4.486577,0.044211,0.916681845435872
12,view_scores,58.86531,2.193457,13.908832,2.079784,8,8,2.053174,0.060397,0.8359541183122863
12,receiver_stage,58.86531,43.221374,144.351469,42.925365,8,8,42.991447,0.162755,0.4203559742590424
12,face_fill,58.86531,0.139263,0.00207,0.00152,8,1,0.00015,0.081983,0.17023026315789472
12,mesh_fill,58.86531,0.126083,0.00888,0.00441,8,1,0.00023,0.075823,0.25170068027210885
13,view_projection,48.765329,3.650346,25.061144,3.439184,8,8,3.517263,0.069182,0.9108681012705339
13,view_scores,48.765329,2.577892,17.285588,2.453123,8,8,2.409108,0.052062,0.8807950110940218
13,receiver_stage,48.765329,36.756175,112.510391,36.482243,8,8,36.54985,0.117608,0.38549709991789705
13,face_fill,48.765329,0.134994,0.00229,0.00184,8,1,0.00018,0.087588,0.15557065217391303
13,mesh_fill,48.765329,0.122333,0.007589,0.00298,8,2,0.00012,0.046956,0.3183305369127517
14,view_projection,47.998308,4.285047,31.475263,4.173808,8,8,4.142513,0.062727,0.9426422765493765
14,view_scores,47.998308,3.135201,19.442961,2.997078,8,8,2.949417,0.052716,0.8109132044611451
14,receiver_stage,47.998308,34.683862,115.117759,34.361992,8,8,34.456025,0.149329,0.4187685008191609
