zone,calls,inclusiveMs,selfMs
pool.task,1160,5693.499381000003,0.7076110000003006
gtp.task,1160,5692.796289999992,1320.5626730000367
pool.sleep,852,2645.3106100000023,2645.3106100000023
gtp.pointwise.certify,1357,2449.3593419999993,2449.3593419999993
profile.frame,29,1826.108962,0.1186129999999821
tpi.cpu_ready,29,1825.990349,4.474369000000022
gtp.update,29,1615.4890090000001,0.12560300000001234
gtp.fit,28606,1610.162963000016,1148.743621999999
gtp.dispatch,174,1572.5787980000007,1.466128999999925
pool.parallel_for,145,1569.370916,20.535648000000077
pool.wait,145,1548.4194829999992,1548.4194829999992
gtp.plan,29,1377.522704,2.3383330000000235
gtp.measure,1392,467.1401530000007,467.1401530000007
gtp.receivers,32662,304.77074900000906,304.77074900000906
gtp.apply,29,237.83595200000002,4.43672300000001
gtp.set_view,29,205.98572,0.1546229999999923
gtp.samples.prepare_view,29,205.61322300000003,0.8560620000000043
gtp.samples.prepare,29,155.964885,155.964885
gtp.pointwise.validate_batch,29,55.362998999999995,55.362998999999995
gtp.commit.prepare,29,12.084213000000002,7.465993000000002
gtp.flip_recovery,138,11.69401,2.043629000000002
gtp.samples.orders,29,10.803173000000001,10.803173000000001
gtp.reservation,29,5.437104,5.437104
gtp.mesh.prepare,29,4.65703,0.39770699999999987
gtp.samples.publish,29,3.1874820000000006,3.1874820000000006
pool.complete,1093,3.0669720000000056,3.0669720000000056
gtp.commit.publish,29,1.7940499999999995,1.7940499999999995
gtp.ledger_merge,145,1.7417529999999999,1.7417529999999999
pool.enqueue,145,0.41578499999999996,0.41578499999999996
gtp.mesh.publish,29,0.34857,0.34857
gtp.samples.publish_view,29,0.20790400000000006,0.20790400000000006
gtp.accepts,1387,0.17160199999999964,0.17160199999999964
gtp.mesh.consume,29,0.041251,0.041251
gtp.initialize,58,0.014720000000000007,0.014720000000000007
