frame,phase,task,thread,startMs,endMs,durationMs
3,view_projection,view_projection/3,2,0.127629,4.068841,3.941212
3,view_projection,view_projection/0,3,0.078788,4.665587,4.586799
3,view_projection,view_projection/7,4,0.205611,4.696508,4.490897
3,view_projection,view_projection/6,5,0.200016,3.992935,3.792919
3,view_projection,view_projection/5,6,0.193326,4.414635,4.221309
3,view_projection,view_projection/4,7,0.186381,4.485332,4.298951
3,view_projection,view_projection/2,8,0.107713,4.419975,4.312262
3,view_projection,view_projection/1,9,0.091987,4.224775,4.132788
3,view_scores,view_scores/1,2,4.922393,8.215839,3.293446
3,view_scores,view_scores/6,3,5.039212,7.788014,2.748802
3,view_scores,view_scores/7,4,5.060488,7.514901,2.454413
3,view_scores,view_scores/0,5,4.908083,8.24086,3.332777
3,view_scores,view_scores/3,6,4.952499,8.130802,3.178303
3,view_scores,view_scores/5,7,5.009096,8.072646,3.06355
3,view_scores,view_scores/4,8,4.968695,7.974553,3.005858
3,view_scores,view_scores/2,9,4.929263,8.27866,3.349397
3,receiver_stage,receiver_stage/5,2,9.454146,16.097554,6.643408
3,receiver_stage,receiver_stage/1,3,9.358344,21.52458,12.166236
3,receiver_stage,receiver_stage/0,4,9.335133,27.906086,18.570953
3,receiver_stage,receiver_stage/6,5,9.468392,20.977706,11.509314
3,receiver_stage,receiver_stage/4,6,9.415185,15.125164,5.709979
3,receiver_stage,receiver_stage/3,7,9.39872,15.364334,5.965614
3,receiver_stage,receiver_stage/2,8,9.370279,16.136905,6.766626
3,receiver_stage,receiver_stage/7,9,9.508203,21.183096,11.674893
3,face_fill,face_fill/0,6,30.129139,30.130629,0.00149
3,face_fill,face_fill/1,6,30.132399,30.133699,0.0013
3,face_fill,face_fill/2,6,30.133779,30.133869,9e-05
3,face_fill,face_fill/3,6,30.133929,30.133999,7e-05
3,face_fill,face_fill/4,6,30.134139,30.134179,4e-05
3,face_fill,face_fill/5,6,30.134309,30.134339,3e-05
3,face_fill,face_fill/6,6,30.134389,30.134449,6e-05
3,face_fill,face_fill/7,6,30.134509,30.134539,3e-05
3,mesh_fill,mesh_fill/0,6,32.039203,32.042833,0.00363
3,mesh_fill,mesh_fill/1,6,32.044453,32.044703,0.00025
3,mesh_fill,mesh_fill/2,6,32.044783,32.045023,0.00024
3,mesh_fill,mesh_fill/3,6,32.045143,32.045323,0.00018
3,mesh_fill,mesh_fill/4,6,32.046533,32.046663,0.00013
3,mesh_fill,mesh_fill/5,6,32.046723,32.046923,0.0002
3,mesh_fill,mesh_fill/6,6,32.046974,32.047073,9.9e-05
3,mesh_fill,mesh_fill/7,6,32.047183,32.047683,0.0005
4,view_projection,view_projection/2,2,0.153439,4.164823,4.011384
4,view_projection,view_projection/6,3,0.261422,4.893082,4.63166
4,view_projection,view_projection/7,4,0.272397,4.390684,4.118287
4,view_projection,view_projection/4,5,0.226787,4.374104,4.147317
4,view_projection,view_projection/0,6,0.128738,4.169773,4.041035
4,view_projection,view_projection/1,7,0.151634,4.163943,4.012309
4,view_projection,view_projection/3,8,0.18394,4.225685,4.041745
4,view_projection,view_projection/5,9,0.249847,4.545968,4.296121
4,view_scores,view_scores/3,2,5.078027,8.082565,3.004538
4,view_scores,view_scores/7,3,5.154095,7.365082,2.210987
4,view_scores,view_scores/5,4,5.115434,7.777493,2.662059
4,view_scores,view_scores/4,5,5.097228,7.962953,2.865725
4,view_scores,view_scores/0,6,5.037726,8.2711,3.233374
4,view_scores,view_scores/1,7,5.050446,8.197128,3.146682
4,view_scores,view_scores/2,8,5.064662,8.44754,3.382878
4,view_scores,view_scores/6,9,5.127363,7.641269,2.513906
4,receiver_stage,receiver_stage/4,2,9.468047,18.009163,8.541116
4,receiver_stage,receiver_stage/0,3,9.353953,33.566142,24.212189
4,receiver_stage,receiver_stage/2,4,9.411735,16.1717,6.759965
4,receiver_stage,receiver_stage/3,5,9.422055,18.749908,9.327853
4,receiver_stage,receiver_stage/6,6,9.513462,15.897208,6.383746
4,receiver_stage,receiver_stage/5,7,9.483681,18.551667,9.067986
4,receiver_stage,receiver_stage/7,8,9.515783,17.906945,8.391162
