frame,phase,frameMs,dispatchMs,taskSumMs,taskMaxMs,tasks,threads,waitMs,afterLastTaskMs,balanceRatio
3,view_projection,45.887815,3.954864,27.569767,3.799951,8,8,3.771869,0.062331,0.9069119246537652
3,view_scores,45.887815,6.327133,42.057886,6.219421,8,8,6.176089,0.054516,0.845293436479055
3,receiver_stage,45.887815,12.201804,91.802192,12.068409,8,8,12.031739,0.088223,0.9508522622990321
3,donor_stage,45.887815,11.803336,43.49144,11.579641,8,8,11.624791,0.078926,0.46948173954615685
3,face_fill,45.887815,0.157624,0.0102,0.007501,8,1,0.00034,0.090928,0.16997733635515266
3,mesh_fill,45.887815,0.142424,0.00919,0.00496,8,1,0.00012,0.078458,0.23160282258064516
4,view_projection,35.915431,3.348627,22.581229,3.11765,8,8,3.152032,0.068357,0.905378610491877
4,view_scores,35.915431,5.52722,37.789575,5.356579,8,8,5.354475,0.079463,0.8818495676064891
4,receiver_stage,35.915431,11.985173,89.268411,11.723769,8,8,11.802127,0.066768,0.9517887443022802
4,donor_stage,35.915431,8.353257,37.839423,8.163486,8,8,8.194192,0.053492,0.5794005005949663
4,face_fill,35.915431,0.133084,0.00162,0.00103,8,1,0.00015,0.087648,0.19660194174757278
4,mesh_fill,35.915431,0.122013,0.00377,0.0021,8,1,0.00014,0.078982,0.2244047619047619
5,view_projection,43.875982,3.437139,24.79307,3.285075,8,8,3.282435,0.041031,0.9433981720356461
5,view_scores,43.875982,4.150246,29.477477,4.012736,8,8,4.003411,0.075573,0.9182474563489847
5,receiver_stage,43.875982,17.209114,110.524195,16.94952,8,8,17.021308,0.093559,0.815098266794576
5,donor_stage,43.875982,7.704038,39.486422,7.513762,8,8,7.556964,0.063937,0.6569016625759506
5,face_fill,43.875982,0.131353,0.00611,0.004501,8,1,0.00012,0.090077,0.16968451455232172
5,mesh_fill,43.875982,0.134814,0.005751,0.002481,8,1,0.00012,0.087507,0.2897521160822249
6,view_projection,50.736601,3.947464,25.008614,3.703917,8,8,3.806631,0.100658,0.8439921169939824
6,view_scores,50.736601,6.629053,42.848983,6.514279,8,8,6.455477,0.046357,0.8222126923025556
6,receiver_stage,50.736601,20.626983,132.987776,20.360505,8,8,20.396266,0.110439,0.8164567627374665
6,donor_stage,50.736601,11.467592,39.342761,11.130083,8,8,11.195024,0.084998,0.44185161287656166
6,face_fill,50.736601,0.202706,0.00188,0.00113,8,1,0.00036,0.150925,0.20796460176991152
6,mesh_fill,50.736601,0.117164,0.00471,0.00221,8,1,0.00013,0.078404,0.26640271493212664
7,view_projection,44.924783,3.889233,27.266772,3.702917,8,8,3.7538,0.062607,0.9204490675864461
7,view_scores,44.924783,4.272244,30.570245,4.152744,8,8,4.100549,0.046963,0.9201820832201552
7,receiver_stage,44.924783,20.145754,141.911732,19.923587,8,8,19.979149,0.074382,0.8903500408837023
7,donor_stage,44.924783,8.516806,35.115512,8.301176,8,8,8.343972,0.072307,0.5287731521413352
7,face_fill,44.924783,0.136114,0.00199,0.00109,8,1,0.00012,0.085978,0.22821100917431192
7,mesh_fill,44.924783,0.142904,0.028259,0.01626,8,2,0.00013,0.071947,0.21724323493234932
8,view_projection,41.782707,3.479886,22.429353,3.249284,8,8,3.296401,0.071997,0.8628575172253333
8,view_scores,41.782707,5.499429,38.444004,5.392471,8,8,5.321884,0.054861,0.8911499941307056
8,receiver_stage,41.782707,20.365181,129.978635,20.116519,8,8,20.170225,0.087628,0.8076610757059907
8,donor_stage,41.782707,6.817708,32.612738,6.600335,8,8,6.662623,0.057253,0.6176341428124481
8,face_fill,41.782707,0.140364,0.0023,0.00115,8,1,0.0001,0.092073,0.25
8,mesh_fill,41.782707,0.134124,0.00793,0.00506,8,1,0.0003,0.084118,0.195899209486166
9,view_projection,40.044771,3.439,22.569873,3.164172,8,8,3.267075,0.064662,0.8916184471008529
9,view_scores,40.044771,5.139259,35.025178,4.855511,8,8,4.956614,0.217611,0.9016861973950836
9,receiver_stage,40.044771,21.146438,138.418643,20.891186,8,8,20.955232,0.094633,0.8282119729822902
9,donor_stage,40.044771,6.423921,35.079539,6.187499,8,8,6.259926,0.052786,0.7086776700893204
9,face_fill,40.044771,0.123934,0.00139,0.0009,5,1,0.00014,0.084378,0.3088888888888889
9,mesh_fill,40.044771,0.121863,0.00251,0.00199,5,1,0.00012,0.083918,0.2522613065326633
10,view_projection,41.126423,3.528812,24.855529,3.404849,8,8,3.358707,0.045141,0.9125048203312394
10,view_scores,41.126423,4.090869,28.96148,3.944105,8,8,3.940764,0.073967,0.917872369016545
10,receiver_stage,41.126423,20.317825,123.308824,20.110352,8,8,20.143779,0.092999,0.7664511789748882
10,donor_stage,41.126423,7.948916,37.213832,7.747315,8,8,7.813181,0.057697,0.6004311171031511
10,face_fill,41.126423,0.123483,0.0017,0.00104,8,1,0.00012,0.085562,0.20432692307692307
10,mesh_fill,41.126423,0.126894,0.00804,0.00692,8,1,0.00054,0.080742,0.1452312138728324
11,view_projection,34.405412,3.529828,25.445689,3.320046,8,8,3.374663,0.041203,0.9580322456375605
11,view_scores,34.405412,4.48316,29.379874,4.307003,8,8,4.338916,0.081694,0.8526774302223612
11,receiver_stage,34.405412,16.691354,113.166225,16.473537,8,8,16.509408,0.082712,0.8586970803537819
