zone,calls,inclusiveMs,selfMs
pool.task,1314,6272.855373999992,0.6573149999997159
gtp.task,1314,6272.199338999991,1727.5438089999993
gtp.item,4640,3565.2151499999936,26.502703999997905
gtp.pointwise.certify,6070,2066.3326970000016,2066.3326970000016
gtp.fit,25689,1647.5083599999994,1166.7651590000007
pool.sleep,1022,1606.829172999996,1606.829172999996
profile.frame,29,1133.924579,0.14643600000000845
tpi.cpu_ready,29,1133.778143,2.9832279999999844
gtp.dispatch,166,976.7126029999996,1.709900999999938
pool.parallel_for,166,973.6035489999996,23.215426000000036
gtp.measure,6218,961.8531679999924,961.8531679999924
pool.wait,166,949.8764020000003,949.8764020000003
gtp.update,29,805.4436830000002,1.1384850000000013
gtp.plan,29,735.647889,6.710336999999998
gtp.donor,4640,431.83217099999916,85.98658499999954
gtp.set_view,29,325.324971,0.7744549999999969
gtp.samples.prepare_view,29,323.481227,5.431125999999996
gtp.receivers,29352,233.09466100000907,233.09466100000907
gtp.apply,29,68.650599,2.1098610000000018
gtp.samples.orders,29,68.03326700000001,68.03326700000001
gtp.flip_recovery,135,59.272134999999984,3.862096000000002
gtp.samples.prepare,25,41.708306000000015,41.708306000000015
gtp.pointwise.validate_batch,25,11.756020000000003,11.756020000000003
gtp.reservation,29,9.093889,9.093889
gtp.commit.prepare,25,7.44363,3.8947790000000007
pool.complete,1265,3.559934000000004,3.559934000000004
gtp.mesh.prepare,25,3.4773300000000003,0.17407500000000015
gtp.ledger_merge,166,1.3991529999999994,1.3991529999999994
gtp.samples.publish,25,1.099751,1.099751
gtp.samples.publish_view,29,1.0508189999999997,1.0508189999999997
gtp.commit.publish,25,0.9648179999999998,0.9648179999999998
pool.enqueue,166,0.5117210000000002,0.5117210000000002
gtp.accepts,2507,0.2571799999999994,0.2571799999999994
gtp.mesh.publish,25,0.09088300000000003,0.09088300000000003
gtp.mesh.consume,29,0.026261,0.026261
gtp.initialize,58,0.02518,0.02518
