frame,rootIndex,task,thread,startMs,endMs,durationMs,fitCalls,fitMs,pointwiseCalls,pointwiseMs
3,6,receiver_stage/6,2,13.086139,14.048997,0.962858,7,0.565886,1,0.244037
3,10,receiver_stage/6,2,14.049147,14.303664,0.254517,7,0.189925,0,0.0
3,12,receiver_stage/6,2,14.303775,21.141982,6.838207,8,1.864925,7,4.90058
3,82,receiver_stage/6,2,21.142032,21.279536,0.137504,7,0.107442,0,0.0
3,86,receiver_stage/6,2,21.279637,21.493343,0.213706,7,0.185535,0,0.0
3,91,receiver_stage/6,2,21.493443,21.634047,0.140604,7,0.118332,0,0.0
3,95,receiver_stage/6,2,21.634187,21.858233,0.224046,7,0.199785,0,0.0
3,98,receiver_stage/6,2,21.858483,22.10415,0.245667,7,0.219516,0,0.0
3,105,receiver_stage/6,2,22.10425,22.319667,0.215417,7,0.190855,0,0.0
3,110,receiver_stage/6,2,22.319797,22.44466,0.124863,7,0.101321,0,0.0
3,112,receiver_stage/6,2,22.44477,22.543373,0.098603,7,0.080492,0,0.0
3,118,receiver_stage/6,2,22.543403,22.711048,0.167645,7,0.140815,0,0.0
3,120,receiver_stage/6,2,22.711098,22.829751,0.118653,7,0.099673,0,0.0
3,124,receiver_stage/6,2,22.829791,23.098329,0.268538,7,0.238006,0,0.0
3,129,receiver_stage/6,2,23.098379,23.353267,0.254888,7,0.232387,0,0.0
3,136,receiver_stage/6,2,23.353297,23.695957,0.34266,7,0.310737,0,0.0
3,144,receiver_stage/6,2,23.696037,23.925193,0.229156,7,0.204364,0,0.0
3,149,receiver_stage/6,2,23.925223,24.039366,0.114143,7,0.091913,0,0.0
3,154,receiver_stage/6,2,24.039397,24.17465,0.135253,7,0.104139,0,0.0
3,1,receiver_stage/1,3,13.017017,15.100267,2.08325,7,1.660607,1,0.258668
3,16,receiver_stage/1,3,15.100337,16.133523,1.033186,7,0.41413,1,0.53503
3,20,receiver_stage/1,3,16.133603,16.626947,0.493344,4,0.185896,1,0.249048
3,23,receiver_stage/1,3,16.627287,16.879734,0.252447,7,0.206097,0,0.0
3,25,receiver_stage/1,3,16.879884,17.09305,0.213166,7,0.194336,0,0.0
3,27,receiver_stage/1,3,17.093071,17.370748,0.277677,7,0.240175,0,0.0
3,30,receiver_stage/1,3,17.370769,17.605585,0.234816,7,0.217726,0,0.0
3,34,receiver_stage/1,3,17.605625,17.801211,0.195586,7,0.166764,0,0.0
3,37,receiver_stage/1,3,17.801521,17.930855,0.129334,7,0.102683,0,0.0
3,39,receiver_stage/1,3,17.930975,18.048038,0.117063,7,0.099862,0,0.0
3,41,receiver_stage/1,3,18.048128,18.274855,0.226727,7,0.202867,0,0.0
3,43,receiver_stage/1,3,18.274935,18.503251,0.228316,7,0.210355,0,0.0
3,45,receiver_stage/1,3,18.503352,18.722268,0.218916,7,0.196915,0,0.0
3,47,receiver_stage/1,3,18.722358,18.950684,0.228326,7,0.212864,0,0.0
3,48,receiver_stage/1,3,18.950794,19.925843,0.975049,7,0.557396,1,0.35895
3,57,receiver_stage/1,3,19.926153,20.201251,0.275098,7,0.247207,0,0.0
3,62,receiver_stage/1,3,20.201301,20.339305,0.138004,7,0.101753,0,0.0
3,66,receiver_stage/1,3,20.339445,20.564831,0.225386,7,0.193355,0,0.0
3,71,receiver_stage/1,3,20.564991,20.810978,0.245987,7,0.214727,0,0.0
3,75,receiver_stage/1,3,20.811028,21.027955,0.216927,7,0.188093,0,0.0
3,79,receiver_stage/1,3,21.028105,21.999213,0.971108,1,0.057691,1,0.907877
3,102,receiver_stage/1,3,21.999273,22.26919,0.269917,7,0.241407,0,0.0
3,107,receiver_stage/1,3,22.26926,22.536078,0.266818,7,0.239375,0,0.0
3,117,receiver_stage/1,3,22.536158,22.806646,0.270488,7,0.245497,0,0.0
3,123,receiver_stage/1,3,22.806766,23.108515,0.301749,7,0.272319,0,0.0
3,130,receiver_stage/1,3,23.108575,23.325191,0.216616,7,0.187405,0,0.0
3,135,receiver_stage/1,3,23.325221,23.585809,0.260588,7,0.225868,0,0.0
3,140,receiver_stage/1,3,23.586079,23.863617,0.277538,7,0.251357,0,0.0
3,146,receiver_stage/1,3,23.863727,24.005881,0.142154,7,0.109873,0,0.0
3,153,receiver_stage/1,3,24.006121,24.131294,0.125173,7,0.102513,0,0.0
3,157,receiver_stage/1,3,24.131394,24.262408,0.131014,7,0.10719,0,0.0
3,2,receiver_stage/2,4,13.029167,14.952713,1.923546,7,1.475341,1,0.275108
3,15,receiver_stage/2,4,14.952913,19.32413,4.371217,1,0.123194,1,4.234683
3,51,receiver_stage/2,4,19.32421,19.657569,0.333359,7,0.293448,0,0.0
3,54,receiver_stage/2,4,19.657649,19.952768,0.295119,7,0.258407,0,0.0
3,58,receiver_stage/2,4,19.952818,20.103582,0.150764,7,0.112743,0,0.0
3,61,receiver_stage/2,4,20.103703,20.218636,0.114933,7,0.095822,0,0.0
3,63,receiver_stage/2,4,20.218986,20.343259,0.124273,7,0.095491,0,0.0
3,67,receiver_stage/2,4,20.343539,20.648688,0.305149,7,0.280099,0,0.0
3,73,receiver_stage/2,4,20.648748,20.872305,0.223557,7,0.199876,0,0.0
3,77,receiver_stage/2,4,20.872485,21.116642,0.244157,7,0.220895,0,0.0
3,81,receiver_stage/2,4,21.116722,21.315007,0.198285,7,0.111663,0,0.0
3,88,receiver_stage/2,4,21.315057,24.602343,3.287286,8,0.655859,3,2.501303
3,5,receiver_stage/5,5,13.073949,15.289813,2.215864,7,1.324458,1,0.746872
3,17,receiver_stage/5,5,15.289873,20.521089,5.231216,2,0.233777,1,4.974389
3,70,receiver_stage/5,5,20.521359,20.831558,0.310199,7,0.264877,0,0.0
3,76,receiver_stage/5,5,20.831618,21.055155,0.223537,7,0.200916,0,0.0
3,80,receiver_stage/5,5,21.055495,21.185779,0.130284,7,0.091094,0,0.0
3,85,receiver_stage/5,5,21.186029,21.407835,0.221806,7,0.201365,0,0.0
3,90,receiver_stage/5,5,21.407885,21.538669,0.130784,7,0.099264,0,0.0
3,93,receiver_stage/5,5,21.539049,21.800616,0.261567,7,0.229296,0,0.0
3,97,receiver_stage/5,5,21.800656,22.041143,0.240487,7,0.213945,0,0.0
3,103,receiver_stage/5,5,22.041184,22.2834,0.242216,7,0.219345,0,0.0
3,108,receiver_stage/5,5,22.283441,22.500737,0.217296,7,0.198056,0,0.0
3,116,receiver_stage/5,5,22.500837,22.767074,0.266237,7,0.239865,0,0.0
3,122,receiver_stage/5,5,22.767134,23.033572,0.266438,7,0.227956,0,0.0
3,128,receiver_stage/5,5,23.033622,23.259539,0.225917,7,0.203595,0,0.0
3,133,receiver_stage/5,5,23.259629,23.500046,0.240417,7,0.220945,0,0.0
3,139,receiver_stage/5,5,23.500246,23.765503,0.265257,7,0.235126,0,0.0
3,145,receiver_stage/5,5,23.765543,24.00579,0.240247,7,0.215794,0,0.0
3,152,receiver_stage/5,5,24.00581,24.144284,0.138474,7,0.101412,0,0.0
3,159,receiver_stage/5,5,24.144344,24.768623,0.624279,1,0.076652,1,0.539835
3,7,receiver_stage/7,6,13.104745,13.336552,0.231807,7,0.116433,0,0.0
3,8,receiver_stage/7,6,13.336582,13.873528,0.536946,4,0.096444,1,0.34533
3,9,receiver_stage/7,6,13.873578,14.255849,0.382271,7,0.296498,0,0.0
3,11,receiver_stage/7,6,14.255969,19.699181,5.443212,1,0.212536,1,5.218916
3,55,receiver_stage/7,6,19.699271,20.094903,0.395632,7,0.350661,0,0.0
3,60,receiver_stage/7,6,20.094943,20.251267,0.156324,7,0.127344,0,0.0
3,65,receiver_stage/7,6,20.251307,20.424882,0.173575,7,0.145185,0,0.0
3,69,receiver_stage/7,6,20.425162,20.796783,0.371621,7,0.33989,0,0.0
3,74,receiver_stage/7,6,20.796843,21.147753,0.35091,7,0.3161,0,0.0
3,83,receiver_stage/7,6,21.147783,21.304018,0.156235,7,0.128924,0,0.0
3,87,receiver_stage/7,6,21.304138,21.606867,0.302729,7,0.276858,0,0.0
3,94,receiver_stage/7,6,21.606997,21.953447,0.34645,7,0.313789,0,0.0
3,100,receiver_stage/7,6,21.953487,22.324417,0.37093,7,0.342079,0,0.0
3,111,receiver_stage/7,6,22.324447,22.491092,0.166645,7,0.137884,0,0.0
3,115,receiver_stage/7,6,22.491132,22.995197,0.504065,7,0.460215,0,0.0
3,127,receiver_stage/7,6,22.995267,23.295176,0.299909,7,0.268299,0,0.0
3,134,receiver_stage/7,6,23.295236,23.599764,0.304528,7,0.267237,0,0.0
