frame,phase,task,thread,startMs,endMs,durationMs
3,view_projection,view_projection/7,2,0.574841,3.629529,3.054688
3,view_projection,view_projection/4,3,0.521345,4.185186,3.663841
3,view_projection,view_projection/5,4,0.521885,4.116379,3.594494
3,view_projection,view_projection/2,5,0.460818,3.797329,3.336511
3,view_projection,view_projection/6,6,0.541581,3.61501,3.073429
3,view_projection,view_projection/0,7,0.430642,4.141269,3.710627
3,view_projection,view_projection/1,8,0.444272,4.244223,3.799951
3,view_projection,view_projection/3,9,0.477489,3.813715,3.336226
3,view_scores,view_scores/1,2,4.380196,10.112763,5.732567
3,view_scores,view_scores/6,3,4.461665,9.280359,4.818694
3,view_scores,view_scores/4,4,4.426758,9.370191,4.943433
3,view_scores,view_scores/2,5,4.390156,10.102202,5.712046
3,view_scores,view_scores/0,6,4.361021,10.580442,6.219421
3,view_scores,view_scores/5,7,4.439618,9.67926,5.239642
3,view_scores,view_scores/7,8,4.478575,8.331797,3.853222
3,view_scores,view_scores/3,9,4.405342,9.944203,5.538861
3,receiver_stage,receiver_stage/6,2,13.084779,24.17491,11.090131
3,receiver_stage,receiver_stage/1,3,13.015907,24.262868,11.246961
3,receiver_stage,receiver_stage/2,4,13.027857,24.602543,11.574686
3,receiver_stage,receiver_stage/5,5,13.072438,24.768633,11.696195
3,receiver_stage,receiver_stage/7,6,13.103425,24.911062,11.807637
3,receiver_stage,receiver_stage/3,7,13.042627,24.240042,11.197415
3,receiver_stage,receiver_stage/0,8,13.001672,25.070081,12.068409
3,receiver_stage,receiver_stage/4,9,13.051373,24.172131,11.120758
3,donor_stage,donor_stage/1,2,25.262822,28.783224,3.520402
3,donor_stage,donor_stage/3,3,25.291688,29.693631,4.401943
3,donor_stage,donor_stage/4,4,25.317024,29.590587,4.273563
3,donor_stage,donor_stage/5,5,25.340868,29.785533,4.444665
3,donor_stage,donor_stage/6,6,25.348475,36.928116,11.579641
3,donor_stage,donor_stage/2,7,25.276462,28.569538,3.293076
