frame,phase,frameMs,dispatchMs,taskSumMs,taskMaxMs,tasks,threads,waitMs,afterLastTaskMs,balanceRatio
3,view_projection,26.368224,4.603877,26.655658,4.407581,8,8,4.40823,0.103293,0.7559605257396289
3,view_scores,26.368224,4.490184,25.43774,4.280157,8,8,4.295168,0.126549,0.7428973983898255
3,receiver_stage,26.368224,13.45245,78.865059,13.179878,8,8,13.240284,0.101013,0.7479684087364087
3,face_fill,26.368224,0.138765,0.00587,0.00452,8,1,0.00013,0.087508,0.1623340707964602
3,mesh_fill,26.368224,0.165714,0.00635,0.00417,8,1,0.00011,0.106513,0.19034772182254195
4,view_projection,21.203895,4.86608,35.954856,4.769292,8,8,4.717865,0.047857,0.9423530788217622
4,view_scores,21.203895,2.129703,14.122184,2.03113,8,8,1.978889,0.048637,0.8691088211980523
4,receiver_stage,21.203895,10.535513,77.950445,10.307121,8,8,10.366398,0.099963,0.9453469717683531
4,face_fill,21.203895,0.125644,0.00146,0.00091,8,1,0.00013,0.087918,0.20054945054945053
4,mesh_fill,21.203895,0.138844,0.00409,0.00287,8,1,0.00012,0.089788,0.17813588850174214
5,view_projection,22.106257,4.695815,32.568275,4.529369,8,8,4.562431,0.069287,0.898808283228856
5,view_scores,22.106257,2.460103,15.31759,2.33796,8,8,2.308149,0.051017,0.8189612953172851
5,receiver_stage,22.106257,12.125106,83.831152,11.977371,8,8,11.95614,0.089198,0.874890992355501
5,face_fill,22.106257,0.129744,0.001509,0.001,8,1,0.00014,0.079467,0.188625
5,mesh_fill,22.106257,0.132324,0.00448,0.00255,8,1,0.00012,0.085143,0.21960784313725487
6,view_projection,21.888656,4.086402,28.005957,3.911851,8,8,3.928616,0.098219,0.8949074555753784
6,view_scores,21.888656,2.475133,14.684478,2.323899,8,8,2.301028,0.054311,0.7898621024407688
6,receiver_stage,21.888656,11.530483,86.018337,11.329506,8,8,11.353617,0.092058,0.9490521585848491
6,face_fill,21.888656,0.147614,0.00166,0.00103,8,1,0.00013,0.098293,0.20145631067961164
6,mesh_fill,21.888656,0.138614,0.00898,0.00451,8,1,0.0005,0.080798,0.24889135254988914
7,view_projection,21.877165,4.312093,29.275828,4.142997,8,8,4.177649,0.055688,0.8832925778126317
7,view_scores,21.877165,2.630703,16.18861,2.491624,8,8,2.477129,0.052167,0.8121515324944696
7,receiver_stage,21.877165,11.431395,70.297335,11.155006,8,8,11.232949,0.136794,0.7877330478352051
7,face_fill,21.877165,0.200346,0.00507,0.00282,8,2,0.040881,0.036527,0.2247340425531915
7,mesh_fill,21.877165,0.118053,0.00682,0.00222,8,3,0.00013,0.021741,0.384009009009009
8,view_projection,24.56311,4.778407,32.953629,4.601267,8,8,4.644883,0.050031,0.8952324707520776
8,view_scores,24.56311,2.836639,16.557392,2.70051,8,8,2.687595,0.081327,0.766401161262132
8,receiver_stage,24.56311,12.339451,91.647494,12.177727,8,8,12.144125,0.081197,0.9407286556842668
8,face_fill,24.56311,0.128554,0.00596,0.00392,8,1,0.00013,0.080088,0.19005102040816327
8,mesh_fill,24.56311,0.124403,0.004781,0.002391,8,1,0.00011,0.084527,0.24994772061898787
9,view_projection,25.206614,4.907291,34.214361,4.658278,8,8,4.761127,0.072827,0.9181064601554478
9,view_scores,25.206614,3.137448,19.48973,3.02916,8,8,2.972283,0.050296,0.8042547273831689
9,receiver_stage,25.206614,12.215763,85.822889,12.049893,8,8,12.037988,0.087553,0.8902868369868512
