zone,calls,inclusiveMs,selfMs
pool.task,1160,5801.171375000001,0.6231579999998651
gtp.task,1160,5800.548216999995,1284.971744000003
gtp.item,4640,4515.576473000006,22.203174999990313
gtp.pointwise.certify,1357,2520.760338,2520.760338
gtp.fit,28606,1643.0737260000267,1174.5592980000033
profile.frame,29,1129.771988,0.10729100000001779
tpi.cpu_ready,29,1129.6646970000002,3.949977999999997
pool.sleep,846,1080.438393999997,1080.438393999997
gtp.update,29,916.3412689999999,0.13359500000000324
gtp.dispatch,174,878.8350120000005,1.2364019999999953
pool.parallel_for,145,876.4555720000002,20.235839999999993
pool.wait,145,855.823352,855.823352
gtp.plan,29,680.6028699999998,1.9766399999999997
gtp.measure,1392,474.67490399999986,474.67490399999986
gtp.receivers,32664,320.998589000008,320.998589000008
gtp.apply,29,235.59892399999998,4.518473000000001
gtp.set_view,29,209.32956700000005,0.13014299999999676
gtp.samples.prepare_view,29,208.917136,0.9388670000000019
gtp.samples.prepare,29,153.354931,153.354931
gtp.pointwise.validate_batch,29,56.116464,56.116464
gtp.flip_recovery,138,12.463172000000002,2.2719869999999984
gtp.commit.prepare,29,12.088272000000003,7.533711
gtp.samples.orders,29,11.776269999999998,11.776269999999998
gtp.reservation,29,4.779432,4.779432
gtp.mesh.prepare,29,4.611745999999999,0.380092
pool.complete,1113,3.54758700000001,3.54758700000001
gtp.samples.publish,29,2.94422,2.94422
gtp.commit.publish,29,1.6310989999999999,1.6310989999999999
gtp.ledger_merge,145,1.1430380000000002,1.1430380000000002
pool.enqueue,145,0.3963799999999999,0.3963799999999999
gtp.mesh.publish,29,0.33371900000000004,0.33371900000000004
gtp.samples.publish_view,29,0.272808,0.272808
gtp.accepts,1390,0.10818200000000018,0.10818200000000018
gtp.mesh.consume,29,0.043883000000000005,0.043883000000000005
gtp.initialize,58,0.015360000000000004,0.015360000000000004
