frame,rootIndex,task,thread,startMs,endMs,durationMs,fitCalls,fitMs,pointwiseCalls,pointwiseMs
3,5,receiver_stage/5,2,9.976312,10.932351,0.956039,7,0.590657,1,0.255047
3,16,receiver_stage/5,2,10.932481,11.314772,0.382291,7,0.31046,0,0.0
3,19,receiver_stage/5,2,11.314852,11.449926,0.135074,7,0.067212,0,0.0
3,21,receiver_stage/5,2,11.450106,11.593061,0.142955,7,0.108053,0,0.0
3,26,receiver_stage/5,2,11.593191,11.909525,0.316334,7,0.195012,0,0.0
3,33,receiver_stage/5,2,11.909565,12.08199,0.172425,7,0.091625,0,0.0
3,37,receiver_stage/5,2,12.08259,13.10744,1.02485,7,0.529665,1,0.399282
3,45,receiver_stage/5,2,13.10754,13.706248,0.598708,7,0.501845,0,0.0
3,53,receiver_stage/5,2,13.706448,13.933344,0.226896,7,0.128433,0,0.0
3,57,receiver_stage/5,2,13.933724,14.394938,0.461214,7,0.406722,0,0.0
3,63,receiver_stage/5,2,14.395108,14.519762,0.124654,7,0.066042,0,0.0
3,66,receiver_stage/5,2,14.519792,15.248823,0.729031,7,0.547305,1,0.126733
3,81,receiver_stage/5,2,15.249023,15.431889,0.182866,7,0.063571,0,0.0
3,89,receiver_stage/5,2,15.431989,15.913053,0.481064,7,0.428914,0,0.0
3,100,receiver_stage/5,2,15.913143,16.235853,0.32271,7,0.275978,0,0.0
3,108,receiver_stage/5,2,16.235973,16.534182,0.298209,7,0.261999,0,0.0
3,114,receiver_stage/5,2,16.534292,16.611694,0.077402,7,0.039941,0,0.0
3,118,receiver_stage/5,2,16.611784,17.052077,0.440293,7,0.397353,0,0.0
3,128,receiver_stage/5,2,17.052237,17.586413,0.534176,7,0.479305,0,0.0
3,138,receiver_stage/5,2,17.586473,17.733057,0.146584,7,0.092724,0,0.0
3,142,receiver_stage/5,2,17.733197,17.962454,0.229257,7,0.156095,0,0.0
3,150,receiver_stage/5,2,17.962564,18.50972,0.547156,7,0.485925,0,0.0
3,158,receiver_stage/5,2,18.50978,18.613353,0.103573,7,0.067822,0,0.0
3,7,receiver_stage/7,3,10.014043,14.877498,4.863455,3,0.439954,1,4.38258
3,74,receiver_stage/7,3,14.877678,15.318861,0.441183,7,0.376191,0,0.0
3,85,receiver_stage/7,3,15.319001,15.498617,0.179616,7,0.123634,0,0.0
3,92,receiver_stage/7,3,15.498747,16.160426,0.661679,7,0.599359,0,0.0
3,104,receiver_stage/7,3,16.160566,16.221448,0.060882,5,0.01588,0,0.0
3,106,receiver_stage/7,3,16.221538,16.494906,0.273368,7,0.231926,0,0.0
3,113,receiver_stage/7,3,16.495126,16.61578,0.120654,7,0.078262,0,0.0
3,119,receiver_stage/7,3,16.61597,17.009072,0.393102,7,0.335588,0,0.0
3,126,receiver_stage/7,3,17.009172,17.467265,0.458093,7,0.408852,0,0.0
3,136,receiver_stage/7,3,17.467445,17.692332,0.224887,7,0.148973,0,0.0
3,141,receiver_stage/7,3,17.692442,17.95875,0.266308,7,0.196035,0,0.0
3,149,receiver_stage/7,3,17.95886,18.260949,0.302089,7,0.246428,0,0.0
3,153,receiver_stage/7,3,18.261069,18.484395,0.223326,7,0.144552,0,0.0
3,156,receiver_stage/7,3,18.484535,18.949949,0.465414,7,0.412472,0,0.0
3,6,receiver_stage/6,4,9.994981,11.271899,1.276918,6,0.907706,1,0.251108
3,18,receiver_stage/6,4,11.272299,11.600509,0.32821,7,0.275129,0,0.0
3,27,receiver_stage/6,4,11.600589,11.855393,0.254804,4,0.174365,0,0.0
3,31,receiver_stage/6,4,11.856103,12.630796,0.774693,7,0.402341,1,0.289399
3,41,receiver_stage/6,4,12.631256,12.844912,0.213656,7,0.153623,0,0.0
3,43,receiver_stage/6,4,12.845292,13.284765,0.439473,7,0.305758,0,0.0
3,47,receiver_stage/6,4,13.285655,13.467111,0.181456,4,0.110233,0,0.0
3,48,receiver_stage/6,4,13.467401,13.705808,0.238407,7,0.104453,0,0.0
3,52,receiver_stage/6,4,13.705868,14.041548,0.33568,7,0.225927,0,0.0
3,58,receiver_stage/6,4,14.041578,14.357467,0.315889,7,0.260268,0,0.0
3,61,receiver_stage/6,4,14.358687,14.441019,0.082332,7,0.043638,0,0.0
3,64,receiver_stage/6,4,14.44142,14.583344,0.141924,7,0.084043,0,0.0
3,68,receiver_stage/6,4,14.583524,15.073858,0.490334,7,0.406871,0,0.0
3,78,receiver_stage/6,4,15.073968,15.313195,0.239227,7,0.150164,0,0.0
3,84,receiver_stage/6,4,15.313245,15.446399,0.133154,7,0.069483,0,0.0
3,90,receiver_stage/6,4,15.446489,15.784829,0.33834,7,0.28979,0,0.0
3,94,receiver_stage/6,4,15.78485,15.935614,0.150764,7,0.067201,0,0.0
3,102,receiver_stage/6,4,15.935774,16.15808,0.222306,7,0.113373,0,0.0
3,103,receiver_stage/6,4,16.158281,17.446959,1.288678,6,0.572327,1,0.65641
3,135,receiver_stage/6,4,17.447029,23.173449,5.72642,2,0.856046,2,4.843304
3,2,receiver_stage/2,5,9.923245,10.113461,0.190216,6,0.089083,0,0.0
3,9,receiver_stage/2,5,10.113501,11.862603,1.749102,7,1.043081,1,0.576557
3,32,receiver_stage/2,5,11.863233,12.005007,0.141774,4,0.097162,0,0.0
3,36,receiver_stage/2,5,12.005427,16.844041,4.838614,2,0.67082,2,4.134163
3,122,receiver_stage/2,5,16.844471,16.976885,0.132414,7,0.073282,0,0.0
