frame,phase,task,thread,startMs,endMs,durationMs
3,view_projection,view_projection/2,2,0.185561,2.803299,2.617738
3,view_projection,view_projection/4,3,0.211322,2.771298,2.559976
3,view_projection,view_projection/6,4,0.256393,2.803274,2.546881
3,view_projection,view_projection/3,5,0.19364,3.501404,3.307764
3,view_projection,view_projection/7,6,0.283119,4.452202,4.169083
3,view_projection,view_projection/5,7,0.232747,2.885201,2.652454
3,view_projection,view_projection/1,8,0.165095,4.572676,4.407581
3,view_projection,view_projection/0,9,0.139094,4.533275,4.394181
3,view_scores,view_scores/1,2,4.787088,8.873314,4.086226
3,view_scores,view_scores/0,3,4.760007,9.040164,4.280157
3,view_scores,view_scores/2,4,4.789242,8.930465,4.141223
3,view_scores,view_scores/4,5,4.828164,7.06187,2.233706
3,view_scores,view_scores/5,6,4.843758,6.93173,2.087972
3,view_scores,view_scores/3,7,4.825814,8.682568,3.856754
3,view_scores,view_scores/7,8,4.874655,6.404071,1.529416
3,view_scores,view_scores/6,9,4.853884,8.07617,3.222286
3,receiver_stage,receiver_stage/5,2,9.974022,18.613473,8.639451
3,receiver_stage,receiver_stage/7,3,10.012673,18.950169,8.937496
3,receiver_stage,receiver_stage/6,4,9.993821,23.173699,13.179878
3,receiver_stage,receiver_stage/2,5,9.919445,18.654764,8.735319
3,receiver_stage,receiver_stage/1,6,9.894954,18.800049,8.905095
3,receiver_stage,receiver_stage/4,7,9.953336,18.773883,8.820547
3,receiver_stage,receiver_stage/0,8,9.868683,22.650123,12.78144
3,receiver_stage,receiver_stage/3,9,9.922535,18.788368,8.865833
3,face_fill,face_fill/0,2,24.174214,24.175194,0.00098
3,face_fill,face_fill/1,2,24.175914,24.176004,9e-05
3,face_fill,face_fill/2,2,24.176194,24.176274,8e-05
3,face_fill,face_fill/3,2,24.176324,24.180844,0.00452
3,face_fill,face_fill/4,2,24.181014,24.181054,4e-05
3,face_fill,face_fill/5,2,24.181114,24.181174,6e-05
3,face_fill,face_fill/6,2,24.181224,24.181264,4e-05
3,face_fill,face_fill/7,2,24.181314,24.181374,6e-05
3,mesh_fill,mesh_fill/0,2,25.967252,25.971422,0.00417
3,mesh_fill,mesh_fill/1,2,25.972252,25.972492,0.00024
3,mesh_fill,mesh_fill/2,2,25.972772,25.973412,0.00064
3,mesh_fill,mesh_fill/3,2,25.973982,25.974302,0.00032
3,mesh_fill,mesh_fill/4,2,25.975132,25.975692,0.00056
3,mesh_fill,mesh_fill/5,2,25.975932,25.976052,0.00012
