case,system,event,metric,statistic,beforeMs,afterMs,deltaMs,relative
dem-sierra-L,linux,recovery,cpuMs,mean,0.3769659014651552,0.37100535177160054,-0.00596054969355464,-0.0158119067809257
dem-sierra-L,linux,recovery,cpuMs,median,0.07164149731397629,0.059306999668478966,-0.012334497645497322,-0.1721697355296764
dem-sierra-L,linux,recovery,cpuMs,p95,0.1942829981446266,0.2389128983020782,0.04462990015745161,0.229715932859079
dem-sierra-L,linux,recovery,cpuMs,max,9.578333854675293,9.442723274230957,-0.13561058044433594,-0.014158055305009354
dem-sierra-L,linux,recovery,viewMs,mean,0.24259521875,0.2510200625,0.008424843749999966,0.03472798760589746
dem-sierra-L,linux,recovery,viewMs,median,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,viewMs,p95,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,viewMs,max,7.763047,8.032642,0.2695949999999989,0.03472798760589746
dem-sierra-L,linux,recovery,receiverMs,mean,0.04945565625,0.03872175,-0.010733906250000001,-0.21704102349263643
dem-sierra-L,linux,recovery,receiverMs,median,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,receiverMs,p95,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,receiverMs,max,1.582581,1.239096,-0.34348500000000004,-0.21704102349263643
dem-sierra-L,linux,recovery,donorMs,mean,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,donorMs,median,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,donorMs,p95,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,donorMs,max,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,reservationMs,mean,4.3750000000000005e-06,5.3124999999999995e-06,9.374999999999991e-07,0.21428571428571397
dem-sierra-L,linux,recovery,reservationMs,median,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,reservationMs,p95,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,reservationMs,max,0.00014000000000000001,0.00016999999999999999,2.999999999999997e-05,0.21428571428571397
dem-sierra-L,linux,recovery,sampleRepairMs,mean,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,sampleRepairMs,median,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,sampleRepairMs,p95,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,sampleRepairMs,max,0.0,0.0,0.0,
dem-sierra-L,linux,return,cpuMs,mean,19.572767049074173,17.455383092164993,-2.1173839569091797,-0.1081801030789531
dem-sierra-L,linux,return,cpuMs,median,19.29341411590576,17.310710906982422,-1.9827032089233398,-0.10276580376143851
dem-sierra-L,linux,return,cpuMs,p95,26.32219657897949,23.62270288467407,-2.6994936943054206,-0.10255579112501556
dem-sierra-L,linux,return,cpuMs,max,31.913639068603516,28.329835891723633,-3.583803176879883,-0.11229691384225782
dem-sierra-L,linux,return,viewMs,mean,7.29179225,7.19342409375,-0.09836815625000028,-0.013490257659219518
dem-sierra-L,linux,return,viewMs,median,7.330667999999999,7.288661,-0.04200699999999902,-0.005730309979936177
dem-sierra-L,linux,return,viewMs,p95,8.662494,7.998615999999999,-0.6638780000000013,-0.07663820604089322
dem-sierra-L,linux,return,viewMs,max,9.051431000000001,8.234229,-0.8172020000000018,-0.0902842876446831
dem-sierra-L,linux,return,receiverMs,mean,7.26036934375,5.37284503125,-1.8875243125,-0.2599763487411081
dem-sierra-L,linux,return,receiverMs,median,7.4393025,5.549087999999999,-1.8902145000000008,-0.2540849091699122
dem-sierra-L,linux,return,receiverMs,p95,10.12477345,7.450635749999999,-2.6741377,-0.2641182751600235
dem-sierra-L,linux,return,receiverMs,max,11.313739,8.054623000000001,-3.259115999999999,-0.28806710142420633
dem-sierra-L,linux,return,donorMs,mean,0.0,0.0,0.0,
dem-sierra-L,linux,return,donorMs,median,0.0,0.0,0.0,
dem-sierra-L,linux,return,donorMs,p95,0.0,0.0,0.0,
dem-sierra-L,linux,return,donorMs,max,0.0,0.0,0.0,
dem-sierra-L,linux,return,reservationMs,mean,0.1329943125,0.11672903125,-0.016265281249999985,-0.12230057770327574
dem-sierra-L,linux,return,reservationMs,median,0.1123025,0.091442,-0.020860500000000004,-0.1857527659669197
dem-sierra-L,linux,return,reservationMs,p95,0.32566094999999995,0.2806245,-0.04503644999999995,-0.13829244801994212
dem-sierra-L,linux,return,reservationMs,max,0.484842,0.318339,-0.166503,-0.34341703070278573
dem-sierra-L,linux,return,sampleRepairMs,mean,3.95810528125,3.8697903125,-0.08831496874999978,-0.02231243548986883
dem-sierra-L,linux,return,sampleRepairMs,median,4.006724,3.525327,-0.4813970000000003,-0.12014728241825501
dem-sierra-L,linux,return,sampleRepairMs,p95,8.014706899999998,7.92375175,-0.09095514999999832,-0.011348531036112885
dem-sierra-L,linux,return,sampleRepairMs,max,11.074239,10.642838,-0.43140100000000103,-0.038955362982503905
dem-sierra-L,linux,reveal,cpuMs,mean,40.19291062190615,37.40360431013436,-2.7893063117717887,-0.06939796766675432
dem-sierra-L,linux,reveal,cpuMs,median,37.71969223022461,36.74207305908203,-0.9776191711425781,-0.025918004982002918
dem-sierra-L,linux,reveal,cpuMs,p95,52.501646423339835,47.42159118652343,-5.080055236816406,-0.09675992245755638
dem-sierra-L,linux,reveal,cpuMs,max,57.59982681274414,60.13466262817383,2.5348358154296875,0.04400769855906672
dem-sierra-L,linux,reveal,viewMs,mean,7.1603396896551725,7.231097413793104,0.07075772413793135,0.0098818948827466
dem-sierra-L,linux,reveal,viewMs,median,7.308739,7.276966,-0.03177300000000027,-0.004347261545391112
dem-sierra-L,linux,reveal,viewMs,p95,8.199554599999999,7.898918200000001,-0.30063639999999836,-0.036664967143459015
dem-sierra-L,linux,reveal,viewMs,max,9.303242,7.967561,-1.3356809999999992,-0.14357156354741707
dem-sierra-L,linux,reveal,receiverMs,mean,11.229989724137932,8.112201689655173,-3.117788034482759,-0.27763053315902253
dem-sierra-L,linux,reveal,receiverMs,median,10.587655,8.048603,-2.539052,-0.2398124986127712
dem-sierra-L,linux,reveal,receiverMs,p95,14.4409838,9.889322199999999,-4.551661600000001,-0.3151905481675009
dem-sierra-L,linux,reveal,receiverMs,max,16.652272999999997,10.677802999999999,-5.974469999999998,-0.3587780478977254
dem-sierra-L,linux,reveal,donorMs,mean,0.0,0.0,0.0,
dem-sierra-L,linux,reveal,donorMs,median,0.0,0.0,0.0,
dem-sierra-L,linux,reveal,donorMs,p95,0.0,0.0,0.0,
dem-sierra-L,linux,reveal,donorMs,max,0.0,0.0,0.0,
dem-sierra-L,linux,reveal,reservationMs,mean,0.49300206896551724,0.5328272068965517,0.03982513793103448,0.08078087383000421
dem-sierra-L,linux,reveal,reservationMs,median,0.45794199999999996,0.482454,0.024512000000000034,0.05352642911111016
dem-sierra-L,linux,reveal,reservationMs,p95,0.7842883999999998,0.8334596,0.04917120000000019,0.06269530443138027
dem-sierra-L,linux,reveal,reservationMs,max,0.8624820000000001,0.9663080000000001,0.10382599999999997,0.1203804833028399
dem-sierra-L,linux,reveal,sampleRepairMs,mean,18.749611206896553,19.011671413793103,0.26206020689654963,0.013976834186308684
dem-sierra-L,linux,reveal,sampleRepairMs,median,17.330465,19.02681,1.6963450000000009,0.0978822553232126
dem-sierra-L,linux,reveal,sampleRepairMs,p95,26.083137400000002,26.460521799999995,0.3773843999999933,0.014468520186532219
dem-sierra-L,linux,reveal,sampleRepairMs,max,31.184876,38.408474999999996,7.2235989999999966,0.23163789395859702
dem-sierra-L,windows,recovery,cpuMs,mean,0.5661375219933689,0.4575406184885651,-0.10859690350480378,-0.19182071367118425
dem-sierra-L,windows,recovery,cpuMs,median,0.04274999909102917,0.0364999994635582,-0.00624999962747097,-0.14619882480377633
dem-sierra-L,windows,recovery,cpuMs,p95,0.12328500114381308,0.12609999962151044,0.002814998477697367,0.0228332599390062
dem-sierra-L,windows,recovery,cpuMs,max,16.525100708007812,13.235799789428711,-3.2893009185791016,-0.1990487668849822
dem-sierra-L,windows,recovery,viewMs,mean,0.442490625,0.35131875,-0.09117187500000001,-0.20604250090044285
dem-sierra-L,windows,recovery,viewMs,median,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,viewMs,p95,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,viewMs,max,14.1597,11.2422,-2.9175000000000004,-0.20604250090044285
dem-sierra-L,windows,recovery,receiverMs,mean,0.069384375,0.057665625,-0.01171875,-0.16889609512228076
dem-sierra-L,windows,recovery,receiverMs,median,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,receiverMs,p95,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,receiverMs,max,2.2203,1.8453,-0.375,-0.16889609512228076
dem-sierra-L,windows,recovery,donorMs,mean,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,donorMs,median,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,donorMs,p95,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,donorMs,max,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,reservationMs,mean,3.1249999999999997e-06,3.1249999999999997e-06,0.0,0.0
dem-sierra-L,windows,recovery,reservationMs,median,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,reservationMs,p95,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,reservationMs,max,9.999999999999999e-05,9.999999999999999e-05,0.0,0.0
dem-sierra-L,windows,recovery,sampleRepairMs,mean,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,sampleRepairMs,median,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,sampleRepairMs,p95,0.0,0.0,0.0,
