case,system,event,metric,statistic,beforeMs,afterMs,deltaMs,relative
dem-sierra-P,windows,recovery,cpuMs,mean,0.8326687249355018,0.8028687466867268,-0.029799978248775005,-0.03578851631671798
dem-sierra-P,windows,recovery,cpuMs,median,0.04859999939799309,0.04360000044107437,-0.004999998956918716,-0.10288063824801585
dem-sierra-P,windows,recovery,cpuMs,p95,0.09166999906301497,0.08688499927520751,-0.004784999787807456,-0.05219810010599213
dem-sierra-P,windows,recovery,cpuMs,max,24.996599197387695,24.210599899291992,-0.7859992980957031,-0.03144424935124157
dem-sierra-P,windows,recovery,viewMs,mean,0.36402500000000004,0.416965625,0.05294062499999996,0.14543128905981728
dem-sierra-P,windows,recovery,viewMs,median,0.0,0.0,0.0,
dem-sierra-P,windows,recovery,viewMs,p95,0.0,0.0,0.0,
dem-sierra-P,windows,recovery,viewMs,max,11.648800000000001,13.3429,1.6940999999999988,0.14543128905981728
dem-sierra-P,windows,recovery,receiverMs,mean,0.41265625,0.3336625,-0.07899375000000003,-0.19142748958727762
dem-sierra-P,windows,recovery,receiverMs,median,0.0,0.0,0.0,
dem-sierra-P,windows,recovery,receiverMs,p95,0.0,0.0,0.0,
dem-sierra-P,windows,recovery,receiverMs,max,13.205,10.6772,-2.527800000000001,-0.19142748958727762
dem-sierra-P,windows,recovery,donorMs,mean,0.0,0.0,0.0,
dem-sierra-P,windows,recovery,donorMs,median,0.0,0.0,0.0,
dem-sierra-P,windows,recovery,donorMs,p95,0.0,0.0,0.0,
dem-sierra-P,windows,recovery,donorMs,max,0.0,0.0,0.0,
dem-sierra-P,windows,recovery,reservationMs,mean,3.1249999999999997e-06,3.1249999999999997e-06,0.0,0.0
dem-sierra-P,windows,recovery,reservationMs,median,0.0,0.0,0.0,
dem-sierra-P,windows,recovery,reservationMs,p95,0.0,0.0,0.0,
dem-sierra-P,windows,recovery,reservationMs,max,9.999999999999999e-05,9.999999999999999e-05,0.0,0.0
dem-sierra-P,windows,recovery,sampleRepairMs,mean,0.0,0.0,0.0,
dem-sierra-P,windows,recovery,sampleRepairMs,median,0.0,0.0,0.0,
dem-sierra-P,windows,recovery,sampleRepairMs,p95,0.0,0.0,0.0,
dem-sierra-P,windows,recovery,sampleRepairMs,max,0.0,0.0,0.0,
dem-sierra-P,windows,recovery,uploadMs,mean,0.0007343750021391315,0.0006593750063075277,-7.499999583160388e-05,-0.10212765360087062
dem-sierra-P,windows,recovery,uploadMs,median,0.0006000000284984708,0.00039999998989515007,-0.00020000003860332072,-0.33333338183971517
dem-sierra-P,windows,recovery,uploadMs,p95,0.0017449999984819442,0.001544999988982454,-0.00020000000949949026,-0.1146131860593006
dem-sierra-P,windows,recovery,uploadMs,max,0.0024999999441206455,0.002899999963119626,0.0004000000189989805,0.16000001117587104
dem-sierra-P,windows,return,cpuMs,mean,44.37599980831146,35.996049880981445,-8.379949927330017,-0.18883968729782807
