frame,thread,records,boundsBuilds,exactBuilds,boundsSides,exactSides,boundsHeights,exactHeights
3,2,6,6,6,596,65,142,14
3,2,6,6,6,775,83,136,10
3,2,12,12,12,33535,673,3268,92
4,2,6,6,6,310,40,62,6
4,2,6,6,6,396,54,88,10
5,2,6,6,6,365,42,68,12
5,2,6,6,6,396,54,88,10
5,2,6,6,6,335,69,78,14
6,2,6,5,4,60,12,14,6
6,2,6,6,4,111,18,28,8
6,2,4,3,3,72,16,22,8
6,2,20,20,19,3582,236,388,214
6,2,6,6,3,67,10,10,4
6,2,12,12,12,10410,402,868,20
7,2,6,6,4,111,18,28,8
7,2,6,6,6,310,40,62,6
7,2,6,3,2,64,14,16,0
7,2,6,6,3,67,10,10,4
8,2,6,3,3,123,23,34,6
8,2,6,6,5,326,42,52,0
8,2,8,8,8,12213,407,1700,128
8,2,6,6,3,67,10,10,4
9,2,6,6,6,310,40,62,6
9,2,6,6,6,396,54,88,10
9,2,6,3,2,64,14,16,0
9,2,12,12,12,5176,280,452,12
10,2,6,6,6,310,40,62,6
10,2,6,6,6,396,54,88,10
10,2,12,12,12,4386,276,260,44
10,2,12,12,12,13628,488,1668,84
11,2,6,5,4,60,12,14,6
11,2,6,6,4,111,18,28,8
11,2,4,3,3,72,16,22,8
11,2,20,20,19,2578,199,286,132
11,2,12,12,12,18830,559,1700,148
11,2,12,12,12,15730,516,1300,92
12,2,6,6,6,310,40,62,6
12,2,6,3,3,170,28,52,0
12,2,6,6,6,365,42,68,12
12,2,6,6,6,396,54,88,10
12,2,6,6,6,335,69,78,14
12,2,12,12,12,16804,451,1268,12
12,2,12,12,12,10238,398,868,88
12,2,12,12,12,6840,316,468,40
12,2,12,12,12,15691,465,1268,32
13,2,6,6,6,310,40,62,6
13,2,6,6,3,67,10,10,0
13,2,12,12,12,12108,482,1668,12
14,2,6,6,3,67,11,10,2
14,2,6,6,6,360,50,78,2
14,2,12,12,12,15090,488,1300,84
14,2,12,12,12,13628,488,1668,12
15,2,6,6,3,67,10,10,0
15,2,12,12,12,10354,438,900,80
15,2,6,3,3,152,41,40,8
15,2,12,12,12,13532,504,1668,4
15,2,6,6,5,306,42,42,12
15,2,12,12,12,16804,451,1268,92
16,2,6,6,6,148,26,22,0
16,2,6,6,4,66,12,12,2
16,2,6,6,3,67,10,10,0
16,2,4,4,3,42,10,10,0
16,2,18,18,17,4699,203,570,274
16,2,16,16,9,793,43,58,10
16,2,18,11,4,168,12,12,2
16,2,6,3,3,176,41,46,10
16,2,6,6,6,1308,101,254,18
16,2,12,12,12,22275,615,2500,168
17,2,6,5,4,60,12,14,6
17,2,6,6,4,111,18,28,8
17,2,4,3,3,72,16,22,8
17,2,20,20,19,2578,199,286,132
17,2,12,12,12,10780,414,868,76
17,2,12,12,12,13532,504,1668,76
17,2,12,12,12,16804,451,1268,32
17,2,12,12,12,14818,437,1268,88
17,2,12,12,12,7152,332,468,68
18,2,12,12,12,8302,335,644,52
18,2,6,6,6,12979,387,2402,108
18,2,12,12,12,14270,383,1044,32
18,2,12,12,12,7357,348,660,44
19,2,6,6,5,306,42,42,12
19,2,6,3,3,57,15,16,2
19,2,12,12,12,3863,216,192,40
19,2,12,12,12,13532,504,1668,56
19,2,6,6,6,678,78,130,14
20,2,6,6,6,803,69,172,12
20,2,12,12,12,10238,398,868,80
20,2,12,12,12,20450,622,2468,108
21,2,6,6,6,12979,387,2402,108
21,2,12,12,12,10238,398,868,68
21,2,6,3,3,63,15,18,2
21,2,12,12,12,7405,356,676,28
21,2,12,12,12,10410,402,868,56
21,2,6,6,4,249,28,38,0
21,2,12,12,12,11880,392,868,40
22,2,6,3,3,57,15,16,2
22,2,6,6,6,12979,387,2402,108
22,2,12,12,12,11942,450,1252,76
22,2,12,12,12,18977,565,1700,116
22,2,12,12,12,31734,876,3332,32
23,2,6,6,6,596,65,142,14
23,2,12,12,12,13628,488,1668,44
23,2,6,5,5,522,52,114,16
23,2,6,3,3,258,31,76,10
23,2,6,6,6,671,61,142,6
23,2,12,12,12,13532,504,1668,48
23,2,12,12,12,23752,638,2500,120
23,2,12,12,12,35952,696,3268,52
24,2,6,6,6,1327,87,242,6
24,2,12,12,12,10354,438,900,136
24,2,12,12,12,19965,591,1700,216
24,2,12,12,12,13532,504,1668,68
24,2,6,6,6,2522,149,488,18
25,2,6,6,6,1327,87,242,6
25,2,12,12,12,16213,521,1300,212
25,2,6,6,6,1959,178,396,58
25,2,6,6,6,479,67,106,10
25,2,6,3,3,32,11,10,2
25,2,12,12,12,35896,704,3268,216
26,2,6,6,6,596,65,142,14
26,2,6,6,6,2522,149,488,18
26,2,6,3,2,64,14,16,0
26,2,12,12,12,35952,696,3268,188
26,2,12,12,12,11856,400,868,36
26,2,12,12,12,16804,451,1268,32
27,2,6,3,3,32,11,10,2
27,2,12,12,12,16057,457,1252,68
