frame,phase,frameMs,dispatchMs,taskSumMs,taskMaxMs,tasks,threads,waitMs,afterLastTaskMs,balanceRatio
3,view_projection,22.217746,3.449649,24.993209,3.281444,8,8,3.322075,0.057586,0.9520659578527014
3,view_scores,22.217746,2.861533,18.844003,2.725134,8,8,2.722159,0.060587,0.8643613029671201
3,receiver_stage,22.217746,11.714975,71.992374,11.523279,8,8,11.493678,0.104738,0.780944968007804
3,face_fill,22.217746,0.123643,0.00165,0.00112,8,1,0.00029,0.078427,0.18415178571428573
3,mesh_fill,22.217746,0.126844,0.004719,0.00297,8,1,0.00011,0.087143,0.19861111111111113
4,view_projection,21.232909,4.860483,32.799164,4.76611,8,8,4.734379,0.044032,0.8602183961343736
4,view_scores,21.232909,2.597476,16.710759,2.475877,8,8,2.459332,0.046247,0.8436787752380267
4,receiver_stage,21.232909,9.71298,71.826903,9.55187,8,8,9.540955,0.092233,0.9399586546927461
4,face_fill,21.232909,0.150854,0.00175,0.00108,8,1,0.00012,0.090452,0.2025462962962963
4,mesh_fill,21.232909,0.122383,0.003001,0.001921,8,1,0.00011,0.086297,0.1952758979698074
5,view_projection,21.568533,3.804024,26.683138,3.596248,8,8,3.66979,0.050256,0.9274644713045374
5,view_scores,21.568533,3.623349,22.302543,3.460485,8,8,3.463074,0.086767,0.8056147837658595
5,receiver_stage,21.568533,10.973024,76.7309,10.842816,8,8,10.80139,0.089503,0.88458224321062
5,face_fill,21.568533,0.157094,0.0021,0.0015,8,1,0.00065,0.085872,0.175
5,mesh_fill,21.568533,0.121484,0.00333,0.00203,8,1,0.00013,0.077057,0.20504926108374383
6,view_projection,21.772389,3.873506,24.513437,3.675005,8,8,3.712681,0.080047,0.8337892397425309
6,view_scores,21.772389,3.49457,21.692152,3.332281,8,8,3.338286,0.079292,0.8137125890643676
6,receiver_stage,21.772389,10.570538,79.346609,10.428295,8,8,10.398003,0.074272,0.9510975787508887
6,face_fill,21.772389,0.136724,0.002058,0.00109,8,1,0.00013,0.093363,0.23600917431192658
6,mesh_fill,21.772389,0.125944,0.008631,0.004651,8,1,0.00166,0.079763,0.23196624381853365
