zone,calls,inclusiveMs,selfMs
pool.task,1160,5255.554392999998,0.6983980000002497
gtp.task,1160,5254.862794999997,1287.0875089999965
gtp.item,4640,3967.7684860000154,21.141250999992483
gtp.pointwise.certify,1357,1997.3517380000014,1996.0784589999992
gtp.fit,28606,1628.1234980000058,1158.3331709999995
profile.frame,29,1051.2230009999998,0.10424199999999928
tpi.cpu_ready,29,1051.118759,3.622917000000012
pool.sleep,849,905.272475999996,905.272475999996
gtp.update,29,840.691524,0.12214099999999561
gtp.dispatch,174,796.756892,1.2353490000000213
pool.parallel_for,145,794.279342,19.539900000000003
pool.wait,145,774.3821740000004,774.3821740000004
gtp.plan,29,600.5669399999999,2.093633999999996
gtp.measure,1392,475.5211419999999,475.5211419999999
gtp.receivers,32664,313.10564700001055,313.10564700001055
gtp.apply,29,239.957341,4.7599209999999985
gtp.set_view,29,206.76498800000002,0.10926399999999795
gtp.samples.prepare_view,29,206.44573599999998,0.8388340000000012
gtp.samples.prepare,29,152.50911599999998,152.50911599999998
gtp.pointwise.validate_batch,29,61.94923499999999,61.94923499999999
gtp.commit.prepare,29,11.032137999999998,6.888928999999999
gtp.flip_recovery,138,11.016863,2.137804999999998
gtp.samples.orders,29,10.809411,10.809411
gtp.reservation,29,4.830111999999999,4.830111999999999
gtp.mesh.prepare,29,4.498397000000001,0.32539900000000016
gtp.samples.publish,29,3.1977699999999993,3.1977699999999993
pool.complete,1091,2.9166950000000056,2.9166950000000056
gtp.commit.publish,29,1.5929349999999998,1.5929349999999998
gtp.face_evidence,1357,1.2732790000000018,1.2732790000000018
gtp.ledger_merge,145,1.2422009999999999,1.2422009999999999
gtp.mesh.publish,29,0.4178290000000001,0.4178290000000001
pool.enqueue,145,0.3572680000000002,0.3572680000000002
gtp.samples.publish_view,29,0.20320799999999992,0.20320799999999992
gtp.accepts,1382,0.17773199999999945,0.17773199999999945
gtp.initialize,58,0.05188200000000001,0.05188200000000001
gtp.mesh.consume,29,0.03933,0.03933
